Month,ProjectID,ProgramID,LaborHours,LaborRateUSD,LaborCostUSD
2024-01-01,EPRJ-001,PGM-001,608.0,120.57,73311.05
2024-02-01,EPRJ-001,PGM-001,746.7,87.5,65337.35
2024-03-01,EPRJ-001,PGM-001,164.1,135.97,22311.81
2024-04-01,EPRJ-001,PGM-001,432.2,91.98,39756.96
2024-05-01,EPRJ-001,PGM-001,294.8,86.48,25495.43
2024-06-01,EPRJ-001,PGM-001,505.8,90.48,45762.12
2024-07-01,EPRJ-001,PGM-001,863.9,85.77,74096.91
2024-08-01,EPRJ-001,PGM-001,375.3,114.27,42886.88
2024-09-01,EPRJ-001,PGM-001,416.6,98.37,40979.0
2024-10-01,EPRJ-001,PGM-001,482.0,90.83,43785.54
2024-11-01,EPRJ-001,PGM-001,627.9,126.35,79341.6
2024-12-01,EPRJ-001,PGM-001,815.4,91.57,74659.01
2025-01-01,EPRJ-001,PGM-001,742.3,109.16,81025.89
2025-02-01,EPRJ-001,PGM-001,219.4,124.21,27257.55
2025-03-01,EPRJ-001,PGM-001,161.1,108.75,17514.99
2025-04-01,EPRJ-001,PGM-001,166.7,112.11,18692.03
2025-05-01,EPRJ-001,PGM-001,732.1,138.36,101293.46
2025-06-01,EPRJ-001,PGM-001,432.9,133.84,57942.11
2025-07-01,EPRJ-001,PGM-001,802.4,109.14,87577.04
2025-08-01,EPRJ-001,PGM-001,649.0,123.88,80399.98
2025-09-01,EPRJ-001,PGM-001,281.0,136.39,38329.31
2025-10-01,EPRJ-001,PGM-001,178.6,130.25,23257.26
2025-11-01,EPRJ-001,PGM-001,589.7,116.26,68557.83
2025-12-01,EPRJ-001,PGM-001,772.4,121.12,93550.1
2026-01-01,EPRJ-001,PGM-001,610.3,123.1,75122.53
2026-02-01,EPRJ-001,PGM-001,868.6,127.84,111049.76
2026-03-01,EPRJ-001,PGM-001,196.7,127.85,25154.62
2026-04-01,EPRJ-001,PGM-001,456.8,134.58,61468.84
2026-05-01,EPRJ-001,PGM-001,643.4,120.95,77820.4
2026-06-01,EPRJ-001,PGM-001,393.8,143.29,56432.3
2026-07-01,EPRJ-001,PGM-001,534.1,126.63,67627.25
2024-01-01,EPRJ-002,PGM-002,620.3,129.05,80052.33
2024-02-01,EPRJ-002,PGM-002,215.2,109.96,23669.2
2024-03-01,EPRJ-002,PGM-002,275.3,134.24,36958.91
2024-04-01,EPRJ-002,PGM-002,772.7,113.11,87394.53
2024-05-01,EPRJ-002,PGM-002,826.6,135.58,112069.86
2024-06-01,EPRJ-002,PGM-002,340.8,110.47,37644.86
2024-07-01,EPRJ-002,PGM-002,553.0,93.39,51639.67
2024-08-01,EPRJ-002,PGM-002,688.6,140.48,96726.78
2024-09-01,EPRJ-002,PGM-002,697.8,143.92,100426.66
2024-10-01,EPRJ-002,PGM-002,838.3,114.46,95952.69
2024-11-01,EPRJ-002,PGM-002,400.5,143.83,57609.12
2024-12-01,EPRJ-002,PGM-002,148.9,112.77,16787.45
2025-01-01,EPRJ-002,PGM-002,725.7,144.25,104682.76
2025-02-01,EPRJ-002,PGM-002,440.7,111.55,49163.65
2025-03-01,EPRJ-002,PGM-002,607.6,118.57,72035.38
2025-04-01,EPRJ-002,PGM-002,644.6,107.52,69307.86
2025-05-01,EPRJ-002,PGM-002,486.6,108.08,52596.15
2025-06-01,EPRJ-002,PGM-002,705.2,104.48,73682.23
2025-07-01,EPRJ-002,PGM-002,823.1,127.34,104804.45
2025-08-01,EPRJ-002,PGM-002,782.5,122.12,95554.12
2025-09-01,EPRJ-002,PGM-002,121.7,137.42,16719.34
2025-10-01,EPRJ-002,PGM-002,717.6,123.51,88629.61
2025-11-01,EPRJ-002,PGM-002,544.0,123.01,66921.12
2025-12-01,EPRJ-002,PGM-002,758.8,111.97,84963.82
2026-01-01,EPRJ-002,PGM-002,144.3,101.28,14612.79
2026-02-01,EPRJ-002,PGM-002,776.4,112.0,86956.82
2026-03-01,EPRJ-002,PGM-002,809.3,102.44,82903.22
2026-04-01,EPRJ-002,PGM-002,182.6,119.34,21794.5
2026-05-01,EPRJ-002,PGM-002,598.9,112.39,67312.41
2026-06-01,EPRJ-002,PGM-002,616.1,88.68,54639.17
2026-07-01,EPRJ-002,PGM-002,422.6,87.33,36907.26
2024-01-01,EPRJ-003,PGM-003,608.3,86.21,52442.83
2024-02-01,EPRJ-003,PGM-003,593.5,116.47,69122.84
2024-03-01,EPRJ-003,PGM-003,289.7,142.32,41228.34
2024-04-01,EPRJ-003,PGM-003,142.1,92.21,13104.7
2024-05-01,EPRJ-003,PGM-003,182.0,95.07,17303.16
2024-06-01,EPRJ-003,PGM-003,436.5,124.53,54358.87
2024-07-01,EPRJ-003,PGM-003,753.6,99.64,75088.46
2024-08-01,EPRJ-003,PGM-003,596.6,138.45,82593.48
2024-09-01,EPRJ-003,PGM-003,156.9,135.13,21195.12
2024-10-01,EPRJ-003,PGM-003,390.1,87.42,34101.05
2024-11-01,EPRJ-003,PGM-003,384.3,91.82,35289.57
2024-12-01,EPRJ-003,PGM-003,857.0,120.07,102894.87
2025-01-01,EPRJ-003,PGM-003,486.0,109.83,53375.35
2025-02-01,EPRJ-003,PGM-003,535.6,118.88,63672.33
2025-03-01,EPRJ-003,PGM-003,845.1,92.89,78502.75
2025-04-01,EPRJ-003,PGM-003,227.7,142.62,32479.75
2025-05-01,EPRJ-003,PGM-003,661.3,86.66,57311.27
2025-06-01,EPRJ-003,PGM-003,751.7,121.45,91287.08
2025-07-01,EPRJ-003,PGM-003,801.3,88.75,71115.07
2025-08-01,EPRJ-003,PGM-003,260.0,92.8,24127.56
2025-09-01,EPRJ-003,PGM-003,822.7,104.93,116549.72
2025-10-01,EPRJ-003,PGM-003,335.2,111.33,50377.38
2025-11-01,EPRJ-003,PGM-003,279.2,102.02,38454.88
2025-12-01,EPRJ-003,PGM-003,361.4,127.12,62016.13
2026-01-01,EPRJ-003,PGM-003,517.3,108.02,75430.61
2026-02-01,EPRJ-003,PGM-003,387.8,132.81,69526.14
2026-03-01,EPRJ-003,PGM-003,328.4,118.35,52469.39
2026-04-01,EPRJ-003,PGM-003,744.6,103.44,103973.61
2026-05-01,EPRJ-003,PGM-003,132.2,112.47,20072.84
2026-06-01,EPRJ-003,PGM-003,865.6,102.24,119484.52
2026-07-01,EPRJ-003,PGM-003,782.2,93.44,98671.23
2024-01-01,EPRJ-004,PGM-004,365.9,106.83,39092.9
2024-02-01,EPRJ-004,PGM-004,233.0,126.62,29499.33
2024-03-01,EPRJ-004,PGM-004,766.8,100.1,76756.35
2024-04-01,EPRJ-004,PGM-004,194.8,89.62,17460.63
