Month,RevenueUSD,GrossMarginPct,OperatingMarginPct,OnTimeDeliveryPct,ScrapPct,AttritionPct
2024-01-01,5838336.05,30.9,10.8,90.2,3.25,9.4
2024-02-01,5887220.43,25.2,13.3,89.4,3.56,6.1
2024-03-01,6108597.76,30.7,8.5,92.0,2.75,7.9
2024-04-01,6131937.03,30.4,11.6,92.4,2.37,10.0
2024-05-01,5892485.14,26.3,12.9,93.0,2.24,7.3
2024-06-01,5902998.79,24.7,9.7,88.3,2.95,6.6
2024-07-01,5907534.16,27.9,8.1,93.0,3.32,8.6
2024-08-01,5854040.3,30.0,9.4,96.0,1.92,10.1
2024-09-01,6072630.9,26.5,10.3,91.0,2.4,7.9
2024-10-01,6307467.56,30.7,9.3,93.2,2.58,9.1
2024-11-01,6524942.64,30.3,11.2,91.3,3.3,12.5
2024-12-01,6627546.5,24.4,8.6,95.9,2.55,8.2
2025-01-01,6359874.57,28.5,10.2,92.4,2.49,7.5
2025-02-01,6549066.82,27.4,11.9,92.7,2.14,10.1
2025-03-01,6690358.45,26.1,12.2,95.3,2.37,11.5
2025-04-01,6768102.21,25.7,8.0,92.6,3.2,10.0
2025-05-01,6511760.77,30.4,11.4,95.7,2.45,6.5
2025-06-01,6215439.62,27.5,9.5,90.8,3.08,12.1
2025-07-01,6122193.56,24.6,11.1,91.7,3.43,9.6
2025-08-01,6362476.84,26.6,11.8,93.9,2.93,14.1
2025-09-01,6673866.14,24.7,11.1,93.9,2.0,7.5
2025-10-01,6898518.98,24.8,10.0,93.7,2.47,7.6
2025-11-01,7063900.24,26.4,10.6,96.9,2.82,9.9
2025-12-01,7288239.39,27.5,11.6,88.8,2.79,9.1
2026-01-01,6699497.14,24.8,10.1,90.9,3.36,9.3
2026-02-01,7011213.01,30.4,11.6,89.3,3.02,9.0
2026-03-01,7280864.71,26.7,9.7,95.4,1.99,9.2
2026-04-01,7173897.6,29.4,11.6,94.4,2.08,13.9
2026-05-01,6902987.24,25.0,11.4,88.9,2.5,11.7
2026-06-01,6699770.74,30.4,10.7,92.3,3.25,10.5
2026-07-01,6745409.81,28.4,13.5,88.5,1.89,14.8
2026-08-01,6722760.57,30.8,11.2,90.6,1.61,15.9
