Month,AccountNumber,AccountName,BudgetUSD,ActualUSD,VarianceUSD,VariancePct
2026-01-01,4000,Product Revenue,6224061.37,6029547.43,-194513.94,-3.1
2026-01-01,4100,Service Revenue,661451.95,669949.71,8497.76,1.3
2026-01-01,5000,Direct Material,1157740.29,1179884.38,22144.09,1.9
2026-01-01,5100,Direct Labor,1125816.99,1117659.7,-8157.29,-0.7
2026-01-01,5200,Manufacturing Overhead,804893.28,782276.1,-22617.18,-2.8
2026-01-01,5300,Scrap & Rework,142225.19,136267.84,-5957.35,-4.2
2026-01-01,6000,Engineering Labor,665125.79,634815.29,-30310.5,-4.6
2026-01-01,6100,Non-Recurring Engineering,265247.6,253926.12,-11321.48,-4.3
2026-01-01,6200,Sales & Marketing,340056.55,334974.86,-5081.69,-1.5
2026-01-01,6300,General & Administrative,417154.16,401969.83,-15184.33,-3.6
2026-01-01,6400,IT & Systems,134453.09,133989.94,-463.15,-0.3
2026-01-01,6500,Facilities & EHS,99256.48,100492.46,1235.98,1.2
2026-01-01,7000,Depreciation,197340.92,200984.91,3643.99,1.8
2026-02-01,4000,Product Revenue,6090519.37,6310091.71,219572.34,3.6
2026-02-01,4100,Service Revenue,661614.45,701121.3,39506.85,6.0
2026-02-01,5000,Direct Material,1189608.82,1975198.94,785590.12,66.0
2026-02-01,5100,Direct Labor,1125748.68,1137794.72,12046.04,1.1
2026-02-01,5200,Manufacturing Overhead,779817.05,675873.17,-103943.88,-13.3
2026-02-01,5300,Scrap & Rework,133993.87,194488.4,60494.53,45.1
2026-02-01,6000,Engineering Labor,657446.03,812549.6,155103.57,23.6
2026-02-01,6100,Non-Recurring Engineering,266544.12,325019.84,58475.72,21.9
2026-02-01,6200,Sales & Marketing,334792.86,350560.65,15767.79,4.7
2026-02-01,6300,General & Administrative,419467.45,420672.78,1205.33,0.3
2026-02-01,6400,IT & Systems,134381.23,140224.26,5843.03,4.3
2026-02-01,6500,Facilities & EHS,103716.28,105168.2,1451.92,1.4
2026-02-01,7000,Depreciation,198315.48,210336.39,12020.91,6.1
2026-03-01,4000,Product Revenue,5923611.01,6552778.24,629167.23,10.6
2026-03-01,4100,Service Revenue,674979.42,728086.47,53107.05,7.9
2026-03-01,5000,Direct Material,1233638.71,1031945.97,-201692.74,-16.3
2026-03-01,5100,Direct Labor,1135055.26,1032606.51,-102448.75,-9.0
2026-03-01,5200,Manufacturing Overhead,766832.3,711852.03,-54980.27,-7.2
2026-03-01,5300,Scrap & Rework,134317.51,215096.46,80778.95,60.1
2026-03-01,6000,Engineering Labor,641569.57,697335.21,55765.64,8.7
2026-03-01,6100,Non-Recurring Engineering,248881.36,278934.08,30052.72,12.1
2026-03-01,6200,Sales & Marketing,331407.52,364043.24,32635.72,9.8
2026-03-01,6300,General & Administrative,410095.18,436851.88,26756.7,6.5
2026-03-01,6400,IT & Systems,134565.05,145617.29,11052.24,8.2
2026-03-01,6500,Facilities & EHS,101298.75,109212.97,7914.22,7.8
2026-03-01,7000,Depreciation,198002.4,218425.94,20423.54,10.3
2026-04-01,4000,Product Revenue,5973666.18,6456507.84,482841.66,8.1
2026-04-01,4100,Service Revenue,678110.35,717389.76,39279.41,5.8
2026-04-01,5000,Direct Material,1215248.37,2018080.23,802831.86,66.1
2026-04-01,5100,Direct Labor,1119950.86,1097576.4,-22374.46,-2.0
2026-04-01,5200,Manufacturing Overhead,783675.75,669377.65,-114298.1,-14.6
2026-04-01,5300,Scrap & Rework,134739.39,207326.36,72586.97,53.9
2026-04-01,6000,Engineering Labor,652770.12,826185.15,173415.03,26.6
2026-04-01,6100,Non-Recurring Engineering,262079.35,330474.06,68394.71,26.1
2026-04-01,6200,Sales & Marketing,346816.03,358694.88,11878.85,3.4
2026-04-01,6300,General & Administrative,405073.89,430433.86,25359.97,6.3
2026-04-01,6400,IT & Systems,137568.91,143477.95,5909.04,4.3
2026-04-01,6500,Facilities & EHS,104400.53,107608.46,3207.93,3.1
2026-04-01,7000,Depreciation,207079.25,215216.93,8137.68,3.9
2026-05-01,4000,Product Revenue,6235497.79,6212688.52,-22809.27,-0.4
2026-05-01,4100,Service Revenue,689301.31,690298.72,997.41,0.1
2026-05-01,5000,Direct Material,1173525.84,1006413.81,-167112.03,-14.2
2026-05-01,5100,Direct Labor,1122766.11,1156375.01,33608.9,3.0
2026-05-01,5200,Manufacturing Overhead,789557.13,755867.63,-33689.5,-4.3
2026-05-01,5300,Scrap & Rework,137635.89,150255.69,12619.8,9.2
2026-05-01,6000,Engineering Labor,654874.37,704432.75,49558.38,7.6
2026-05-01,6100,Non-Recurring Engineering,254889.89,281773.1,26883.21,10.5
2026-05-01,6200,Sales & Marketing,332206.4,345149.36,12942.96,3.9
2026-05-01,6300,General & Administrative,416048.55,414179.23,-1869.32,-0.4
2026-05-01,6400,IT & Systems,133196.91,138059.74,4862.83,3.7
2026-05-01,6500,Facilities & EHS,101136.94,103544.81,2407.87,2.4
2026-05-01,7000,Depreciation,197827.68,207089.62,9261.94,4.7
2026-06-01,4000,Product Revenue,6290288.89,6029793.67,-260495.22,-4.1
2026-06-01,4100,Service Revenue,679882.26,669977.07,-9905.19,-1.5
2026-06-01,5000,Direct Material,1200970.06,1370419.05,169448.99,14.1
2026-06-01,5100,Direct Labor,1153004.79,898438.28,-254566.51,-22.1
2026-06-01,5200,Manufacturing Overhead,811258.29,643077.66,-168180.63,-20.7
2026-06-01,5300,Scrap & Rework,137471.62,132420.14,-5051.48,-3.7
2026-06-01,6000,Engineering Labor,627195.66,655538.39,28342.73,4.5
2026-06-01,6100,Non-Recurring Engineering,250262.87,262215.36,11952.49,4.8
2026-06-01,6200,Sales & Marketing,337713.34,334988.54,-2724.8,-0.8
2026-06-01,6300,General & Administrative,402631.11,401986.24,-644.87,-0.2
2026-06-01,6400,IT & Systems,137489.65,133995.41,-3494.24,-2.5
2026-06-01,6500,Facilities & EHS,104705.52,100496.56,-4208.96,-4.0
2026-06-01,7000,Depreciation,202333.41,200993.12,-1340.29,-0.7
2026-07-01,4000,Product Revenue,6083095.66,6070868.83,-12226.83,-0.2
2026-07-01,4100,Service Revenue,701663.88,674540.98,-27122.9,-3.9
2026-07-01,5000,Direct Material,1216604.48,1628599.89,411995.41,33.9
2026-07-01,5100,Direct Labor,1104188.53,1034580.2,-69608.33,-6.3
2026-07-01,5200,Manufacturing Overhead,767773.07,752076.46,-15696.61,-2.0
2026-07-01,5300,Scrap & Rework,140851.63,152450.48,11598.85,8.2
2026-07-01,6000,Engineering Labor,623214.38,794160.89,170946.51,27.4
2026-07-01,6100,Non-Recurring Engineering,258464.31,317664.36,59200.05,22.9
2026-07-01,6200,Sales & Marketing,336349.84,337270.49,920.65,0.3
2026-07-01,6300,General & Administrative,394668.53,404724.59,10056.06,2.5
2026-07-01,6400,IT & Systems,140075.94,134908.2,-5167.74,-3.7
2026-07-01,6500,Facilities & EHS,102301.88,101181.15,-1120.73,-1.1
2026-07-01,7000,Depreciation,197153.0,202362.29,5209.29,2.6
2026-08-01,4000,Product Revenue,6117248.61,6050484.51,-66764.10,-1.1
2026-08-01,4100,Service Revenue,678143.37,672276.06,-5867.31,-0.9
2026-08-01,5000,Direct Material,1198190.94,1258220.94,60030.00,5.0
2026-08-01,5100,Direct Labor,1126647.32,1021967.21,-104680.11,-9.3
2026-08-01,5200,Manufacturing Overhead,786258.12,677267.42,-108990.70,-13.9
2026-08-01,5300,Scrap & Rework,137319.30,168421.62,31102.32,22.6
2026-08-01,6000,Engineering Labor,646027.99,634556.33,-11471.66,-1.8
2026-08-01,6100,Non-Recurring Engineering,258052.79,253822.53,-4230.26,-1.6
2026-08-01,6200,Sales & Marketing,337048.93,336138.03,-910.90,-0.3
2026-08-01,6300,General & Administrative,409305.55,403365.63,-5939.92,-1.5
2026-08-01,6400,IT & Systems,135961.54,134455.21,-1506.33,-1.1
2026-08-01,6500,Facilities & EHS,102402.34,100841.41,-1560.93,-1.5
2026-08-01,7000,Depreciation,199721.73,201682.82,1961.09,1.0
