Month,AccountNumber,AccountName,AmountUSD
2024-01-01,4000,Product Revenue,5254502.45
2024-01-01,4100,Service Revenue,583833.6
2024-01-01,5000,Direct Material,921688.11
2024-01-01,5100,Direct Labor,763106.29
2024-01-01,5200,Manufacturing Overhead,634811.61
2024-01-01,5300,Scrap & Rework,95580.43
2024-01-01,6000,Engineering Labor,732994.28
2024-01-01,6100,Non-Recurring Engineering,293197.71
2024-01-01,6200,Sales & Marketing,291916.8
2024-01-01,6300,General & Administrative,350300.16
2024-01-01,6400,IT & Systems,116766.72
2024-01-01,6500,Facilities & EHS,87575.04
2024-01-01,7000,Depreciation,175150.08
2024-02-01,4000,Product Revenue,5298498.39
2024-02-01,4100,Service Revenue,588722.04
2024-02-01,5000,Direct Material,1425687.6
2024-02-01,5100,Direct Labor,937959.11
2024-02-01,5200,Manufacturing Overhead,654635.11
2024-02-01,5300,Scrap & Rework,110801.93
2024-02-01,6000,Engineering Labor,623441.34
2024-02-01,6100,Non-Recurring Engineering,249376.54
2024-02-01,6200,Sales & Marketing,294361.02
2024-02-01,6300,General & Administrative,353233.23
2024-02-01,6400,IT & Systems,117744.41
2024-02-01,6500,Facilities & EHS,88308.31
2024-02-01,7000,Depreciation,176616.61
2024-03-01,4000,Product Revenue,5497737.98
2024-03-01,4100,Service Revenue,610859.78
2024-03-01,5000,Direct Material,1183202.28
2024-03-01,5100,Direct Labor,903026.15
2024-03-01,5200,Manufacturing Overhead,729916.67
2024-03-01,5300,Scrap & Rework,98267.79
2024-03-01,6000,Engineering Labor,665964.68
2024-03-01,6100,Non-Recurring Engineering,266385.87
2024-03-01,6200,Sales & Marketing,305429.89
2024-03-01,6300,General & Administrative,366515.87
2024-03-01,6400,IT & Systems,122171.96
2024-03-01,6500,Facilities & EHS,91628.97
2024-03-01,7000,Depreciation,183257.93
2024-04-01,4000,Product Revenue,5518743.33
2024-04-01,4100,Service Revenue,613193.7
2024-04-01,5000,Direct Material,1286648.47
2024-04-01,5100,Direct Labor,846242.52
2024-04-01,5200,Manufacturing Overhead,730945.87
2024-04-01,5300,Scrap & Rework,182333.24
2024-04-01,6000,Engineering Labor,544572.03
2024-04-01,6100,Non-Recurring Engineering,217828.81
2024-04-01,6200,Sales & Marketing,306596.85
2024-04-01,6300,General & Administrative,367916.22
2024-04-01,6400,IT & Systems,122638.74
2024-04-01,6500,Facilities & EHS,91979.06
2024-04-01,7000,Depreciation,183958.11
2024-05-01,4000,Product Revenue,5303236.63
2024-05-01,4100,Service Revenue,589248.51
2024-05-01,5000,Direct Material,1431524.87
2024-05-01,5100,Direct Labor,919080.0
2024-05-01,5200,Manufacturing Overhead,656273.16
2024-05-01,5300,Scrap & Rework,146027.27
2024-05-01,6000,Engineering Labor,794252.09
2024-05-01,6100,Non-Recurring Engineering,317700.84
2024-05-01,6200,Sales & Marketing,294624.26
2024-05-01,6300,General & Administrative,353549.11
2024-05-01,6400,IT & Systems,117849.7
2024-05-01,6500,Facilities & EHS,88387.28
2024-05-01,7000,Depreciation,176774.55
2024-06-01,4000,Product Revenue,5312698.91
2024-06-01,4100,Service Revenue,590299.88
2024-06-01,5000,Direct Material,1294510.04
2024-06-01,5100,Direct Labor,966300.97
2024-06-01,5200,Manufacturing Overhead,567519.83
2024-06-01,5300,Scrap & Rework,153532.36
2024-06-01,6000,Engineering Labor,686324.77
2024-06-01,6100,Non-Recurring Engineering,274529.91
2024-06-01,6200,Sales & Marketing,295149.94
2024-06-01,6300,General & Administrative,354179.93
2024-06-01,6400,IT & Systems,118059.98
2024-06-01,6500,Facilities & EHS,88544.98
2024-06-01,7000,Depreciation,177089.96
2024-07-01,4000,Product Revenue,5316780.74
2024-07-01,4100,Service Revenue,590753.42
2024-07-01,5000,Direct Material,1217270.59
2024-07-01,5100,Direct Labor,828147.29
2024-07-01,5200,Manufacturing Overhead,706874.75
2024-07-01,5300,Scrap & Rework,176142.47
2024-07-01,6000,Engineering Labor,848190.23
2024-07-01,6100,Non-Recurring Engineering,339276.09
2024-07-01,6200,Sales & Marketing,295376.71
2024-07-01,6300,General & Administrative,354452.05
2024-07-01,6400,IT & Systems,118150.68
2024-07-01,6500,Facilities & EHS,88613.01
2024-07-01,7000,Depreciation,177226.02
2024-08-01,4000,Product Revenue,5268636.27
2024-08-01,4100,Service Revenue,585404.03
2024-08-01,5000,Direct Material,1138814.96
2024-08-01,5100,Direct Labor,767281.99
2024-08-01,5200,Manufacturing Overhead,549860.92
2024-08-01,5300,Scrap & Rework,171093.98
2024-08-01,6000,Engineering Labor,763329.55
2024-08-01,6100,Non-Recurring Engineering,305331.82
2024-08-01,6200,Sales & Marketing,292702.02
2024-08-01,6300,General & Administrative,351242.42
2024-08-01,6400,IT & Systems,117080.81
2024-08-01,6500,Facilities & EHS,87810.6
