Month,FringePct,OverheadPct,GA_Pct
2024-01-01,28.16,108.11,14.39
2024-02-01,30.18,121.23,13.53
2024-03-01,28.59,103.17,17.12
2024-04-01,31.61,97.07,13.17
2024-05-01,31.68,117.82,17.54
2024-06-01,29.79,115.27,17.19
2024-07-01,31.67,108.65,17.13
2024-08-01,31.56,124.05,15.95
2024-09-01,28.03,112.01,12.15
2024-10-01,32.87,98.19,16.84
2024-11-01,28.18,102.43,16.06
2024-12-01,31.96,96.28,17.43
2025-01-01,29.54,96.86,14.7
2025-02-01,28.17,111.61,12.89
2025-03-01,30.16,114.23,13.25
2025-04-01,31.05,113.84,16.98
2025-05-01,32.99,117.2,16.89
2025-06-01,28.21,98.8,16.86
2025-07-01,32.12,112.13,13.42
2025-08-01,32.92,113.57,16.51
2025-09-01,33.56,116.8,12.18
2025-10-01,28.79,104.69,16.94
2025-11-01,28.31,124.65,12.7
2025-12-01,32.89,115.79,13.69
2026-01-01,31.44,120.38,12.55
2026-02-01,30.56,107.2,14.22
2026-03-01,29.75,119.12,13.14
2026-04-01,31.01,97.7,14.22
2026-05-01,32.3,113.17,17.48
2026-06-01,33.43,107.36,12.84
2026-07-01,31.31,105.78,17.15
2026-08-01,33.66,105.37,18.71
