Month,DeptID,DeptName,Headcount,Plan
2024-01-01,DEPT-01,Executive,67,66
2024-01-01,DEPT-02,Finance,64,67
2024-01-01,DEPT-03,HR,64,67
2024-01-01,DEPT-04,Manufacturing,67,67
2024-01-01,DEPT-05,Engineering,71,73
2024-01-01,DEPT-06,Sales,67,71
2024-01-01,DEPT-07,Quality,68,67
2024-01-01,DEPT-08,Procurement,68,71
2024-01-01,DEPT-09,IT,67,73
2024-01-01,DEPT-10,EHS,63,68
2024-01-01,DEPT-11,Legal,66,67
2024-02-01,DEPT-01,Executive,68,70
2024-02-01,DEPT-02,Finance,65,65
2024-02-01,DEPT-03,HR,65,70
2024-02-01,DEPT-04,Manufacturing,66,70
2024-02-01,DEPT-05,Engineering,75,73
2024-02-01,DEPT-06,Sales,71,71
2024-02-01,DEPT-07,Quality,66,67
2024-02-01,DEPT-08,Procurement,69,72
2024-02-01,DEPT-09,IT,71,71
2024-02-01,DEPT-10,EHS,63,64
2024-02-01,DEPT-11,Legal,64,68
2024-03-01,DEPT-01,Executive,64,69
2024-03-01,DEPT-02,Finance,65,64
2024-03-01,DEPT-03,HR,65,67
2024-03-01,DEPT-04,Manufacturing,65,67
2024-03-01,DEPT-05,Engineering,73,76
2024-03-01,DEPT-06,Sales,67,69
2024-03-01,DEPT-07,Quality,67,67
2024-03-01,DEPT-08,Procurement,71,71
2024-03-01,DEPT-09,IT,70,72
2024-03-01,DEPT-10,EHS,63,68
2024-03-01,DEPT-11,Legal,65,68
2024-04-01,DEPT-01,Executive,68,68
2024-04-01,DEPT-02,Finance,66,68
2024-04-01,DEPT-03,HR,65,68
2024-04-01,DEPT-04,Manufacturing,68,69
2024-04-01,DEPT-05,Engineering,73,77
2024-04-01,DEPT-06,Sales,67,73
2024-04-01,DEPT-07,Quality,67,67
2024-04-01,DEPT-08,Procurement,70,72
2024-04-01,DEPT-09,IT,71,73
2024-04-01,DEPT-10,EHS,65,67
2024-04-01,DEPT-11,Legal,65,68
2024-05-01,DEPT-01,Executive,64,67
2024-05-01,DEPT-02,Finance,63,66
2024-05-01,DEPT-03,HR,67,69
2024-05-01,DEPT-04,Manufacturing,66,71
2024-05-01,DEPT-05,Engineering,71,75
2024-05-01,DEPT-06,Sales,68,71
2024-05-01,DEPT-07,Quality,65,69
2024-05-01,DEPT-08,Procurement,69,70
2024-05-01,DEPT-09,IT,67,72
2024-05-01,DEPT-10,EHS,62,68
2024-05-01,DEPT-11,Legal,62,66
2024-06-01,DEPT-01,Executive,64,67
2024-06-01,DEPT-02,Finance,65,68
2024-06-01,DEPT-03,HR,67,67
2024-06-01,DEPT-04,Manufacturing,67,71
2024-06-01,DEPT-05,Engineering,72,77
2024-06-01,DEPT-06,Sales,68,71
2024-06-01,DEPT-07,Quality,64,70
2024-06-01,DEPT-08,Procurement,70,73
2024-06-01,DEPT-09,IT,68,69
2024-06-01,DEPT-10,EHS,62,65
2024-06-01,DEPT-11,Legal,62,66
2024-07-01,DEPT-01,Executive,66,68
2024-07-01,DEPT-02,Finance,63,65
2024-07-01,DEPT-03,HR,67,67
2024-07-01,DEPT-04,Manufacturing,67,70
2024-07-01,DEPT-05,Engineering,75,75
2024-07-01,DEPT-06,Sales,71,70
2024-07-01,DEPT-07,Quality,67,70
2024-07-01,DEPT-08,Procurement,68,69
