Month,System,UptimePct,IncidentCount
2024-01-01,ERP,98.86,0
2024-01-01,MES,99.89,3
2024-01-01,PLM,99.05,4
2024-01-01,Email,99.09,0
2024-01-01,Network,99.9,1
2024-02-01,ERP,99.07,1
2024-02-01,MES,98.72,1
2024-02-01,PLM,99.17,5
2024-02-01,Email,99.29,2
2024-02-01,Network,98.9,4
2024-03-01,ERP,99.22,1
2024-03-01,MES,99.0,1
2024-03-01,PLM,98.94,6
2024-03-01,Email,99.16,1
2024-03-01,Network,99.3,5
2024-04-01,ERP,99.72,2
2024-04-01,MES,99.94,2
2024-04-01,PLM,98.61,4
2024-04-01,Email,99.4,6
2024-04-01,Network,99.49,4
2024-05-01,ERP,98.74,0
2024-05-01,MES,99.49,1
2024-05-01,PLM,98.78,1
2024-05-01,Email,99.06,6
2024-05-01,Network,99.18,6
2024-06-01,ERP,99.11,1
2024-06-01,MES,99.7,4
2024-06-01,PLM,99.35,5
2024-06-01,Email,99.91,1
2024-06-01,Network,99.94,2
2024-07-01,ERP,99.16,2
2024-07-01,MES,99.54,3
2024-07-01,PLM,98.8,3
2024-07-01,Email,98.88,0
2024-07-01,Network,99.85,5
2024-08-01,ERP,99.91,4
2024-08-01,MES,99.79,2
2024-08-01,PLM,98.61,2
2024-08-01,Email,98.64,5
2024-08-01,Network,99.71,0
2024-09-01,ERP,98.86,0
2024-09-01,MES,99.89,4
2024-09-01,PLM,99.85,2
2024-09-01,Email,98.7,6
2024-09-01,Network,99.69,1
2024-10-01,ERP,99.26,3
2024-10-01,MES,98.59,2
2024-10-01,PLM,99.89,2
2024-10-01,Email,99.56,2
2024-10-01,Network,99.42,0
2024-11-01,ERP,99.75,6
2024-11-01,MES,99.48,2
2024-11-01,PLM,98.51,3
2024-11-01,Email,99.28,1
2024-11-01,Network,99.63,3
2024-12-01,ERP,98.98,0
2024-12-01,MES,99.8,1
2024-12-01,PLM,99.89,2
2024-12-01,Email,98.88,5
2024-12-01,Network,99.31,0
2025-01-01,ERP,99.62,2
2025-01-01,MES,99.05,6
2025-01-01,PLM,98.87,0
2025-01-01,Email,98.7,2
2025-01-01,Network,99.46,0
2025-02-01,ERP,99.0,2
2025-02-01,MES,99.49,1
2025-02-01,PLM,99.07,4
2025-02-01,Email,99.35,4
2025-02-01,Network,99.52,6
2025-03-01,ERP,99.64,6
2025-03-01,MES,99.61,4
2025-03-01,PLM,99.49,3
2025-03-01,Email,99.91,2
2025-03-01,Network,99.3,4
2025-04-01,ERP,99.03,4
2025-04-01,MES,99.01,2
2025-04-01,PLM,98.85,5
2025-04-01,Email,99.43,5
2025-04-01,Network,98.99,6
2025-05-01,ERP,99.9,5
2025-05-01,MES,99.07,6
2025-05-01,PLM,99.55,6
2025-05-01,Email,99.05,4
2025-05-01,Network,99.94,0
2025-06-01,ERP,98.68,1
2025-06-01,MES,99.86,2
2025-06-01,PLM,99.71,2
2025-06-01,Email,99.45,5
2025-06-01,Network,98.65,0
2025-07-01,ERP,99.25,0
2025-07-01,MES,99.25,5
2025-07-01,PLM,99.38,5
2025-07-01,Email,99.51,6
2025-07-01,Network,98.54,1
2025-08-01,ERP,99.64,6
2025-08-01,MES,99.48,0
2025-08-01,PLM,99.01,3
2025-08-01,Email,99.95,1
2025-08-01,Network,98.54,3
2025-09-01,ERP,99.58,5
2025-09-01,MES,99.44,0
2025-09-01,PLM,99.59,0
2025-09-01,Email,99.4,2
2025-09-01,Network,98.71,1
2025-10-01,ERP,98.97,2
2025-10-01,MES,99.88,1
2025-10-01,PLM,98.89,4
2025-10-01,Email,99.17,1
2025-10-01,Network,98.98,5
2025-11-01,ERP,98.82,1
2025-11-01,MES,99.46,5
2025-11-01,PLM,98.61,0
2025-11-01,Email,98.95,2
2025-11-01,Network,99.18,6
2025-12-01,ERP,99.07,6
2025-12-01,MES,99.65,2
2025-12-01,PLM,99.29,6
2025-12-01,Email,98.72,2
2025-12-01,Network,99.31,4
2026-01-01,ERP,99.43,3
2026-01-01,MES,99.08,0
2026-01-01,PLM,98.54,1
2026-01-01,Email,98.55,3
2026-01-01,Network,98.78,3
2026-02-01,ERP,98.75,0
2026-02-01,MES,98.64,5
2026-02-01,PLM,98.87,6
2026-02-01,Email,99.34,0
2026-02-01,Network,99.16,3
2026-03-01,ERP,99.21,1
2026-03-01,MES,99.99,2
2026-03-01,PLM,99.51,4
2026-03-01,Email,98.72,5
2026-03-01,Network,98.53,5
2026-04-01,ERP,99.84,2
2026-04-01,MES,99.46,5
2026-04-01,PLM,99.41,2
2026-04-01,Email,98.9,5
2026-04-01,Network,99.46,2
2026-05-01,ERP,99.69,0
2026-05-01,MES,99.81,1
2026-05-01,PLM,99.54,1
2026-05-01,Email,99.37,2
2026-05-01,Network,99.62,6
2026-06-01,ERP,99.77,3
2026-06-01,MES,98.92,6
2026-06-01,PLM,99.78,4
2026-06-01,Email,98.63,5
2026-06-01,Network,99.93,6
2026-07-01,ERP,99.2,4
2026-07-01,MES,99.25,6
2026-07-01,PLM,99.81,3
2026-07-01,Email,98.72,1
2026-07-01,Network,98.54,6
2026-08-01,ERP,98.95,5
2026-08-01,MES,99.25,5
2026-08-01,PLM,100.00,0
2026-08-01,Email,98.65,6
2026-08-01,Network,99.91,7
