WeekStart,WorkCenterID,SiteID,DirectHours,OvertimeHours,UnitsProduced
2025-01-06,WC-001,SITE-01,514.6,48.2,5306
2025-01-13,WC-001,SITE-01,491.4,23.6,5997
2025-01-20,WC-001,SITE-01,526.8,34.2,5201
2025-01-27,WC-001,SITE-01,492.3,12.5,6286
2025-02-03,WC-001,SITE-01,455.7,40.9,5844
2025-02-10,WC-001,SITE-01,441.9,9.7,4310
2025-02-17,WC-001,SITE-01,523.5,53.6,4805
2025-02-24,WC-001,SITE-01,503.6,46.6,5797
2025-03-03,WC-001,SITE-01,446.2,11.9,3346
2025-03-10,WC-001,SITE-01,441.6,49.2,4402
2025-03-17,WC-001,SITE-01,493.5,30.2,5073
2025-03-24,WC-001,SITE-01,506.8,14.7,6376
2025-03-31,WC-001,SITE-01,494.1,30.7,3327
2025-04-07,WC-001,SITE-01,488.9,47.9,4368
2025-04-14,WC-001,SITE-01,513.9,54.7,5107
2025-04-21,WC-001,SITE-01,496.0,42.4,3868
2025-04-28,WC-001,SITE-01,446.1,49.0,5751
2025-05-05,WC-001,SITE-01,442.1,30.9,3246
2025-05-12,WC-001,SITE-01,505.5,41.7,4188
2025-05-19,WC-001,SITE-01,503.0,23.6,5401
2025-05-26,WC-001,SITE-01,483.5,12.2,5360
2025-06-02,WC-001,SITE-01,482.5,16.4,6006
2025-06-09,WC-001,SITE-01,528.2,16.6,3619
2025-06-16,WC-001,SITE-01,507.4,60.1,3250
2025-06-23,WC-001,SITE-01,487.4,54.0,6758
2025-06-30,WC-001,SITE-01,453.1,14.9,6254
2025-07-07,WC-001,SITE-01,500.5,44.1,4243
2025-07-14,WC-001,SITE-01,484.1,13.8,5281
2025-07-21,WC-001,SITE-01,480.4,15.1,3581
2025-07-28,WC-001,SITE-01,499.7,47.6,4038
2025-08-04,WC-001,SITE-01,445.2,40.7,5365
2025-08-11,WC-001,SITE-01,473.1,15.1,4529
2025-08-18,WC-001,SITE-01,491.5,54.6,6855
2025-08-25,WC-001,SITE-01,460.9,38.7,4146
2025-09-01,WC-001,SITE-01,508.0,32.1,3583
2025-09-08,WC-001,SITE-01,494.3,52.5,3850
2025-09-15,WC-001,SITE-01,437.5,9.1,3751
2025-09-22,WC-001,SITE-01,512.1,41.0,5673
2025-09-29,WC-001,SITE-01,499.6,49.7,5054
2025-10-06,WC-001,SITE-01,498.9,29.2,3856
2025-10-13,WC-001,SITE-01,484.0,40.5,3001
2025-10-20,WC-001,SITE-01,457.7,28.5,4066
2025-10-27,WC-001,SITE-01,470.4,46.6,4818
2025-11-03,WC-001,SITE-01,505.6,31.1,5608
2025-11-10,WC-001,SITE-01,528.3,46.6,6036
2025-11-17,WC-001,SITE-01,483.4,13.1,6094
2025-11-24,WC-001,SITE-01,488.0,42.4,3981
2025-12-01,WC-001,SITE-01,436.2,17.6,4213
2025-12-08,WC-001,SITE-01,503.4,35.8,4155
2025-12-15,WC-001,SITE-01,526.5,27.8,6274
2025-12-22,WC-001,SITE-01,466.8,47.1,5416
2025-12-29,WC-001,SITE-01,485.5,50.9,3647
2026-01-05,WC-001,SITE-01,433.8,42.0,2730
2026-01-12,WC-001,SITE-01,481.0,17.7,2910
2026-01-19,WC-001,SITE-01,438.9,9.8,5985
2026-01-26,WC-001,SITE-01,527.5,38.6,3576
2026-02-02,WC-001,SITE-01,443.9,36.8,3195
2026-02-09,WC-001,SITE-01,466.2,35.8,5876
2026-02-16,WC-001,SITE-01,499.1,23.5,5143
2026-02-23,WC-001,SITE-01,450.2,29.4,4546
2026-03-02,WC-001,SITE-01,500.5,30.2,5824
2026-03-09,WC-001,SITE-01,491.0,45.5,5662
2026-03-16,WC-001,SITE-01,468.5,36.9,5729
2026-03-23,WC-001,SITE-01,462.7,39.4,6087
2026-03-30,WC-001,SITE-01,439.5,48.6,3834
2026-04-06,WC-001,SITE-01,515.7,21.5,5582
2026-04-13,WC-001,SITE-01,437.2,38.9,5704
2026-04-20,WC-001,SITE-01,516.6,12.6,5521
2026-04-27,WC-001,SITE-01,478.1,42.6,5012
2026-05-04,WC-001,SITE-01,500.3,43.6,4037
2026-05-11,WC-001,SITE-01,489.7,16.7,3895
2026-05-18,WC-001,SITE-01,487.4,38.2,6185
2026-05-25,WC-001,SITE-01,509.7,29.0,3979
2026-06-01,WC-001,SITE-01,503.7,54.3,6148
2026-06-08,WC-001,SITE-01,435.2,28.2,5246
2026-06-15,WC-001,SITE-01,443.7,48.9,4009
2026-06-22,WC-001,SITE-01,476.6,49.3,3086
2026-06-29,WC-001,SITE-01,513.0,57.0,6206
2026-07-06,WC-001,SITE-01,499.0,55.0,5897
2025-01-06,WC-002,SITE-01,363.4,31.7,3369
2025-01-13,WC-002,SITE-01,369.5,29.2,4326
2025-01-20,WC-002,SITE-01,367.1,30.4,4890
2025-01-27,WC-002,SITE-01,407.8,34.4,5232
2025-02-03,WC-002,SITE-01,407.3,11.7,4980
2025-02-10,WC-002,SITE-01,385.1,17.9,3510
2025-02-17,WC-002,SITE-01,386.2,29.0,3059
2025-02-24,WC-002,SITE-01,409.5,22.4,3760
2025-03-03,WC-002,SITE-01,405.0,16.3,4477
2025-03-10,WC-002,SITE-01,352.2,9.4,2948
2025-03-17,WC-002,SITE-01,391.6,39.2,2420
2025-03-24,WC-002,SITE-01,413.3,15.9,4244
2025-03-31,WC-002,SITE-01,411.8,34.5,4877
2025-04-07,WC-002,SITE-01,355.0,39.4,3469
2025-04-14,WC-002,SITE-01,408.2,22.3,4908
2025-04-21,WC-002,SITE-01,364.2,31.5,4498
2025-04-28,WC-002,SITE-01,372.1,13.6,3744
2025-05-05,WC-002,SITE-01,372.8,39.0,3405
2025-05-12,WC-002,SITE-01,378.9,24.2,4163
2025-05-19,WC-002,SITE-01,394.3,18.6,3055
2025-05-26,WC-002,SITE-01,408.7,11.7,2720
2025-06-02,WC-002,SITE-01,414.8,8.6,2687
2025-06-09,WC-002,SITE-01,413.6,16.2,4175
2025-06-16,WC-002,SITE-01,375.7,36.9,3383
2025-06-23,WC-002,SITE-01,344.2,11.2,2788
2025-06-30,WC-002,SITE-01,408.3,29.1,5240
2025-07-07,WC-002,SITE-01,394.3,34.2,2999
2025-07-14,WC-002,SITE-01,346.9,21.5,3687
2025-07-21,WC-002,SITE-01,391.9,12.7,3757
2025-07-28,WC-002,SITE-01,347.6,29.2,3545
2025-08-04,WC-002,SITE-01,395.7,22.5,3801
2025-08-11,WC-002,SITE-01,376.8,17.0,3737
2025-08-18,WC-002,SITE-01,405.8,9.1,3448
2025-08-25,WC-002,SITE-01,385.8,16.9,2818
2025-09-01,WC-002,SITE-01,365.8,32.7,4610
2025-09-08,WC-002,SITE-01,390.2,46.5,2969
2025-09-15,WC-002,SITE-01,398.0,33.6,3919
2025-09-22,WC-002,SITE-01,364.3,42.0,3753
2025-09-29,WC-002,SITE-01,407.1,20.5,2693
2025-10-06,WC-002,SITE-01,375.9,44.2,4320
2025-10-13,WC-002,SITE-01,369.0,34.8,4602
2025-10-20,WC-002,SITE-01,346.1,27.8,3057
2025-10-27,WC-002,SITE-01,363.8,19.8,2954
2025-11-03,WC-002,SITE-01,403.5,14.2,2766
2025-11-10,WC-002,SITE-01,383.0,8.6,3445
2025-11-17,WC-002,SITE-01,343.6,10.8,4288
2025-11-24,WC-002,SITE-01,408.6,18.8,4751
2025-12-01,WC-002,SITE-01,357.7,37.1,3560
2025-12-08,WC-002,SITE-01,353.3,32.1,3225
2025-12-15,WC-002,SITE-01,344.0,27.0,2806
2025-12-22,WC-002,SITE-01,363.8,36.7,4508
2025-12-29,WC-002,SITE-01,360.7,25.3,2830
