Month,ProgramID,Commodity,Quantity,UnitCostUSD,MaterialCostUSD
2024-01-01,PGM-001,Machined Castings,1158,87.65,101499.83
2024-01-01,PGM-002,Electronics,841,101.82,85631.44
2024-01-01,PGM-003,Electronics,1751,38.0,66544.63
2024-01-01,PGM-004,Electronics,1505,111.17,167315.11
2024-01-01,PGM-005,Composites,734,69.12,50734.46
2024-01-01,PGM-006,Sheet Metal,3652,38.89,142027.93
2024-01-01,PGM-007,Electronics,1274,36.29,46235.98
2024-01-01,PGM-008,Machined Castings,1936,22.55,43650.89
2024-01-01,PGM-009,Electronics,2730,79.87,218047.84
2024-02-01,PGM-001,Electronics,2371,118.38,280685.81
2024-02-01,PGM-002,Sheet Metal,1753,85.43,149755.09
2024-02-01,PGM-003,Electronics,3193,60.93,194559.83
2024-02-01,PGM-004,Machined Castings,3038,85.32,259191.53
2024-02-01,PGM-005,Electronics,2454,52.61,129103.55
2024-02-01,PGM-006,Composites,676,55.79,37714.32
2024-02-01,PGM-007,Machined Castings,2561,74.66,191200.04
2024-02-01,PGM-008,Sheet Metal,3539,40.15,142092.5
2024-02-01,PGM-009,Sheet Metal,1896,21.83,41384.93
2024-03-01,PGM-001,Fasteners,846,31.77,26873.32
2024-03-01,PGM-002,Composites,2644,29.74,78638.51
2024-03-01,PGM-003,Fasteners,1401,85.21,119384.5
2024-03-01,PGM-004,Electronics,3684,68.72,253146.96
2024-03-01,PGM-005,Machined Castings,3447,75.66,260816.51
2024-03-01,PGM-006,Sheet Metal,1576,107.75,169811.56
2024-03-01,PGM-007,Composites,2289,85.38,195430.2
2024-03-01,PGM-008,Sheet Metal,900,20.73,18655.19
2024-03-01,PGM-009,Composites,1085,55.71,60445.53
2024-04-01,PGM-001,Machined Castings,3118,58.99,183936.32
2024-04-01,PGM-002,Fasteners,829,47.58,39442.42
2024-04-01,PGM-003,Electronics,828,87.78,72681.29
2024-04-01,PGM-004,Fasteners,2426,109.13,264753.62
2024-04-01,PGM-005,Machined Castings,1889,87.11,164554.91
2024-04-01,PGM-006,Machined Castings,3364,85.16,286464.05
2024-04-01,PGM-007,Composites,2159,74.09,159967.97
2024-04-01,PGM-008,Fasteners,915,108.72,99476.76
2024-04-01,PGM-009,Electronics,647,23.76,15371.13
2024-05-01,PGM-001,Fasteners,3372,48.57,163770.78
2024-05-01,PGM-002,Machined Castings,1057,71.19,75245.36
2024-05-01,PGM-003,Machined Castings,3203,107.68,344907.85
2024-05-01,PGM-004,Machined Castings,1103,70.38,77633.64
2024-05-01,PGM-005,Composites,518,36.58,18949.02
2024-05-01,PGM-006,Fasteners,877,29.01,25439.37
2024-05-01,PGM-007,Machined Castings,2645,69.99,185133.42
2024-05-01,PGM-008,Sheet Metal,3549,91.2,323680.55
2024-05-01,PGM-009,Sheet Metal,3158,68.64,216764.88
2024-06-01,PGM-001,Composites,3382,76.91,260115.91
2024-06-01,PGM-002,Fasteners,2618,26.13,68414.16
2024-06-01,PGM-003,Sheet Metal,2074,105.9,219645.01
2024-06-01,PGM-004,Electronics,2399,88.43,212141.55
2024-06-01,PGM-005,Electronics,1805,100.81,181959.51
2024-06-01,PGM-006,Electronics,1537,79.36,121970.66
2024-06-01,PGM-007,Composites,875,84.96,74339.34
2024-06-01,PGM-008,Sheet Metal,3827,32.87,125796.83
2024-06-01,PGM-009,Fasteners,468,64.37,30127.07
2024-07-01,PGM-001,Fasteners,1442,98.51,142050.88
2024-07-01,PGM-002,Machined Castings,1886,54.23,102273.35
2024-07-01,PGM-003,Electronics,2404,109.48,263180.61
2024-07-01,PGM-004,Machined Castings,1518,113.86,172839.74
2024-07-01,PGM-005,Sheet Metal,1704,63.06,107462.71
2024-07-01,PGM-006,Sheet Metal,3422,93.17,318817.79
2024-07-01,PGM-007,Composites,609,60.92,37102.3
2024-07-01,PGM-008,Fasteners,1956,29.61,57912.6
2024-07-01,PGM-009,Machined Castings,434,36.02,15630.61
2024-08-01,PGM-001,Electronics,3791,114.61,434470.6
2024-08-01,PGM-002,Composites,1892,31.51,59612.33
2024-08-01,PGM-003,Sheet Metal,1061,112.92,119803.08
2024-08-01,PGM-004,Machined Castings,1246,96.87,120695.05
2024-08-01,PGM-005,Composites,3302,32.07,105908.71
2024-08-01,PGM-006,Electronics,3591,22.82,81935.09
2024-08-01,PGM-007,Composites,690,88.96,61380.64
2024-08-01,PGM-008,Fasteners,1952,53.66,104745.0
2024-08-01,PGM-009,Electronics,2029,24.77,50264.46
2024-09-01,PGM-001,Sheet Metal,2261,76.05,171952.04
2024-09-01,PGM-002,Electronics,2289,106.18,243044.74
2024-09-01,PGM-003,Sheet Metal,3228,48.14,155379.9
2024-09-01,PGM-004,Machined Castings,2045,106.34,217469.58
2024-09-01,PGM-005,Machined Castings,3917,43.78,171485.89
2024-09-01,PGM-006,Fasteners,2085,63.04,131445.25
2024-09-01,PGM-007,Composites,3335,110.94,369992.66
2024-09-01,PGM-008,Machined Castings,701,78.45,54994.21
2024-09-01,PGM-009,Machined Castings,2684,44.35,119033.63
2024-10-01,PGM-001,Sheet Metal,2864,27.39,78454.24
2024-10-01,PGM-002,Composites,3772,93.52,352750.9
2024-10-01,PGM-003,Machined Castings,3456,62.38,215580.81
2024-10-01,PGM-004,Sheet Metal,2243,43.46,97472.16
2024-10-01,PGM-005,Sheet Metal,3394,56.07,190295.95
2024-10-01,PGM-006,Electronics,2020,61.79,124819.2
2024-10-01,PGM-007,Fasteners,1541,118.96,183314.46
2024-10-01,PGM-008,Fasteners,1593,34.73,55331.66
2024-10-01,PGM-009,Sheet Metal,2664,101.99,271708.0
2024-11-01,PGM-001,Machined Castings,2036,28.67,58371.7
2024-11-01,PGM-002,Composites,3931,41.42,162831.66
2024-11-01,PGM-003,Machined Castings,2731,75.59,206443.18
2024-11-01,PGM-004,Electronics,3791,97.93,371253.13
2024-11-01,PGM-005,Composites,3761,78.29,294464.85
2024-11-01,PGM-006,Fasteners,517,33.12,17121.78
2024-11-01,PGM-007,Machined Castings,1173,47.52,55745.32
2024-11-01,PGM-008,Fasteners,2058,100.98,207816.79
2024-11-01,PGM-009,Electronics,3823,115.88,443010.56
2024-12-01,PGM-001,Machined Castings,3954,32.32,127812.89
2024-12-01,PGM-002,Fasteners,2179,95.19,207418.19
2024-12-01,PGM-003,Sheet Metal,3487,35.28,123022.7
2024-12-01,PGM-004,Sheet Metal,1983,33.98,67375.66
2024-12-01,PGM-005,Electronics,1037,72.93,75623.73
2024-12-01,PGM-006,Sheet Metal,497,82.0,40753.13
2024-12-01,PGM-007,Machined Castings,2607,58.39,152231.79
2024-12-01,PGM-008,Machined Castings,851,95.45,81229.29
2024-12-01,PGM-009,Fasteners,3757,44.48,167095.06
2025-01-01,PGM-001,Sheet Metal,2796,109.96,307458.66
2025-01-01,PGM-002,Sheet Metal,3809,81.8,311593.58
2025-01-01,PGM-003,Composites,3368,40.68,136993.95
2025-01-01,PGM-004,Machined Castings,2523,66.23,167104.15
2025-01-01,PGM-005,Machined Castings,1487,76.43,113649.47
2025-01-01,PGM-006,Fasteners,3296,62.32,205406.11
2025-01-01,PGM-007,Composites,884,38.41,33958.79
2025-01-01,PGM-008,Machined Castings,3846,29.47,113330.9
2025-01-01,PGM-009,Sheet Metal,742,50.24,37275.24
2025-02-01,PGM-001,Fasteners,756,78.42,59289.2
2025-02-01,PGM-002,Composites,933,28.13,26241.72
2025-02-01,PGM-003,Fasteners,913,70.09,63988.22
2025-02-01,PGM-004,Sheet Metal,751,54.65,41044.51
2025-02-01,PGM-005,Machined Castings,2132,61.71,131561.08
2025-02-01,PGM-006,Sheet Metal,1242,104.77,130119.78
2025-02-01,PGM-007,Sheet Metal,2703,37.92,102490.77
2025-02-01,PGM-008,Electronics,1274,118.22,150617.85
2025-02-01,PGM-009,Machined Castings,3219,45.65,146932.53
2025-03-01,PGM-001,Sheet Metal,3832,65.54,251167.29
2025-03-01,PGM-002,Machined Castings,3222,36.26,116819.31
2025-03-01,PGM-003,Electronics,2644,83.67,221217.24
2025-03-01,PGM-004,Machined Castings,2225,85.2,189571.48
2025-03-01,PGM-005,Sheet Metal,1056,76.67,80966.81
2025-03-01,PGM-006,Composites,673,49.14,33072.08
2025-03-01,PGM-007,Electronics,1618,36.78,59505.26
2025-03-01,PGM-008,Machined Castings,2337,118.08,275952.97
2025-03-01,PGM-009,Electronics,3986,105.24,419502.5
2025-04-01,PGM-001,Sheet Metal,2279,89.25,203408.4
2025-04-01,PGM-002,Sheet Metal,2056,46.84,96301.25
2025-04-01,PGM-003,Fasteners,2745,73.78,202526.47
2025-04-01,PGM-004,Sheet Metal,1035,22.68,23471.17
2025-04-01,PGM-005,Fasteners,2704,80.09,216556.11
2025-04-01,PGM-006,Composites,2389,28.35,67728.35
2025-04-01,PGM-007,Composites,3981,103.33,411345.27
2025-04-01,PGM-008,Fasteners,1238,112.92,139795.1
2025-04-01,PGM-009,Sheet Metal,2072,20.07,41593.96
2025-05-01,PGM-001,Fasteners,2912,84.84,247067.63
2025-05-01,PGM-002,Fasteners,2100,89.45,187835.06
2025-05-01,PGM-003,Composites,676,40.38,27298.45
2025-05-01,PGM-004,Machined Castings,822,44.16,36297.65
2025-05-01,PGM-005,Fasteners,1244,84.12,104646.44
2025-05-01,PGM-006,Machined Castings,1565,30.96,48453.91
2025-05-01,PGM-007,Electronics,1400,57.74,80835.6
2025-05-01,PGM-008,Machined Castings,2555,74.52,190396.88
2025-05-01,PGM-009,Electronics,2138,114.72,245263.49
2025-06-01,PGM-001,Electronics,1381,65.2,90037.13
2025-06-01,PGM-002,Sheet Metal,1032,50.08,51677.86
2025-06-01,PGM-003,Fasteners,3458,102.69,355096.61
2025-06-01,PGM-004,Composites,2634,51.42,135431.57
2025-06-01,PGM-005,Fasteners,1612,98.44,158682.89
2025-06-01,PGM-006,Machined Castings,929,34.01,31596.07
2025-06-01,PGM-007,Sheet Metal,1264,110.86,140132.22
2025-06-01,PGM-008,Electronics,3273,117.8,385549.24
2025-06-01,PGM-009,Machined Castings,672,56.8,38168.31
2025-07-01,PGM-001,Composites,2034,104.55,212648.8
2025-07-01,PGM-002,Fasteners,2511,57.59,144614.61
