WeekStart,WorkCenterID,SiteID,UnitsProduced,UnitsScrapped,ScrapPct,ScrapCostUSD
2025-01-06,WC-001,SITE-01,5306,111,2.1,6017.25
2025-01-13,WC-001,SITE-01,5997,117,1.96,2324.66
2025-01-20,WC-001,SITE-01,5201,134,2.59,3156.06
2025-01-27,WC-001,SITE-01,6286,137,2.18,7756.36
2025-02-03,WC-001,SITE-01,5844,149,2.56,3575.98
2025-02-10,WC-001,SITE-01,4310,111,2.59,3564.94
2025-02-17,WC-001,SITE-01,4805,123,2.58,4502.36
2025-02-24,WC-001,SITE-01,5797,144,2.49,4119.87
2025-03-03,WC-001,SITE-01,3346,79,2.37,3285.32
2025-03-10,WC-001,SITE-01,4402,109,2.49,3236.96
2025-03-17,WC-001,SITE-01,5073,128,2.54,5041.46
2025-03-24,WC-001,SITE-01,6376,134,2.11,2611.33
2025-03-31,WC-001,SITE-01,3327,70,2.12,3209.98
2025-04-07,WC-001,SITE-01,4368,88,2.03,3859.94
2025-04-14,WC-001,SITE-01,5107,108,2.12,2085.18
2025-04-21,WC-001,SITE-01,3868,75,1.96,3454.04
2025-04-28,WC-001,SITE-01,5751,112,1.95,6572.85
2025-05-05,WC-001,SITE-01,3246,73,2.26,3058.9
2025-05-12,WC-001,SITE-01,4188,92,2.21,5448.86
2025-05-19,WC-001,SITE-01,5401,123,2.28,6320.59
2025-05-26,WC-001,SITE-01,5360,107,2.0,4226.9
2025-06-02,WC-001,SITE-01,6006,123,2.05,4372.18
2025-06-09,WC-001,SITE-01,3619,91,2.52,1971.02
2025-06-16,WC-001,SITE-01,3250,80,2.47,4098.25
2025-06-23,WC-001,SITE-01,6758,150,2.23,3599.87
2025-06-30,WC-001,SITE-01,6254,140,2.25,4360.16
2025-07-07,WC-001,SITE-01,4243,101,2.39,5238.95
2025-07-14,WC-001,SITE-01,5281,133,2.52,2628.47
2025-07-21,WC-001,SITE-01,3581,73,2.06,2943.56
2025-07-28,WC-001,SITE-01,4038,99,2.47,4677.0
2025-08-04,WC-001,SITE-01,5365,127,2.37,6956.95
2025-08-11,WC-001,SITE-01,4529,105,2.32,4093.52
2025-08-18,WC-001,SITE-01,6855,155,2.27,5784.8
2025-08-25,WC-001,SITE-01,4146,80,1.93,3791.81
2025-09-01,WC-001,SITE-01,3583,70,1.96,3423.42
2025-09-08,WC-001,SITE-01,3850,78,2.05,4047.88
2025-09-15,WC-001,SITE-01,3751,84,2.25,1564.49
2025-09-22,WC-001,SITE-01,5673,128,2.26,4785.56
2025-09-29,WC-001,SITE-01,5054,115,2.29,6526.66
2025-10-06,WC-001,SITE-01,3856,97,2.53,3776.73
2025-10-13,WC-001,SITE-01,3001,58,1.95,1899.91
2025-10-20,WC-001,SITE-01,4066,91,2.25,3058.82
2025-10-27,WC-001,SITE-01,4818,100,2.08,2659.78
2025-11-03,WC-001,SITE-01,5608,109,1.95,4977.68
2025-11-10,WC-001,SITE-01,6036,150,2.5,5213.5
2025-11-17,WC-001,SITE-01,6094,130,2.14,3366.65
2025-11-24,WC-001,SITE-01,3981,90,2.27,2714.82
2025-12-01,WC-001,SITE-01,4213,102,2.43,3631.7
2025-12-08,WC-001,SITE-01,4155,82,1.98,2355.15
2025-12-15,WC-001,SITE-01,6274,151,2.41,3153.19
2025-12-22,WC-001,SITE-01,5416,126,2.34,3554.42
2025-12-29,WC-001,SITE-01,3647,86,2.38,1818.12
2026-01-05,WC-001,SITE-01,2730,67,2.47,3623.38
2026-01-12,WC-001,SITE-01,2910,61,2.1,2921.45
