Month,SiteID,DefectPPM,FirstPassYieldPct
2024-01-01,SITE-01,949.0,97.9
2024-01-01,SITE-02,855.0,94.8
2024-01-01,SITE-03,1041.0,93.3
2024-01-01,SITE-04,726.0,92.2
2024-02-01,SITE-01,896.0,92.7
2024-02-01,SITE-02,936.0,98.4
2024-02-01,SITE-03,533.0,94.3
2024-02-01,SITE-04,1028.0,97.6
2024-03-01,SITE-01,475.0,95.5
2024-03-01,SITE-02,1007.0,94.9
2024-03-01,SITE-03,1121.0,98.0
2024-03-01,SITE-04,1106.0,96.2
2024-04-01,SITE-01,646.0,93.3
2024-04-01,SITE-02,582.0,97.1
2024-04-01,SITE-03,756.0,96.3
2024-04-01,SITE-04,582.0,92.7
2024-05-01,SITE-01,768.0,97.9
2024-05-01,SITE-02,1045.0,95.2
2024-05-01,SITE-03,665.0,95.3
2024-05-01,SITE-04,917.0,97.8
2024-06-01,SITE-01,1020.0,97.6
2024-06-01,SITE-02,1074.0,96.5
2024-06-01,SITE-03,680.0,96.4
2024-06-01,SITE-04,1132.0,97.4
2024-07-01,SITE-01,1122.0,95.0
2024-07-01,SITE-02,779.0,92.5
2024-07-01,SITE-03,1152.0,96.4
2024-07-01,SITE-04,497.0,98.8
2024-08-01,SITE-01,502.0,92.8
2024-08-01,SITE-02,1121.0,94.2
2024-08-01,SITE-03,814.0,95.5
2024-08-01,SITE-04,1126.0,95.5
2024-09-01,SITE-01,762.0,95.0
2024-09-01,SITE-02,836.0,98.8
2024-09-01,SITE-03,829.0,93.3
2024-09-01,SITE-04,761.0,92.9
2024-10-01,SITE-01,417.0,94.4
2024-10-01,SITE-02,752.0,93.7
2024-10-01,SITE-03,445.0,93.6
2024-10-01,SITE-04,652.0,97.7
2024-11-01,SITE-01,689.0,98.4
2024-11-01,SITE-02,540.0,98.4
2024-11-01,SITE-03,1054.0,92.2
2024-11-01,SITE-04,929.0,96.7
2024-12-01,SITE-01,628.0,93.5
2024-12-01,SITE-02,725.0,94.8
2024-12-01,SITE-03,584.0,97.3
2024-12-01,SITE-04,460.0,96.2
2025-01-01,SITE-01,652.0,95.4
2025-01-01,SITE-02,1066.0,98.7
2025-01-01,SITE-03,692.0,95.3
2025-01-01,SITE-04,510.0,93.9
2025-02-01,SITE-01,995.0,92.5
2025-02-01,SITE-02,1026.0,95.2
2025-02-01,SITE-03,576.0,92.8
2025-02-01,SITE-04,429.0,97.6
2025-03-01,SITE-01,1069.0,96.3
2025-03-01,SITE-02,968.0,94.4
2025-03-01,SITE-03,788.0,97.6
2025-03-01,SITE-04,930.0,97.8
2025-04-01,SITE-01,718.0,92.2
2025-04-01,SITE-02,897.0,94.5
2025-04-01,SITE-03,491.0,94.2
2025-04-01,SITE-04,849.0,93.7
2025-05-01,SITE-01,904.0,98.4
2025-05-01,SITE-02,502.0,97.1
2025-05-01,SITE-03,746.0,96.9
2025-05-01,SITE-04,528.0,94.3
2025-06-01,SITE-01,629.0,98.3
2025-06-01,SITE-02,809.0,93.4
2025-06-01,SITE-03,975.0,98.3
2025-06-01,SITE-04,1014.0,94.8
2025-07-01,SITE-01,603.0,93.3
2025-07-01,SITE-02,677.0,97.2
2025-07-01,SITE-03,529.0,98.4
2025-07-01,SITE-04,758.0,94.9
2025-08-01,SITE-01,950.0,96.1
2025-08-01,SITE-02,1047.0,95.2
2025-08-01,SITE-03,1117.0,95.4
2025-08-01,SITE-04,742.0,93.6
2025-09-01,SITE-01,671.0,92.1
2025-09-01,SITE-02,862.0,97.5
2025-09-01,SITE-03,991.0,96.7
2025-09-01,SITE-04,1141.0,96.3
2025-10-01,SITE-01,964.0,95.8
2025-10-01,SITE-02,1199.0,98.9
2025-10-01,SITE-03,728.0,92.0
2025-10-01,SITE-04,661.0,97.7
2025-11-01,SITE-01,661.0,96.3
2025-11-01,SITE-02,448.0,96.6
2025-11-01,SITE-03,1052.0,93.2
2025-11-01,SITE-04,1171.0,97.0
2025-12-01,SITE-01,495.0,93.2
2025-12-01,SITE-02,1072.0,94.3
2025-12-01,SITE-03,471.0,96.1
2025-12-01,SITE-04,476.0,96.7
2026-01-01,SITE-01,908.0,98.8
2026-01-01,SITE-02,712.0,92.3
2026-01-01,SITE-03,694.0,98.1
2026-01-01,SITE-04,534.0,96.4
2026-02-01,SITE-01,1256.0,93.5
2026-02-01,SITE-02,816.0,97.8
2026-02-01,SITE-03,800.0,96.3
2026-02-01,SITE-04,481.0,96.1
2026-03-01,SITE-01,723.0,98.0
2026-03-01,SITE-02,719.0,92.4
2026-03-01,SITE-03,995.0,93.2
2026-03-01,SITE-04,1130.0,92.9
2026-04-01,SITE-01,1066.0,94.3
2026-04-01,SITE-02,981.0,94.6
2026-04-01,SITE-03,1085.0,98.4
2026-04-01,SITE-04,651.0,96.0
2026-05-01,SITE-01,1830.0,94.2
2026-05-01,SITE-02,550.0,93.6
2026-05-01,SITE-03,528.0,93.0
2026-05-01,SITE-04,1024.0,96.9
2026-06-01,SITE-01,1621.0,92.9
2026-06-01,SITE-02,1029.0,98.7
2026-06-01,SITE-03,529.0,94.7
2026-06-01,SITE-04,1151.0,94.7
2026-07-01,SITE-01,1289.0,94.9
2026-07-01,SITE-02,1106.0,92.1
2026-07-01,SITE-03,983.0,95.8
2026-07-01,SITE-04,453.0,92.9
2026-08-01,SITE-01,1523,93.2
2026-08-01,SITE-02,949,93.6
2026-08-01,SITE-03,619,96.5
2026-08-01,SITE-04,445,93.9
