Month,ProgramID,Customer,RevenueUSD,Units
2024-01-01,PGM-001,Northwind Aerospace,900814.39,413
2024-02-01,PGM-001,Northwind Aerospace,838494.31,387
2024-03-01,PGM-001,Northwind Aerospace,963022.43,651
2024-04-01,PGM-001,Northwind Aerospace,941001.76,414
2024-05-01,PGM-001,Northwind Aerospace,866600.9,1077
2024-06-01,PGM-001,Northwind Aerospace,862102.36,632
2024-07-01,PGM-001,Northwind Aerospace,842461.07,359
2024-08-01,PGM-001,Northwind Aerospace,889220.54,378
2024-09-01,PGM-001,Northwind Aerospace,936143.37,726
2024-10-01,PGM-001,Northwind Aerospace,924458.3,1074
2024-11-01,PGM-001,Northwind Aerospace,920271.49,531
2024-12-01,PGM-001,Northwind Aerospace,944224.81,450
2025-01-01,PGM-001,Northwind Aerospace,899292.82,948
2025-02-01,PGM-001,Northwind Aerospace,974268.59,813
2025-03-01,PGM-001,Northwind Aerospace,1019944.75,413
2025-04-01,PGM-001,Northwind Aerospace,1038729.66,1286
2025-05-01,PGM-001,Northwind Aerospace,991628.36,724
2025-06-01,PGM-001,Northwind Aerospace,926627.96,429
2025-07-01,PGM-001,Northwind Aerospace,939234.03,558
2025-08-01,PGM-001,Northwind Aerospace,933686.19,590
2025-09-01,PGM-001,Northwind Aerospace,1034454.56,865
2025-10-01,PGM-001,Northwind Aerospace,1057247.92,1175
2025-11-01,PGM-001,Northwind Aerospace,1062860.93,638
2025-12-01,PGM-001,Northwind Aerospace,1078096.14,616
2026-01-01,PGM-001,Northwind Aerospace,989526.37,412
2026-02-01,PGM-001,Northwind Aerospace,1113180.59,494
2026-03-01,PGM-001,Northwind Aerospace,1100180.26,548
2026-04-01,PGM-001,Northwind Aerospace,1118900.9,641
2026-05-01,PGM-001,Northwind Aerospace,1088001.73,660
2026-06-01,PGM-001,Northwind Aerospace,1007480.46,505
2026-07-01,PGM-001,Northwind Aerospace,1119810.97,495
2024-01-01,PGM-002,Cascade Defense Systems,725846.29,575
2024-02-01,PGM-002,Cascade Defense Systems,771216.85,755
2024-03-01,PGM-002,Cascade Defense Systems,797951.45,811
2024-04-01,PGM-002,Cascade Defense Systems,767936.15,580
2024-05-01,PGM-002,Cascade Defense Systems,707687.98,376
2024-06-01,PGM-002,Cascade Defense Systems,760108.22,629
2024-07-01,PGM-002,Cascade Defense Systems,728537.55,454
2024-08-01,PGM-002,Cascade Defense Systems,710111.78,298
