FindingID,Date,SiteID,Area,Severity,Status
EHSA-001,2026-02-04,SITE-04,Chemical Storage,Minor,Closed
EHSA-002,2026-01-24,SITE-01,Machining,Major,Open
EHSA-003,2026-04-23,SITE-02,Chemical Storage,Minor,Open
EHSA-004,2026-05-15,SITE-03,Dock,Major,Open
EHSA-005,2026-05-10,SITE-02,Dock,Major,Open
EHSA-006,2026-01-11,SITE-04,Electrical,Major,Open
EHSA-007,2026-02-19,SITE-01,Chemical Storage,Minor,Open
EHSA-008,2026-03-16,SITE-02,Machining,Major,Open
EHSA-009,2026-05-19,SITE-04,Electrical,Minor,Open
EHSA-010,2026-06-09,SITE-03,Dock,Major,Open
EHSA-011,2026-04-08,SITE-03,Machining,Major,Closed
EHSA-012,2026-03-05,SITE-04,Machining,Minor,Closed
EHSA-013,2026-04-20,SITE-01,Dock,Major,Open
EHSA-014,2026-05-14,SITE-03,Electrical,Major,Closed
EHSA-015,2026-02-25,SITE-02,Dock,Minor,Open
EHSA-016,2026-01-13,SITE-03,Electrical,Major,Open
EHSA-017,2026-03-10,SITE-02,Dock,Minor,Open
EHSA-018,2026-05-01,SITE-03,Machining,Major,Open
EHSA-019,2026-06-14,SITE-02,Chemical Storage,Major,Open
EHSA-020,2026-05-05,SITE-02,Dock,Minor,Closed
EHSA-021,2026-04-09,SITE-03,Electrical,Major,Closed
EHSA-022,2026-05-25,SITE-04,Electrical,Major,Closed
EHSA-023,2026-01-04,SITE-03,Dock,Minor,Open
EHSA-024,2026-01-03,SITE-03,Dock,Major,Closed
