WorkOrderID,SiteID,Category,Priority,Status,OpenedDate
FWO-0001,SITE-02,Electrical,High,Closed,2026-03-03
FWO-0002,SITE-01,HVAC,Low,Closed,2026-02-16
FWO-0003,SITE-02,Safety,High,Open,2026-04-19
FWO-0004,SITE-02,Plumbing,Low,Closed,2026-03-08
FWO-0005,SITE-02,Safety,Medium,Open,2026-06-21
FWO-0006,SITE-02,Plumbing,Medium,Open,2026-06-05
FWO-0007,SITE-01,Plumbing,Medium,Open,2026-03-09
FWO-0008,SITE-01,Electrical,Medium,Open,2026-06-16
FWO-0009,SITE-03,Electrical,Medium,Closed,2026-05-15
FWO-0010,SITE-04,Electrical,High,Open,2026-06-18
FWO-0011,SITE-03,HVAC,High,Closed,2026-01-03
FWO-0012,SITE-03,Plumbing,Low,Closed,2026-01-26
FWO-0013,SITE-02,Safety,High,Closed,2026-05-15
FWO-0014,SITE-04,Plumbing,Low,Closed,2026-04-22
FWO-0015,SITE-04,Electrical,High,Closed,2026-05-14
FWO-0016,SITE-01,HVAC,Low,Closed,2026-01-17
FWO-0017,SITE-03,Electrical,Medium,Closed,2026-05-14
FWO-0018,SITE-02,Safety,High,Open,2026-04-12
FWO-0019,SITE-01,Safety,Medium,Closed,2026-05-17
FWO-0020,SITE-03,Plumbing,Low,Open,2026-06-18
FWO-0021,SITE-03,Electrical,Low,Open,2026-05-19
FWO-0022,SITE-03,Safety,Medium,Open,2026-05-05
FWO-0023,SITE-01,HVAC,Low,Closed,2026-01-23
FWO-0024,SITE-04,Electrical,Low,Open,2026-03-12
FWO-0025,SITE-04,Safety,Low,Closed,2026-01-07
FWO-0026,SITE-01,Safety,Low,Open,2026-02-22
FWO-0027,SITE-04,HVAC,Low,Closed,2026-04-18
FWO-0028,SITE-01,Safety,High,Closed,2026-03-20
FWO-0029,SITE-03,Safety,High,Closed,2026-01-14
FWO-0030,SITE-01,Electrical,Medium,Closed,2026-01-16
FWO-0031,SITE-03,Safety,Medium,Open,2026-03-07
FWO-0032,SITE-02,HVAC,High,Open,2026-02-22
FWO-0033,SITE-04,HVAC,Medium,Closed,2026-05-04
FWO-0034,SITE-02,Safety,High,Closed,2026-02-22
FWO-0035,SITE-04,Safety,High,Closed,2026-04-08
FWO-0036,SITE-04,Plumbing,High,Open,2026-01-23
FWO-0037,SITE-03,Safety,Medium,Closed,2026-02-20
FWO-0038,SITE-02,Safety,Medium,Open,2026-05-06
FWO-0039,SITE-04,Safety,Medium,Open,2026-04-26
FWO-0040,SITE-04,Plumbing,Medium,Closed,2026-06-11
FWO-0041,SITE-03,Plumbing,Low,Closed,2026-01-02
FWO-0042,SITE-02,HVAC,Medium,Open,2026-01-08
FWO-0043,SITE-01,Electrical,High,Closed,2026-06-07
FWO-0044,SITE-02,Electrical,High,Open,2026-05-24
FWO-0045,SITE-02,Plumbing,Medium,Closed,2026-02-23
