AssessmentID,SiteID,Process,RiskScore,Date
HAZ-001,SITE-03,Painting,23,2026-04-01
HAZ-002,SITE-02,Welding,23,2026-02-01
HAZ-003,SITE-03,Painting,4,2026-05-01
HAZ-004,SITE-02,Painting,1,2026-05-01
HAZ-005,SITE-03,Painting,3,2026-04-01
HAZ-006,SITE-02,Painting,17,2026-03-01
HAZ-007,SITE-02,Painting,18,2026-06-01
HAZ-008,SITE-02,Painting,17,2026-03-01
HAZ-009,SITE-04,Welding,1,2026-06-01
HAZ-010,SITE-04,Machining,3,2026-01-01
HAZ-011,SITE-01,Welding,6,2026-06-01
HAZ-012,SITE-01,Machining,17,2026-03-01
HAZ-013,SITE-03,Machining,14,2026-02-01
HAZ-014,SITE-03,Painting,4,2026-01-01
HAZ-015,SITE-02,Painting,14,2026-03-01
HAZ-016,SITE-02,Welding,13,2026-04-01
HAZ-017,SITE-02,Machining,14,2026-06-01
HAZ-018,SITE-01,Painting,15,2026-04-01
HAZ-019,SITE-03,Painting,8,2026-04-01
HAZ-020,SITE-01,Painting,18,2026-02-01
