IncidentID,Date,SiteID,Type,BodyPart,DaysLost,RootCause
EHS-0001,2026-03-16,SITE-04,Lost Time,Eye,6,Equipment
EHS-0002,2026-04-25,SITE-03,Property,Back,0,Housekeeping
EHS-0003,2026-01-24,SITE-03,First Aid,Foot,9,Procedure
EHS-0004,2026-03-01,SITE-03,Near Miss,Foot,5,Equipment
EHS-0005,2026-06-27,SITE-04,Recordable,Back,1,Procedure
EHS-0006,2026-06-01,SITE-04,First Aid,Eye,12,Equipment
EHS-0007,2026-01-24,SITE-01,First Aid,Back,4,Equipment
EHS-0008,2026-06-14,SITE-02,Recordable,Foot,2,Housekeeping
EHS-0009,2026-01-15,SITE-02,Property,N/A,11,Equipment
EHS-0010,2026-04-08,SITE-01,First Aid,N/A,6,Housekeeping
EHS-0011,2026-04-18,SITE-01,Lost Time,Foot,11,Housekeeping
EHS-0012,2026-04-14,SITE-01,Near Miss,N/A,3,PPE
EHS-0013,2026-02-17,SITE-01,Recordable,Back,5,Housekeeping
EHS-0014,2026-02-11,SITE-01,Near Miss,Back,10,Equipment
EHS-0015,2026-02-18,SITE-03,Recordable,Back,9,Procedure
EHS-0016,2026-04-21,SITE-01,Recordable,Eye,11,Equipment
EHS-0017,2026-01-21,SITE-01,Near Miss,Foot,11,Equipment
EHS-0018,2026-04-16,SITE-02,Recordable,N/A,8,PPE
EHS-0019,2026-04-17,SITE-01,Near Miss,Foot,0,Equipment
EHS-0020,2026-05-20,SITE-01,Recordable,Eye,9,Equipment
EHS-0021,2026-04-21,SITE-01,Property,Eye,1,PPE
EHS-0022,2026-01-17,SITE-01,First Aid,Hand,12,PPE
EHS-0023,2026-04-10,SITE-01,Property,Eye,1,Procedure
EHS-0024,2026-04-17,SITE-01,Property,Foot,4,Procedure
EHS-0025,2026-01-09,SITE-01,Property,Hand,4,Housekeeping
EHS-0026,2026-03-24,SITE-01,Property,N/A,9,Housekeeping
EHS-0027,2026-05-28,SITE-03,Property,N/A,9,Equipment
EHS-0028,2026-04-19,SITE-03,Lost Time,N/A,2,PPE
EHS-0029,2026-01-15,SITE-01,Property,Back,6,Procedure
EHS-0030,2026-02-13,SITE-02,Recordable,Eye,9,Procedure
EHS-0031,2026-04-26,SITE-01,Recordable,Back,4,Procedure
EHS-0032,2026-04-14,SITE-01,First Aid,Hand,11,Equipment
EHS-0033,2026-04-13,SITE-01,Lost Time,Back,0,Procedure
EHS-0034,2026-02-20,SITE-01,Near Miss,Back,1,Procedure
EHS-0035,2026-01-23,SITE-01,First Aid,N/A,5,Procedure
EHS-0036,2026-06-26,SITE-03,Lost Time,N/A,8,PPE
EHS-0037,2026-06-20,SITE-01,Near Miss,Hand,4,Equipment
EHS-0038,2026-01-24,SITE-01,Near Miss,Back,3,PPE
EHS-0039,2026-03-25,SITE-01,Property,Hand,6,Procedure
EHS-0040,2026-06-15,SITE-01,Lost Time,Back,1,Housekeeping
EHS-0041,2026-05-19,SITE-01,Property,Eye,7,Housekeeping
EHS-0042,2026-03-23,SITE-02,Near Miss,Eye,1,PPE
EHS-0043,2026-02-13,SITE-01,Near Miss,N/A,0,Equipment
EHS-0044,2026-04-18,SITE-01,First Aid,Hand,3,PPE
EHS-0045,2026-06-17,SITE-01,First Aid,N/A,0,PPE
EHS-0046,2026-04-25,SITE-01,First Aid,Eye,3,PPE
EHS-0047,2026-05-15,SITE-01,Lost Time,Back,10,Housekeeping
EHS-0048,2026-04-21,SITE-03,Lost Time,N/A,10,Housekeeping
EHS-0049,2026-05-06,SITE-02,First Aid,N/A,6,Equipment
EHS-0050,2026-02-07,SITE-01,Near Miss,Back,11,Equipment
EHS-0051,2026-05-18,SITE-01,Property,Eye,4,Equipment
EHS-0052,2026-03-19,SITE-01,Recordable,Eye,3,Equipment
EHS-0053,2026-05-21,SITE-01,First Aid,N/A,11,Housekeeping
EHS-0054,2026-02-05,SITE-01,First Aid,Eye,10,Equipment
EHS-0055,2026-05-20,SITE-01,Property,Hand,4,PPE
EHS-0056,2026-04-09,SITE-01,First Aid,Back,3,Housekeeping
EHS-0057,2026-01-23,SITE-01,Lost Time,Eye,5,PPE
EHS-0058,2026-01-08,SITE-02,Property,Back,11,Equipment
EHS-0059,2026-05-20,SITE-01,Lost Time,Foot,10,Equipment
EHS-0060,2026-05-23,SITE-01,First Aid,Foot,2,Equipment
