InspectionID,SiteID,PPEType,PassPct,Date
PPE-001,SITE-01,Respirator,92.6,2026-04-01
PPE-002,SITE-04,Gloves,92.9,2026-04-01
PPE-003,SITE-04,Hearing,91.0,2026-05-01
PPE-004,SITE-02,Respirator,90.1,2026-01-01
PPE-005,SITE-01,Hearing,92.6,2026-01-01
PPE-006,SITE-01,Hearing,87.5,2026-02-01
PPE-007,SITE-02,Gloves,89.3,2026-06-01
PPE-008,SITE-04,Hearing,85.3,2026-02-01
PPE-009,SITE-02,Gloves,97.1,2026-04-01
PPE-010,SITE-01,Gloves,98.1,2026-04-01
PPE-011,SITE-04,Respirator,90.1,2026-05-01
PPE-012,SITE-01,Gloves,98.7,2026-02-01
PPE-013,SITE-03,Gloves,95.8,2026-02-01
PPE-014,SITE-04,Eyewear,91.0,2026-02-01
PPE-015,SITE-01,Hearing,88.4,2026-03-01
PPE-016,SITE-04,Hearing,86.2,2026-01-01
PPE-017,SITE-04,Respirator,85.5,2026-06-01
PPE-018,SITE-04,Eyewear,94.9,2026-01-01
PPE-019,SITE-01,Gloves,85.3,2026-01-01
PPE-020,SITE-04,Respirator,87.7,2026-05-01
PPE-021,SITE-03,Eyewear,94.9,2026-03-01
PPE-022,SITE-04,Eyewear,94.7,2026-06-01
PPE-023,SITE-01,Eyewear,93.1,2026-03-01
PPE-024,SITE-02,Hearing,94.7,2026-03-01
PPE-025,SITE-03,Hearing,99.1,2026-01-01
PPE-026,SITE-03,Gloves,92.0,2026-04-01
PPE-027,SITE-03,Eyewear,91.0,2026-05-01
PPE-028,SITE-03,Eyewear,94.0,2026-05-01
PPE-029,SITE-02,Respirator,94.6,2026-01-01
PPE-030,SITE-04,Respirator,85.9,2026-06-01
