EmployeeID,Course,CompletedDate,Status
EMP-100754,Hazard Communication,2026-02-12,Complete
EMP-100314,Forklift,2026-06-06,Complete
EMP-100506,Hazard Communication,2026-05-15,Complete
EMP-100580,Hazard Communication,2026-03-13,Complete
EMP-100252,Fall Protection,2026-03-16,Overdue
EMP-100523,Fall Protection,2026-03-05,Complete
EMP-100555,Hazard Communication,2026-06-08,Overdue
EMP-100050,Lockout/Tagout,2026-01-13,Complete
EMP-100686,Fall Protection,2026-04-22,Overdue
EMP-100658,Lockout/Tagout,2026-05-12,Complete
EMP-100576,Forklift,2026-05-18,Complete
EMP-100552,Lockout/Tagout,2026-05-01,Overdue
EMP-100797,Forklift,2026-05-07,Overdue
EMP-100772,Hazard Communication,2026-03-11,Complete
EMP-100545,Forklift,2026-03-02,Complete
EMP-100803,Fall Protection,2026-03-13,Complete
EMP-100699,Lockout/Tagout,2026-05-09,Complete
EMP-100140,Hazard Communication,2026-03-06,Overdue
EMP-100218,Forklift,2026-01-07,Complete
EMP-100154,Forklift,2026-04-07,Complete
EMP-100741,Hazard Communication,2026-05-14,Overdue
EMP-100026,Lockout/Tagout,2026-03-10,Overdue
EMP-100384,Lockout/Tagout,2026-02-10,Complete
EMP-100207,Fall Protection,2026-01-08,Overdue
EMP-100269,Forklift,2026-02-05,Complete
EMP-100576,Fall Protection,2026-04-18,Complete
EMP-100435,Forklift,2026-02-16,Complete
EMP-100280,Fall Protection,2026-05-11,Complete
EMP-100774,Fall Protection,2026-02-27,Overdue
EMP-100401,Fall Protection,2026-06-24,Overdue
EMP-100326,Forklift,2026-04-04,Complete
EMP-100603,Lockout/Tagout,2026-01-13,Complete
EMP-100263,Lockout/Tagout,2026-06-12,Complete
EMP-100416,Forklift,2026-04-01,Complete
EMP-100603,Lockout/Tagout,2026-06-02,Complete
EMP-100799,Fall Protection,2026-05-03,Complete
EMP-100708,Fall Protection,2026-05-10,Overdue
EMP-100560,Fall Protection,2026-01-07,Complete
EMP-100662,Lockout/Tagout,2026-05-05,Complete
EMP-100083,Lockout/Tagout,2026-03-05,Complete
EMP-100630,Hazard Communication,2026-02-08,Complete
EMP-100579,Hazard Communication,2026-03-12,Overdue
EMP-100312,Lockout/Tagout,2026-01-13,Complete
EMP-100290,Forklift,2026-06-03,Complete
EMP-100275,Forklift,2026-02-27,Overdue
EMP-100430,Forklift,2026-03-08,Overdue
EMP-100035,Lockout/Tagout,2026-03-01,Overdue
EMP-100646,Hazard Communication,2026-05-01,Overdue
EMP-100474,Hazard Communication,2026-05-27,Complete
EMP-100097,Hazard Communication,2026-01-13,Overdue
EMP-100197,Hazard Communication,2026-01-02,Complete
EMP-100189,Forklift,2026-06-04,Overdue
EMP-100449,Fall Protection,2026-01-26,Complete
EMP-100038,Forklift,2026-02-14,Complete
EMP-100160,Forklift,2026-06-17,Complete
EMP-100369,Hazard Communication,2026-05-17,Complete
EMP-100448,Lockout/Tagout,2026-01-08,Complete
EMP-100775,Hazard Communication,2026-04-27,Complete
EMP-100813,Hazard Communication,2026-02-24,Overdue
EMP-100048,Lockout/Tagout,2026-02-15,Complete
EMP-100304,Fall Protection,2026-03-04,Complete
EMP-100797,Lockout/Tagout,2026-06-02,Overdue
EMP-100255,Fall Protection,2026-03-06,Complete
EMP-100548,Fall Protection,2026-05-07,Complete
EMP-100765,Fall Protection,2026-05-23,Complete
EMP-100232,Hazard Communication,2026-04-08,Overdue
EMP-100430,Hazard Communication,2026-05-27,Complete
EMP-100760,Forklift,2026-01-13,Overdue
EMP-100462,Forklift,2026-05-28,Complete
EMP-100597,Lockout/Tagout,2026-03-24,Complete
EMP-100789,Forklift,2026-03-18,Complete
EMP-100222,Hazard Communication,2026-06-04,Complete
EMP-100031,Lockout/Tagout,2026-04-23,Complete
EMP-100202,Hazard Communication,2026-01-05,Overdue
EMP-100492,Lockout/Tagout,2026-01-02,Complete
EMP-100633,Hazard Communication,2026-02-25,Complete
EMP-100753,Hazard Communication,2026-01-10,Overdue
EMP-100580,Fall Protection,2026-03-09,Overdue
EMP-100577,Forklift,2026-02-03,Complete
EMP-100030,Hazard Communication,2026-01-06,Complete
EMP-100452,Hazard Communication,2026-01-02,Overdue
EMP-100348,Fall Protection,2026-02-05,Complete
EMP-100472,Lockout/Tagout,2026-01-25,Complete
EMP-100205,Fall Protection,2026-01-12,Complete
EMP-100637,Forklift,2026-06-01,Complete
EMP-100519,Fall Protection,2026-05-14,Overdue
EMP-100202,Fall Protection,2026-01-27,Complete
EMP-100392,Hazard Communication,2026-03-08,Complete
EMP-100576,Fall Protection,2026-05-23,Complete
EMP-100700,Lockout/Tagout,2026-05-15,Complete
EMP-100757,Forklift,2026-01-03,Overdue
EMP-100252,Fall Protection,2026-03-22,Complete
EMP-100709,Hazard Communication,2026-01-26,Complete
EMP-100517,Lockout/Tagout,2026-04-18,Complete
EMP-100184,Lockout/Tagout,2026-04-14,Complete
EMP-100772,Hazard Communication,2026-03-14,Complete
EMP-100021,Hazard Communication,2026-04-24,Overdue
EMP-100682,Hazard Communication,2026-06-22,Complete
EMP-100567,Forklift,2026-03-13,Complete
EMP-100588,Hazard Communication,2026-06-16,Complete
EMP-100248,Lockout/Tagout,2026-02-20,Overdue
EMP-100488,Hazard Communication,2026-05-16,Overdue
EMP-100592,Hazard Communication,2026-03-25,Overdue
EMP-100109,Forklift,2026-04-15,Complete
EMP-100295,Lockout/Tagout,2026-05-06,Complete
EMP-100121,Lockout/Tagout,2026-02-11,Overdue
EMP-100735,Fall Protection,2026-04-04,Complete
EMP-100673,Lockout/Tagout,2026-05-08,Overdue
EMP-100639,Forklift,2026-04-08,Complete
EMP-100250,Hazard Communication,2026-03-01,Complete
EMP-100337,Lockout/Tagout,2026-04-06,Complete
