Month,ProjectID,ProgramID,LaborHours,LaborRateUSD,LaborCostUSD
2024-08-01,EPRJ-001,PGM-001,785.9,128.68,101127.39
2024-09-01,EPRJ-001,PGM-001,542.6,118.39,64240.04
2024-10-01,EPRJ-001,PGM-001,141.1,133.94,18899.43
2024-11-01,EPRJ-001,PGM-001,856.9,103.9,89035.49
2024-12-01,EPRJ-001,PGM-001,141.9,93.73,13303.31
2025-01-01,EPRJ-001,PGM-001,499.4,95.19,47541.22
2025-02-01,EPRJ-001,PGM-001,867.6,144.14,125052.27
2025-03-01,EPRJ-001,PGM-001,227.1,93.92,21329.23
2025-04-01,EPRJ-001,PGM-001,722.8,100.92,72942.45
2025-05-01,EPRJ-001,PGM-001,395.8,92.55,36632.39
2025-06-01,EPRJ-001,PGM-001,749.7,122.63,91930.16
2025-07-01,EPRJ-001,PGM-001,532.7,87.96,46859.02
2025-08-01,EPRJ-001,PGM-001,325.6,105.29,34280.23
2025-09-01,EPRJ-001,PGM-001,892.4,141.65,126407.38
2025-10-01,EPRJ-001,PGM-001,492.4,126.76,62417.24
2025-11-01,EPRJ-001,PGM-001,649.1,100.29,65094.23
2025-12-01,EPRJ-001,PGM-001,204.9,96.07,19683.46
2026-01-01,EPRJ-001,PGM-001,321.6,128.94,41469.51
2026-02-01,EPRJ-001,PGM-001,681.7,131.9,89913.06
2026-03-01,EPRJ-001,PGM-001,144.8,106.93,15486.8
2026-04-01,EPRJ-001,PGM-001,142.5,110.71,15777.69
2026-05-01,EPRJ-001,PGM-001,572.2,109.17,62463.47
2026-06-01,EPRJ-001,PGM-001,685.7,105.05,72032.18
2026-07-01,EPRJ-001,PGM-001,535.8,129.97,69636.26
2024-08-01,EPRJ-002,PGM-002,334.6,96.34,32235.93
2024-09-01,EPRJ-002,PGM-002,612.4,86.31,52849.86
2024-10-01,EPRJ-002,PGM-002,713.3,103.17,73587.53
2024-11-01,EPRJ-002,PGM-002,749.7,110.19,82607.88
2024-12-01,EPRJ-002,PGM-002,413.6,143.04,59159.0
2025-01-01,EPRJ-002,PGM-002,876.3,104.88,91902.46
2025-02-01,EPRJ-002,PGM-002,279.4,97.12,27132.07
2025-03-01,EPRJ-002,PGM-002,481.4,131.98,63539.29
2025-04-01,EPRJ-002,PGM-002,612.9,143.0,87651.07
2025-05-01,EPRJ-002,PGM-002,698.7,138.16,96532.14
2025-06-01,EPRJ-002,PGM-002,485.5,143.1,69472.77
2025-07-01,EPRJ-002,PGM-002,684.2,136.36,93303.72
2025-08-01,EPRJ-002,PGM-002,869.0,138.79,120613.15
2025-09-01,EPRJ-002,PGM-002,362.2,107.39,38893.99
2025-10-01,EPRJ-002,PGM-002,738.8,112.95,83453.71
2025-11-01,EPRJ-002,PGM-002,661.3,132.67,87733.64
2025-12-01,EPRJ-002,PGM-002,860.4,123.97,106657.51
2026-01-01,EPRJ-002,PGM-002,411.4,133.6,54965.93
2026-02-01,EPRJ-002,PGM-002,190.5,123.22,23474.87
2026-03-01,EPRJ-002,PGM-002,298.4,116.99,34907.37
2026-04-01,EPRJ-002,PGM-002,775.0,112.65,87303.57
2026-05-01,EPRJ-002,PGM-002,492.0,102.6,50476.54
2026-06-01,EPRJ-002,PGM-002,353.6,119.44,42232.72
2026-07-01,EPRJ-002,PGM-002,349.0,137.68,48055.36
2024-08-01,EPRJ-003,PGM-003,373.0,110.83,41333.4
2024-09-01,EPRJ-003,PGM-003,266.4,126.37,33664.65
2024-10-01,EPRJ-003,PGM-003,450.2,94.64,42608.72
2024-11-01,EPRJ-003,PGM-003,680.8,108.45,73828.66
2024-12-01,EPRJ-003,PGM-003,149.1,112.26,16741.68
2025-01-01,EPRJ-003,PGM-003,691.2,140.14,96859.1
2025-02-01,EPRJ-003,PGM-003,680.5,137.02,93232.34
2025-03-01,EPRJ-003,PGM-003,862.9,113.28,97746.63
2025-04-01,EPRJ-003,PGM-003,426.8,100.77,43006.75
2025-05-01,EPRJ-003,PGM-003,253.0,120.64,30521.72
2025-06-01,EPRJ-003,PGM-003,550.0,120.8,66438.66
2025-07-01,EPRJ-003,PGM-003,740.9,143.02,105961.48
2025-08-01,EPRJ-003,PGM-003,521.8,139.18,72627.75
2025-09-01,EPRJ-003,PGM-003,504.9,93.94,64036.51
2025-10-01,EPRJ-003,PGM-003,475.1,105.15,67444.0
2025-11-01,EPRJ-003,PGM-003,161.7,129.09,28179.66
2025-12-01,EPRJ-003,PGM-003,661.5,123.75,110511.04
2026-01-01,EPRJ-003,PGM-003,615.6,117.73,97836.93
2026-02-01,EPRJ-003,PGM-003,658.9,114.88,102185.77
2026-03-01,EPRJ-003,PGM-003,348.6,94.29,44375.63
2026-04-01,EPRJ-003,PGM-003,120.2,98.89,16048.08
2026-05-01,EPRJ-003,PGM-003,518.7,118.54,83016.6
2026-06-01,EPRJ-003,PGM-003,256.5,88.22,30545.82
2026-07-01,EPRJ-003,PGM-003,714.2,129.99,125343.23
2024-08-01,EPRJ-004,PGM-004,834.6,116.1,96896.39
2024-09-01,EPRJ-004,PGM-004,804.4,92.08,74069.58
2024-10-01,EPRJ-004,PGM-004,155.9,95.52,14896.58
2024-11-01,EPRJ-004,PGM-004,575.4,90.03,51808.54
2024-12-01,EPRJ-004,PGM-004,640.9,126.87,81311.03
2025-01-01,EPRJ-004,PGM-004,836.9,129.69,108533.04
2025-02-01,EPRJ-004,PGM-004,502.5,143.6,72160.99
2025-03-01,EPRJ-004,PGM-004,236.4,88.14,20838.27
2025-04-01,EPRJ-004,PGM-004,269.2,119.58,32193.21
2025-05-01,EPRJ-004,PGM-004,775.9,93.84,72808.4
2025-06-01,EPRJ-004,PGM-004,218.7,95.4,20866.54
2025-07-01,EPRJ-004,PGM-004,818.5,102.65,84016.27
2025-08-01,EPRJ-004,PGM-004,794.2,113.83,90406.24
2025-09-01,EPRJ-004,PGM-004,759.5,132.64,100733.79
2025-10-01,EPRJ-004,PGM-004,134.2,91.41,12269.91
2025-11-01,EPRJ-004,PGM-004,283.4,142.83,40481.57
2025-12-01,EPRJ-004,PGM-004,498.8,108.09,53912.9
2026-01-01,EPRJ-004,PGM-004,840.9,140.76,118369.47
2026-02-01,EPRJ-004,PGM-004,621.4,90.17,56035.54
2026-03-01,EPRJ-004,PGM-004,847.5,105.92,89763.1
2026-04-01,EPRJ-004,PGM-004,312.7,139.24,43534.54
2026-05-01,EPRJ-004,PGM-004,358.5,95.97,34405.21
2026-06-01,EPRJ-004,PGM-004,172.5,143.47,24745.51
2026-07-01,EPRJ-004,PGM-004,266.5,119.09,31736.49
2024-08-01,EPRJ-005,PGM-005,335.7,118.7,39846.11
2024-09-01,EPRJ-005,PGM-005,441.9,86.09,38043.45
2024-10-01,EPRJ-005,PGM-005,133.1,141.09,18774.77
2024-11-01,EPRJ-005,PGM-005,254.8,131.24,33436.24
2024-12-01,EPRJ-005,PGM-005,382.3,114.32,43705.88
2025-01-01,EPRJ-005,PGM-005,434.7,115.2,50073.98
2025-02-01,EPRJ-005,PGM-005,487.3,123.42,60143.36
2025-03-01,EPRJ-005,PGM-005,228.9,119.2,27289.66
2025-04-01,EPRJ-005,PGM-005,288.3,89.18,25711.27
2025-05-01,EPRJ-005,PGM-005,649.6,128.59,83527.77
2025-06-01,EPRJ-005,PGM-005,368.7,135.24,49864.66
2025-07-01,EPRJ-005,PGM-005,604.3,118.88,71838.73
2025-08-01,EPRJ-005,PGM-005,693.8,135.49,94001.27
2025-09-01,EPRJ-005,PGM-005,417.2,107.01,44640.88
2025-10-01,EPRJ-005,PGM-005,652.3,142.66,93061.88
2025-11-01,EPRJ-005,PGM-005,414.3,128.8,53356.62
2025-12-01,EPRJ-005,PGM-005,889.6,134.57,119713.83
2026-01-01,EPRJ-005,PGM-005,273.1,99.3,27123.43
2026-02-01,EPRJ-005,PGM-005,868.6,121.24,105308.24
2026-03-01,EPRJ-005,PGM-005,796.9,140.73,112142.68
2026-04-01,EPRJ-005,PGM-005,766.5,101.55,77843.06
2026-05-01,EPRJ-005,PGM-005,780.5,112.09,87493.65
2026-06-01,EPRJ-005,PGM-005,147.9,113.47,16781.12
2026-07-01,EPRJ-005,PGM-005,420.0,133.8,56191.01
2024-08-01,EPRJ-006,PGM-006,808.0,87.28,70524.22
2024-09-01,EPRJ-006,PGM-006,835.0,124.64,104073.55
2024-10-01,EPRJ-006,PGM-006,788.1,129.66,102189.02
2024-11-01,EPRJ-006,PGM-006,793.0,87.56,69439.17
2024-12-01,EPRJ-006,PGM-006,133.1,115.64,15392.61
2025-01-01,EPRJ-006,PGM-006,592.4,117.25,69456.16
2025-02-01,EPRJ-006,PGM-006,513.4,126.54,64970.88
2025-03-01,EPRJ-006,PGM-006,431.2,133.36,57504.11
2025-04-01,EPRJ-006,PGM-006,351.2,90.52,31789.21
2025-05-01,EPRJ-006,PGM-006,209.9,95.95,20135.94
2025-06-01,EPRJ-006,PGM-006,734.1,138.38,101580.19
2025-07-01,EPRJ-006,PGM-006,692.1,142.8,98837.19
2025-08-01,EPRJ-006,PGM-006,897.6,133.21,119574.02
2025-09-01,EPRJ-006,PGM-006,437.1,89.03,38914.44
2025-10-01,EPRJ-006,PGM-006,755.4,142.21,107416.48
2025-11-01,EPRJ-006,PGM-006,632.5,104.1,65845.07
2025-12-01,EPRJ-006,PGM-006,782.9,118.89,93075.74
2026-01-01,EPRJ-006,PGM-006,573.2,91.02,52173.36
2026-02-01,EPRJ-006,PGM-006,839.9,140.69,118165.28
2026-03-01,EPRJ-006,PGM-006,133.1,93.54,12445.97
2026-04-01,EPRJ-006,PGM-006,852.1,104.6,89134.41
2026-05-01,EPRJ-006,PGM-006,576.9,90.59,52258.01
2026-06-01,EPRJ-006,PGM-006,160.0,143.93,23034.93
2026-07-01,EPRJ-006,PGM-006,694.8,87.54,60827.04
2024-08-01,EPRJ-007,PGM-007,382.8,106.74,40855.28
2024-09-01,EPRJ-007,PGM-007,400.7,99.99,40064.19
