Month,ProjectID,ProgramID,Scenario,BudgetUSD
2026-01-01,EPRJ-001,PGM-001,Budget,66666.67
2026-02-01,EPRJ-001,PGM-001,Budget,66666.67
2026-03-01,EPRJ-001,PGM-001,Budget,66666.67
2026-04-01,EPRJ-001,PGM-001,Budget,66666.67
2026-05-01,EPRJ-001,PGM-001,Budget,66666.67
2026-06-01,EPRJ-001,PGM-001,Budget,66666.67
2026-07-01,EPRJ-001,PGM-001,Budget,66666.67
2026-08-01,EPRJ-001,PGM-001,Budget,66666.67
2026-09-01,EPRJ-001,PGM-001,Budget,66666.67
2026-10-01,EPRJ-001,PGM-001,Budget,66666.67
2026-11-01,EPRJ-001,PGM-001,Budget,66666.67
2026-12-01,EPRJ-001,PGM-001,Budget,66666.67
2027-01-01,EPRJ-001,PGM-001,Budget,66666.67
2027-02-01,EPRJ-001,PGM-001,Budget,66666.67
2027-03-01,EPRJ-001,PGM-001,Budget,66666.67
2027-04-01,EPRJ-001,PGM-001,Budget,66666.67
2027-05-01,EPRJ-001,PGM-001,Budget,66666.67
2027-06-01,EPRJ-001,PGM-001,Budget,66666.67
2027-07-01,EPRJ-001,PGM-001,Budget,66666.67
2027-08-01,EPRJ-001,PGM-001,Budget,66666.67
2027-09-01,EPRJ-001,PGM-001,Budget,66666.67
2027-10-01,EPRJ-001,PGM-001,Budget,66666.67
2027-11-01,EPRJ-001,PGM-001,Budget,66666.67
2027-12-01,EPRJ-001,PGM-001,Budget,66666.67
2026-01-01,EPRJ-002,PGM-002,Budget,22222.22
2026-02-01,EPRJ-002,PGM-002,Budget,22222.22
2026-03-01,EPRJ-002,PGM-002,Budget,22222.22
2026-04-01,EPRJ-002,PGM-002,Budget,22222.22
2026-05-01,EPRJ-002,PGM-002,Budget,22222.22
2026-06-01,EPRJ-002,PGM-002,Budget,22222.22
2026-07-01,EPRJ-002,PGM-002,Budget,22222.22
2026-08-01,EPRJ-002,PGM-002,Budget,22222.22
2026-09-01,EPRJ-002,PGM-002,Budget,22222.22
2026-10-01,EPRJ-002,PGM-002,Budget,22222.22
2026-11-01,EPRJ-002,PGM-002,Budget,22222.22
2026-12-01,EPRJ-002,PGM-002,Budget,22222.22
2027-01-01,EPRJ-002,PGM-002,Budget,22222.22
2027-02-01,EPRJ-002,PGM-002,Budget,22222.22
2027-03-01,EPRJ-002,PGM-002,Budget,22222.22
2027-04-01,EPRJ-002,PGM-002,Budget,22222.22
2027-05-01,EPRJ-002,PGM-002,Budget,22222.22
2027-06-01,EPRJ-002,PGM-002,Budget,22222.22
2027-07-01,EPRJ-002,PGM-002,Budget,22222.22
2027-08-01,EPRJ-002,PGM-002,Budget,22222.22
2027-09-01,EPRJ-002,PGM-002,Budget,22222.22
2027-10-01,EPRJ-002,PGM-002,Budget,22222.22
2027-11-01,EPRJ-002,PGM-002,Budget,22222.22
2027-12-01,EPRJ-002,PGM-002,Budget,22222.22
2026-01-01,EPRJ-003,PGM-003,Budget,36111.11
2026-02-01,EPRJ-003,PGM-003,Budget,36111.11
2026-03-01,EPRJ-003,PGM-003,Budget,36111.11
2026-04-01,EPRJ-003,PGM-003,Budget,36111.11
2026-05-01,EPRJ-003,PGM-003,Budget,36111.11
2026-06-01,EPRJ-003,PGM-003,Budget,36111.11
2026-07-01,EPRJ-003,PGM-003,Budget,36111.11
2026-08-01,EPRJ-003,PGM-003,Budget,36111.11
2026-09-01,EPRJ-003,PGM-003,Budget,36111.11
2026-10-01,EPRJ-003,PGM-003,Budget,36111.11
2026-11-01,EPRJ-003,PGM-003,Budget,36111.11
2026-12-01,EPRJ-003,PGM-003,Budget,36111.11
2027-01-01,EPRJ-003,PGM-003,Budget,36111.11
2027-02-01,EPRJ-003,PGM-003,Budget,36111.11
2027-03-01,EPRJ-003,PGM-003,Budget,36111.11
2027-04-01,EPRJ-003,PGM-003,Budget,36111.11
2027-05-01,EPRJ-003,PGM-003,Budget,36111.11
2027-06-01,EPRJ-003,PGM-003,Budget,36111.11
2027-07-01,EPRJ-003,PGM-003,Budget,36111.11
2027-08-01,EPRJ-003,PGM-003,Budget,36111.11
2027-09-01,EPRJ-003,PGM-003,Budget,36111.11
2027-10-01,EPRJ-003,PGM-003,Budget,36111.11
2027-11-01,EPRJ-003,PGM-003,Budget,36111.11
2027-12-01,EPRJ-003,PGM-003,Budget,36111.11
2026-01-01,EPRJ-004,PGM-004,Budget,66666.67
2026-02-01,EPRJ-004,PGM-004,Budget,66666.67
2026-03-01,EPRJ-004,PGM-004,Budget,66666.67
2026-04-01,EPRJ-004,PGM-004,Budget,66666.67
2026-05-01,EPRJ-004,PGM-004,Budget,66666.67
2026-06-01,EPRJ-004,PGM-004,Budget,66666.67
2026-07-01,EPRJ-004,PGM-004,Budget,66666.67
2026-08-01,EPRJ-004,PGM-004,Budget,66666.67
2026-09-01,EPRJ-004,PGM-004,Budget,66666.67
2026-10-01,EPRJ-004,PGM-004,Budget,66666.67
2026-11-01,EPRJ-004,PGM-004,Budget,66666.67
2026-12-01,EPRJ-004,PGM-004,Budget,66666.67
2027-01-01,EPRJ-004,PGM-004,Budget,66666.67
2027-02-01,EPRJ-004,PGM-004,Budget,66666.67
2027-03-01,EPRJ-004,PGM-004,Budget,66666.67
2027-04-01,EPRJ-004,PGM-004,Budget,66666.67
2027-05-01,EPRJ-004,PGM-004,Budget,66666.67
2027-06-01,EPRJ-004,PGM-004,Budget,66666.67
2027-07-01,EPRJ-004,PGM-004,Budget,66666.67
2027-08-01,EPRJ-004,PGM-004,Budget,66666.67
2027-09-01,EPRJ-004,PGM-004,Budget,66666.67
2027-10-01,EPRJ-004,PGM-004,Budget,66666.67
2027-11-01,EPRJ-004,PGM-004,Budget,66666.67
2027-12-01,EPRJ-004,PGM-004,Budget,66666.67
2026-01-01,EPRJ-005,PGM-005,Budget,36111.11
2026-02-01,EPRJ-005,PGM-005,Budget,36111.11
2026-03-01,EPRJ-005,PGM-005,Budget,36111.11
2026-04-01,EPRJ-005,PGM-005,Budget,36111.11
2026-05-01,EPRJ-005,PGM-005,Budget,36111.11
2026-06-01,EPRJ-005,PGM-005,Budget,36111.11
2026-07-01,EPRJ-005,PGM-005,Budget,36111.11
2026-08-01,EPRJ-005,PGM-005,Budget,36111.11
2026-09-01,EPRJ-005,PGM-005,Budget,36111.11
2026-10-01,EPRJ-005,PGM-005,Budget,36111.11
2026-11-01,EPRJ-005,PGM-005,Budget,36111.11
2026-12-01,EPRJ-005,PGM-005,Budget,36111.11
2027-01-01,EPRJ-005,PGM-005,Budget,36111.11
2027-02-01,EPRJ-005,PGM-005,Budget,36111.11
2027-03-01,EPRJ-005,PGM-005,Budget,36111.11
2027-04-01,EPRJ-005,PGM-005,Budget,36111.11
2027-05-01,EPRJ-005,PGM-005,Budget,36111.11
2027-06-01,EPRJ-005,PGM-005,Budget,36111.11
2027-07-01,EPRJ-005,PGM-005,Budget,36111.11
2027-08-01,EPRJ-005,PGM-005,Budget,36111.11
2027-09-01,EPRJ-005,PGM-005,Budget,36111.11
2027-10-01,EPRJ-005,PGM-005,Budget,36111.11
2027-11-01,EPRJ-005,PGM-005,Budget,36111.11
2027-12-01,EPRJ-005,PGM-005,Budget,36111.11
2026-01-01,EPRJ-006,PGM-006,Budget,36111.11
2026-02-01,EPRJ-006,PGM-006,Budget,36111.11
2026-03-01,EPRJ-006,PGM-006,Budget,36111.11
2026-04-01,EPRJ-006,PGM-006,Budget,36111.11
2026-05-01,EPRJ-006,PGM-006,Budget,36111.11
2026-06-01,EPRJ-006,PGM-006,Budget,36111.11
2026-07-01,EPRJ-006,PGM-006,Budget,36111.11
2026-08-01,EPRJ-006,PGM-006,Budget,36111.11
2026-09-01,EPRJ-006,PGM-006,Budget,36111.11
2026-10-01,EPRJ-006,PGM-006,Budget,36111.11
2026-11-01,EPRJ-006,PGM-006,Budget,36111.11
2026-12-01,EPRJ-006,PGM-006,Budget,36111.11
2027-01-01,EPRJ-006,PGM-006,Budget,36111.11
2027-02-01,EPRJ-006,PGM-006,Budget,36111.11
2027-03-01,EPRJ-006,PGM-006,Budget,36111.11
2027-04-01,EPRJ-006,PGM-006,Budget,36111.11
2027-05-01,EPRJ-006,PGM-006,Budget,36111.11
2027-06-01,EPRJ-006,PGM-006,Budget,36111.11
2027-07-01,EPRJ-006,PGM-006,Budget,36111.11
2027-08-01,EPRJ-006,PGM-006,Budget,36111.11
2027-09-01,EPRJ-006,PGM-006,Budget,36111.11
2027-10-01,EPRJ-006,PGM-006,Budget,36111.11
2027-11-01,EPRJ-006,PGM-006,Budget,36111.11
2027-12-01,EPRJ-006,PGM-006,Budget,36111.11
2026-01-01,EPRJ-007,PGM-007,Budget,50000.0
2026-02-01,EPRJ-007,PGM-007,Budget,50000.0
2026-03-01,EPRJ-007,PGM-007,Budget,50000.0
2026-04-01,EPRJ-007,PGM-007,Budget,50000.0
2026-05-01,EPRJ-007,PGM-007,Budget,50000.0
2026-06-01,EPRJ-007,PGM-007,Budget,50000.0
2026-07-01,EPRJ-007,PGM-007,Budget,50000.0
2026-08-01,EPRJ-007,PGM-007,Budget,50000.0
2026-09-01,EPRJ-007,PGM-007,Budget,50000.0
2026-10-01,EPRJ-007,PGM-007,Budget,50000.0
2026-11-01,EPRJ-007,PGM-007,Budget,50000.0
2026-12-01,EPRJ-007,PGM-007,Budget,50000.0
2027-01-01,EPRJ-007,PGM-007,Budget,50000.0
2027-02-01,EPRJ-007,PGM-007,Budget,50000.0
2027-03-01,EPRJ-007,PGM-007,Budget,50000.0
2027-04-01,EPRJ-007,PGM-007,Budget,50000.0
2027-05-01,EPRJ-007,PGM-007,Budget,50000.0
2027-06-01,EPRJ-007,PGM-007,Budget,50000.0
2027-07-01,EPRJ-007,PGM-007,Budget,50000.0
2027-08-01,EPRJ-007,PGM-007,Budget,50000.0
2027-09-01,EPRJ-007,PGM-007,Budget,50000.0
2027-10-01,EPRJ-007,PGM-007,Budget,50000.0
2027-11-01,EPRJ-007,PGM-007,Budget,50000.0
2027-12-01,EPRJ-007,PGM-007,Budget,50000.0
2026-01-01,EPRJ-008,PGM-008,Budget,50000.0
2026-02-01,EPRJ-008,PGM-008,Budget,50000.0
2026-03-01,EPRJ-008,PGM-008,Budget,50000.0
2026-04-01,EPRJ-008,PGM-008,Budget,50000.0
2026-05-01,EPRJ-008,PGM-008,Budget,50000.0
2026-06-01,EPRJ-008,PGM-008,Budget,50000.0
2026-07-01,EPRJ-008,PGM-008,Budget,50000.0
2026-08-01,EPRJ-008,PGM-008,Budget,50000.0
2026-09-01,EPRJ-008,PGM-008,Budget,50000.0
2026-10-01,EPRJ-008,PGM-008,Budget,50000.0
2026-11-01,EPRJ-008,PGM-008,Budget,50000.0
2026-12-01,EPRJ-008,PGM-008,Budget,50000.0
2027-01-01,EPRJ-008,PGM-008,Budget,50000.0
2027-02-01,EPRJ-008,PGM-008,Budget,50000.0
2027-03-01,EPRJ-008,PGM-008,Budget,50000.0
2027-04-01,EPRJ-008,PGM-008,Budget,50000.0
2027-05-01,EPRJ-008,PGM-008,Budget,50000.0
2027-06-01,EPRJ-008,PGM-008,Budget,50000.0
2027-07-01,EPRJ-008,PGM-008,Budget,50000.0
2027-08-01,EPRJ-008,PGM-008,Budget,50000.0
2027-09-01,EPRJ-008,PGM-008,Budget,50000.0
2027-10-01,EPRJ-008,PGM-008,Budget,50000.0
2027-11-01,EPRJ-008,PGM-008,Budget,50000.0
2027-12-01,EPRJ-008,PGM-008,Budget,50000.0
2026-01-01,EPRJ-009,PGM-009,Budget,36111.11
2026-02-01,EPRJ-009,PGM-009,Budget,36111.11
2026-03-01,EPRJ-009,PGM-009,Budget,36111.11
2026-04-01,EPRJ-009,PGM-009,Budget,36111.11
2026-05-01,EPRJ-009,PGM-009,Budget,36111.11
2026-06-01,EPRJ-009,PGM-009,Budget,36111.11
2026-07-01,EPRJ-009,PGM-009,Budget,36111.11
2026-08-01,EPRJ-009,PGM-009,Budget,36111.11
2026-09-01,EPRJ-009,PGM-009,Budget,36111.11
2026-10-01,EPRJ-009,PGM-009,Budget,36111.11
2026-11-01,EPRJ-009,PGM-009,Budget,36111.11
2026-12-01,EPRJ-009,PGM-009,Budget,36111.11
2027-01-01,EPRJ-009,PGM-009,Budget,36111.11
2027-02-01,EPRJ-009,PGM-009,Budget,36111.11
2027-03-01,EPRJ-009,PGM-009,Budget,36111.11
2027-04-01,EPRJ-009,PGM-009,Budget,36111.11
