Month,ProjectID,ProgramID,Scenario,ForecastUSD
2026-01-01,EPRJ-001,PGM-001,Forecast,63722.01
2026-02-01,EPRJ-001,PGM-001,Forecast,68279.58
2026-03-01,EPRJ-001,PGM-001,Forecast,68365.44
2026-04-01,EPRJ-001,PGM-001,Forecast,68664.08
2026-05-01,EPRJ-001,PGM-001,Forecast,67794.12
2026-06-01,EPRJ-001,PGM-001,Forecast,66431.09
2026-07-01,EPRJ-001,PGM-001,Forecast,66399.47
2026-08-01,EPRJ-001,PGM-001,Forecast,69137.06
2026-09-01,EPRJ-001,PGM-001,Forecast,66873.59
2026-10-01,EPRJ-001,PGM-001,Forecast,63728.13
2026-11-01,EPRJ-001,PGM-001,Forecast,67533.65
2026-12-01,EPRJ-001,PGM-001,Forecast,68946.39
2027-01-01,EPRJ-001,PGM-001,Forecast,67280.94
2027-02-01,EPRJ-001,PGM-001,Forecast,67898.75
2027-03-01,EPRJ-001,PGM-001,Forecast,63961.9
2027-04-01,EPRJ-001,PGM-001,Forecast,69267.86
2027-05-01,EPRJ-001,PGM-001,Forecast,63693.33
2027-06-01,EPRJ-001,PGM-001,Forecast,68992.7
2027-07-01,EPRJ-001,PGM-001,Forecast,68658.6
2027-08-01,EPRJ-001,PGM-001,Forecast,65111.05
2027-09-01,EPRJ-001,PGM-001,Forecast,67769.6
2027-10-01,EPRJ-001,PGM-001,Forecast,67145.88
2027-11-01,EPRJ-001,PGM-001,Forecast,64032.05
2027-12-01,EPRJ-001,PGM-001,Forecast,63810.86
2026-01-01,EPRJ-002,PGM-002,Forecast,21304.49
2026-02-01,EPRJ-002,PGM-002,Forecast,22181.71
2026-03-01,EPRJ-002,PGM-002,Forecast,22906.97
2026-04-01,EPRJ-002,PGM-002,Forecast,21548.44
2026-05-01,EPRJ-002,PGM-002,Forecast,21368.03
2026-06-01,EPRJ-002,PGM-002,Forecast,23144.41
2026-07-01,EPRJ-002,PGM-002,Forecast,21662.37
2026-08-01,EPRJ-002,PGM-002,Forecast,22906.77
2026-09-01,EPRJ-002,PGM-002,Forecast,21474.07
2026-10-01,EPRJ-002,PGM-002,Forecast,22196.91
2026-11-01,EPRJ-002,PGM-002,Forecast,22189.48
2026-12-01,EPRJ-002,PGM-002,Forecast,21487.86
2027-01-01,EPRJ-002,PGM-002,Forecast,21231.41
