Month,RevenueUSD,GrossMarginPct,OperatingMarginPct,OnTimeDeliveryPct,ScrapPct,AttritionPct
2024-08-01,5616602.57,29.0,10.4,91.0,3.11,9.0
2024-09-01,5782460.69,30.9,10.5,89.6,2.47,8.8
2024-10-01,5952920.35,24.9,11.6,92.9,2.09,10.5
2024-11-01,6179594.97,26.8,8.3,94.5,2.1,12.4
2024-12-01,6260200.52,28.9,12.4,94.2,2.43,9.8
2025-01-01,5900526.35,26.7,10.8,88.7,2.23,8.2
2025-02-01,6276983.99,24.6,10.1,94.9,1.92,10.2
2025-03-01,6332120.45,25.4,12.8,92.2,3.07,12.5
2025-04-01,6230899.46,25.8,10.2,91.2,2.44,10.9
2025-05-01,6112039.06,24.5,11.7,88.0,2.94,12.9
2025-06-01,6046078.88,27.1,13.1,90.8,2.05,11.6
2025-07-01,5856209.75,24.7,11.0,92.5,2.08,9.1
2025-08-01,5993380.11,29.2,10.5,92.2,2.58,11.9
2025-09-01,6371541.2,30.7,12.0,93.6,2.83,11.1
2025-10-01,6517343.14,24.4,9.2,92.8,3.07,12.7
2025-11-01,6733291.44,30.6,13.6,92.9,3.37,14.2
2025-12-01,6828576.87,25.0,9.1,93.2,2.32,9.3
2026-01-01,6462908.26,27.1,12.6,88.5,2.2,11.9
2026-02-01,6548098.1,27.4,12.2,88.9,3.3,8.9
2026-03-01,6784303.11,26.7,13.8,88.6,2.92,13.1
2026-04-01,6719234.56,30.4,13.5,94.1,3.53,10.8
2026-05-01,6808550.33,31.0,9.5,96.3,1.8,13.6
2026-06-01,6426995.82,30.4,13.9,90.2,2.68,7.2
2026-07-01,6364696.26,26.5,10.7,95.1,2.6,14.5
