Month,Scenario,Version,AccountNumber,AccountName,BudgetUSD
2026-01-01,Budget,FY26-Plan,4000,Product Revenue,5878156.85
2026-01-01,Budget,FY26-Plan,4100,Service Revenue,650706.88
2026-01-01,Budget,FY26-Plan,5000,Direct Material,1191113.4
2026-01-01,Budget,FY26-Plan,5100,Direct Labor,983335.22
2026-01-01,Budget,FY26-Plan,5200,Manufacturing Overhead,758975.56
2026-01-01,Budget,FY26-Plan,5300,Scrap & Rework,162746.35
2026-01-01,Budget,FY26-Plan,6000,Engineering Labor,819583.69
2026-01-01,Budget,FY26-Plan,6100,Non-Recurring Engineering,340456.64
2026-01-01,Budget,FY26-Plan,6200,Sales & Marketing,335318.6
2026-01-01,Budget,FY26-Plan,6300,General & Administrative,402488.91
2026-01-01,Budget,FY26-Plan,6400,IT & Systems,127891.67
2026-01-01,Budget,FY26-Plan,6500,Facilities & EHS,96975.18
2026-01-01,Budget,FY26-Plan,7000,Depreciation,203540.33
2026-02-01,Budget,FY26-Plan,4000,Product Revenue,6007643.16
2026-02-01,Budget,FY26-Plan,4100,Service Revenue,664354.87
2026-02-01,Budget,FY26-Plan,5000,Direct Material,1214882.59
2026-02-01,Budget,FY26-Plan,5100,Direct Labor,992915.76
2026-02-01,Budget,FY26-Plan,5200,Manufacturing Overhead,716100.28
2026-02-01,Budget,FY26-Plan,5300,Scrap & Rework,156602.87
2026-02-01,Budget,FY26-Plan,6000,Engineering Labor,809322.43
2026-02-01,Budget,FY26-Plan,6100,Non-Recurring Engineering,330052.22
2026-02-01,Budget,FY26-Plan,6200,Sales & Marketing,317580.56
2026-02-01,Budget,FY26-Plan,6300,General & Administrative,390268.32
2026-02-01,Budget,FY26-Plan,6400,IT & Systems,131700.18
2026-02-01,Budget,FY26-Plan,6500,Facilities & EHS,95504.66
2026-02-01,Budget,FY26-Plan,7000,Depreciation,195618.88
2026-03-01,Budget,FY26-Plan,4000,Product Revenue,6018031.83
2026-03-01,Budget,FY26-Plan,4100,Service Revenue,671829.11
2026-03-01,Budget,FY26-Plan,5000,Direct Material,1191210.08
2026-03-01,Budget,FY26-Plan,5100,Direct Labor,1024907.58
2026-03-01,Budget,FY26-Plan,5200,Manufacturing Overhead,757134.34
2026-03-01,Budget,FY26-Plan,5300,Scrap & Rework,159609.29
2026-03-01,Budget,FY26-Plan,6000,Engineering Labor,855269.43
2026-03-01,Budget,FY26-Plan,6100,Non-Recurring Engineering,332878.94
2026-03-01,Budget,FY26-Plan,6200,Sales & Marketing,330594.91
2026-03-01,Budget,FY26-Plan,6300,General & Administrative,399840.48
2026-03-01,Budget,FY26-Plan,6400,IT & Systems,132971.8
2026-03-01,Budget,FY26-Plan,6500,Facilities & EHS,96163.0
2026-03-01,Budget,FY26-Plan,7000,Depreciation,196764.84
2026-04-01,Budget,FY26-Plan,4000,Product Revenue,5941817.12
2026-04-01,Budget,FY26-Plan,4100,Service Revenue,672839.84
2026-04-01,Budget,FY26-Plan,5000,Direct Material,1250799.6
2026-04-01,Budget,FY26-Plan,5100,Direct Labor,1034045.6
