Month,AccountNumber,AccountName,BudgetUSD,ActualUSD,VarianceUSD,VariancePct
2026-01-01,4000,Product Revenue,5878156.85,5816617.43,-61539.42,-1.0
2026-01-01,4100,Service Revenue,650706.88,646290.83,-4416.05,-0.7
2026-01-01,5000,Direct Material,1191113.4,1209764.92,18651.52,1.6
2026-01-01,5100,Direct Labor,983335.22,986093.97,2758.75,0.3
2026-01-01,5200,Manufacturing Overhead,758975.56,729993.5,-28982.06,-3.8
2026-01-01,5300,Scrap & Rework,162746.35,156190.7,-6555.65,-4.0
2026-01-01,6000,Engineering Labor,819583.69,822037.55,2453.86,0.3
2026-01-01,6100,Non-Recurring Engineering,340456.64,328815.02,-11641.62,-3.4
2026-01-01,6200,Sales & Marketing,335318.6,323145.41,-12173.19,-3.6
2026-01-01,6300,General & Administrative,402488.91,387774.5,-14714.41,-3.7
2026-01-01,6400,IT & Systems,127891.67,129258.17,1366.5,1.1
2026-01-01,6500,Facilities & EHS,96975.18,96943.62,-31.56,-0.0
2026-01-01,7000,Depreciation,203540.33,193887.25,-9653.08,-4.7
2026-02-01,4000,Product Revenue,6007643.16,5893288.29,-114354.87,-1.9
2026-02-01,4100,Service Revenue,664354.87,654809.81,-9545.06,-1.4
2026-02-01,5000,Direct Material,1214882.59,1525097.65,310215.06,25.5
2026-02-01,5100,Direct Labor,992915.76,927969.86,-64945.9,-6.5
2026-02-01,5200,Manufacturing Overhead,716100.28,646782.41,-69317.87,-9.7
2026-02-01,5300,Scrap & Rework,156602.87,130051.86,-26551.01,-17.0
2026-02-01,6000,Engineering Labor,809322.43,944232.23,134909.8,16.7
2026-02-01,6100,Non-Recurring Engineering,330052.22,377692.89,47640.67,14.4
2026-02-01,6200,Sales & Marketing,317580.56,327404.91,9824.35,3.1
2026-02-01,6300,General & Administrative,390268.32,392885.89,2617.57,0.7
2026-02-01,6400,IT & Systems,131700.18,130961.96,-738.22,-0.6
2026-02-01,6500,Facilities & EHS,95504.66,98221.47,2716.81,2.8
2026-02-01,7000,Depreciation,195618.88,196442.94,824.06,0.4
2026-03-01,4000,Product Revenue,6018031.83,6105872.8,87840.97,1.5
2026-03-01,4100,Service Revenue,671829.11,678430.31,6601.2,1.0
2026-03-01,5000,Direct Material,1191210.08,1379328.77,188118.69,15.8
2026-03-01,5100,Direct Labor,1024907.58,1116649.79,91742.21,9.0
2026-03-01,5200,Manufacturing Overhead,757134.34,624934.44,-132199.9,-17.5
2026-03-01,5300,Scrap & Rework,159609.29,107841.93,-51767.36,-32.4
2026-03-01,6000,Engineering Labor,855269.43,856852.41,1582.98,0.2
2026-03-01,6100,Non-Recurring Engineering,332878.94,342740.96,9862.02,3.0
2026-03-01,6200,Sales & Marketing,330594.91,339215.16,8620.25,2.6
2026-03-01,6300,General & Administrative,399840.48,407058.19,7217.71,1.8
2026-03-01,6400,IT & Systems,132971.8,135686.06,2714.26,2.0
2026-03-01,6500,Facilities & EHS,96163.0,101764.55,5601.55,5.8
2026-03-01,7000,Depreciation,196764.84,203529.09,6764.25,3.4
2026-04-01,4000,Product Revenue,5941817.12,6047311.1,105493.98,1.8
2026-04-01,4100,Service Revenue,672839.84,671923.46,-916.38,-0.1
2026-04-01,5000,Direct Material,1250799.6,1520212.93,269413.33,21.5
2026-04-01,5100,Direct Labor,1034045.6,1105845.76,71800.16,6.9
2026-04-01,5200,Manufacturing Overhead,717924.3,712922.0,-5002.3,-0.7
2026-04-01,5300,Scrap & Rework,159957.23,185194.04,25236.81,15.8
2026-04-01,6000,Engineering Labor,862953.68,690398.59,-172555.09,-20.0
2026-04-01,6100,Non-Recurring Engineering,329242.56,276159.44,-53083.12,-16.1
2026-04-01,6200,Sales & Marketing,319487.49,335961.73,16474.24,5.2
2026-04-01,6300,General & Administrative,385396.93,403154.07,17757.14,4.6
2026-04-01,6400,IT & Systems,131766.28,134384.69,2618.41,2.0
2026-04-01,6500,Facilities & EHS,97121.22,100788.52,3667.3,3.8
2026-04-01,7000,Depreciation,197753.15,201577.04,3823.89,1.9
2026-05-01,4000,Product Revenue,5989957.1,6127695.3,137738.2,2.3
2026-05-01,4100,Service Revenue,662717.27,680855.03,18137.76,2.7
2026-05-01,5000,Direct Material,1203090.07,1230492.42,27402.35,2.3
2026-05-01,5100,Direct Labor,1021361.81,909137.11,-112224.7,-11.0
2026-05-01,5200,Manufacturing Overhead,747137.98,816685.26,69547.28,9.3
2026-05-01,5300,Scrap & Rework,155141.47,130381.6,-24759.87,-16.0
2026-05-01,6000,Engineering Labor,810328.57,770369.81,-39958.76,-4.9
2026-05-01,6100,Non-Recurring Engineering,328606.33,308147.92,-20458.41,-6.2
2026-05-01,6200,Sales & Marketing,324739.57,340427.52,15687.95,4.8
2026-05-01,6300,General & Administrative,406045.25,408513.02,2467.77,0.6
2026-05-01,6400,IT & Systems,127697.33,136171.01,8473.68,6.6
2026-05-01,6500,Facilities & EHS,99870.33,102128.25,2257.92,2.3
2026-05-01,7000,Depreciation,203142.81,204256.51,1113.7,0.5
2026-06-01,4000,Product Revenue,5874533.23,5784296.24,-90236.99,-1.5
2026-06-01,4100,Service Revenue,634145.38,642699.58,8554.2,1.3
2026-06-01,5000,Direct Material,1252766.82,1368876.38,116109.56,9.3
2026-06-01,5100,Direct Labor,1028065.76,973702.18,-54363.58,-5.3
2026-06-01,5200,Manufacturing Overhead,729919.61,763322.22,33402.61,4.6
2026-06-01,5300,Scrap & Rework,155262.11,118703.96,-36558.15,-23.5
2026-06-01,6000,Engineering Labor,847492.2,527432.7,-320059.5,-37.8
2026-06-01,6100,Non-Recurring Engineering,342062.78,210973.08,-131089.7,-38.3
2026-06-01,6200,Sales & Marketing,318342.54,321349.79,3007.25,0.9
2026-06-01,6300,General & Administrative,401328.42,385619.75,-15708.67,-3.9
2026-06-01,6400,IT & Systems,131437.56,128539.92,-2897.64,-2.2
2026-06-01,6500,Facilities & EHS,97101.04,96404.94,-696.1,-0.7
2026-06-01,7000,Depreciation,191505.0,192809.87,1304.87,0.7
2026-07-01,4000,Product Revenue,6015631.13,5728226.63,-287404.5,-4.8
2026-07-01,4100,Service Revenue,659094.11,636469.63,-22624.48,-3.4
2026-07-01,5000,Direct Material,1245499.77,1998976.55,753476.78,60.5
2026-07-01,5100,Direct Labor,1031276.72,979940.36,-51336.36,-5.0
2026-07-01,5200,Manufacturing Overhead,757149.27,580555.39,-176593.88,-23.3
2026-07-01,5300,Scrap & Rework,155952.48,99966.97,-55985.51,-35.9
2026-07-01,6000,Engineering Labor,815464.55,775084.77,-40379.78,-5.0
2026-07-01,6100,Non-Recurring Engineering,333662.21,310033.91,-23628.3,-7.1
2026-07-01,6200,Sales & Marketing,336346.62,318234.81,-18111.81,-5.4
2026-07-01,6300,General & Administrative,403174.04,381881.78,-21292.26,-5.3
2026-07-01,6400,IT & Systems,134325.31,127293.93,-7031.38,-5.2
2026-07-01,6500,Facilities & EHS,100580.8,95470.44,-5110.36,-5.1
2026-07-01,7000,Depreciation,190259.52,190940.89,681.37,0.4
