ProjectID,SiteID,Category,BudgetUSD,ApprovedUSD,Status,FiscalYear
CAPX-01-MAC,SITE-01,Machining Center,1200000,0,Pending,FY2026
CAPX-01-AUT,SITE-01,Automation Cell,1200000,0,Approved,FY2026
CAPX-01-TES,SITE-01,Test Equipment,150000,350000,Deferred,FY2026
CAPX-01-FAC,SITE-01,Facilities Upgrade,350000,0,Pending,FY2026
CAPX-02-MAC,SITE-02,Machining Center,150000,0,Pending,FY2026
CAPX-02-AUT,SITE-02,Automation Cell,700000,150000,Pending,FY2026
CAPX-02-TES,SITE-02,Test Equipment,150000,150000,Deferred,FY2026
CAPX-02-FAC,SITE-02,Facilities Upgrade,700000,0,Deferred,FY2026
CAPX-03-MAC,SITE-03,Machining Center,1200000,150000,Deferred,FY2026
CAPX-03-AUT,SITE-03,Automation Cell,1200000,0,Pending,FY2026
CAPX-03-TES,SITE-03,Test Equipment,150000,150000,Pending,FY2026
CAPX-03-FAC,SITE-03,Facilities Upgrade,1200000,350000,Deferred,FY2026
CAPX-04-MAC,SITE-04,Machining Center,1200000,350000,Approved,FY2026
CAPX-04-AUT,SITE-04,Automation Cell,700000,350000,Approved,FY2026
CAPX-04-TES,SITE-04,Test Equipment,1200000,150000,Pending,FY2026
CAPX-04-FAC,SITE-04,Facilities Upgrade,350000,150000,Pending,FY2026
