Month,Scenario,CashInflowUSD,CashOutflowUSD,NetCashUSD,EndingCashUSD
2026-01-01,Forecast,5209187.84,5135826.73,73361.11,7288556.05
2026-02-01,Forecast,3892188.92,4576461.09,-684272.17,6604283.88
2026-03-01,Forecast,4817536.66,3157131.15,1660405.51,8264689.39
2026-04-01,Forecast,5769704.27,4091392.41,1678311.86,9943001.25
2026-05-01,Forecast,4806771.42,3400573.32,1406198.1,11349199.35
2026-06-01,Forecast,5151700.01,5684956.41,-533256.4,10815942.95
2026-07-01,Forecast,4090642.17,4180242.77,-89600.6,10726342.35
2026-08-01,Forecast,4772198.21,3088866.62,1683331.59,12409673.94
2026-09-01,Forecast,3468926.38,4661067.98,-1192141.6,11217532.34
2026-10-01,Forecast,3999166.68,4673661.88,-674495.2,10543037.14
2026-11-01,Forecast,3058481.37,5616081.28,-2557599.91,7985437.23
2026-12-01,Forecast,5252674.34,3979738.1,1272936.24,9258373.47
2027-01-01,Forecast,4368314.98,5277298.44,-908983.46,8349390.01
2027-02-01,Forecast,5874030.47,3017698.32,2856332.15,11205722.16
2027-03-01,Forecast,3907737.17,5303136.03,-1395398.86,9810323.3
2027-04-01,Forecast,5596269.9,3009288.93,2586980.97,12397304.27
2027-05-01,Forecast,5623927.02,5599401.9,24525.12,12421829.39
2027-06-01,Forecast,4733714.32,2803205.84,1930508.48,14352337.87
2027-07-01,Forecast,4125836.38,4520860.23,-395023.85,13957314.02
2027-08-01,Forecast,5769476.28,4541972.89,1227503.39,15184817.41
2027-09-01,Forecast,3789459.55,3529084.51,260375.04,15445192.45
2027-10-01,Forecast,4327369.64,5407351.61,-1079981.97,14365210.48
2027-11-01,Forecast,5663256.75,3244565.79,2418690.96,16783901.44
2027-12-01,Forecast,5704175.11,4115913.78,1588261.33,18372162.77
