Month,Scenario,Version,AccountNumber,AccountName,ForecastUSD
2026-01-01,Forecast,FY26-F2,4000,Product Revenue,6243859.0
2026-01-01,Forecast,FY26-F2,4100,Service Revenue,655788.73
2026-01-01,Forecast,FY26-F2,5000,Direct Material,1180497.39
2026-01-01,Forecast,FY26-F2,5100,Direct Labor,1057346.4
2026-01-01,Forecast,FY26-F2,5200,Manufacturing Overhead,815055.84
2026-01-01,Forecast,FY26-F2,5300,Scrap & Rework,166750.99
2026-01-01,Forecast,FY26-F2,6000,Engineering Labor,868758.44
2026-01-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,330378.06
2026-01-01,Forecast,FY26-F2,6200,Sales & Marketing,345891.2
2026-01-01,Forecast,FY26-F2,6300,General & Administrative,408112.35
2026-01-01,Forecast,FY26-F2,6400,IT & Systems,127541.39
2026-01-01,Forecast,FY26-F2,6500,Facilities & EHS,100603.82
2026-01-01,Forecast,FY26-F2,7000,Depreciation,214235.08
2026-02-01,Forecast,FY26-F2,4000,Product Revenue,6397009.13
2026-02-01,Forecast,FY26-F2,4100,Service Revenue,657519.62
2026-02-01,Forecast,FY26-F2,5000,Direct Material,1218168.33
2026-02-01,Forecast,FY26-F2,5100,Direct Labor,1050651.63
2026-02-01,Forecast,FY26-F2,5200,Manufacturing Overhead,695562.56
2026-02-01,Forecast,FY26-F2,5300,Scrap & Rework,163163.92
2026-02-01,Forecast,FY26-F2,6000,Engineering Labor,791899.65
2026-02-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,334128.07
2026-02-01,Forecast,FY26-F2,6200,Sales & Marketing,336546.47
2026-02-01,Forecast,FY26-F2,6300,General & Administrative,388689.3
2026-02-01,Forecast,FY26-F2,6400,IT & Systems,136091.73
2026-02-01,Forecast,FY26-F2,6500,Facilities & EHS,101406.13
2026-02-01,Forecast,FY26-F2,7000,Depreciation,207368.34
2026-03-01,Forecast,FY26-F2,4000,Product Revenue,6283195.52
2026-03-01,Forecast,FY26-F2,4100,Service Revenue,682398.8
2026-03-01,Forecast,FY26-F2,5000,Direct Material,1250212.73
2026-03-01,Forecast,FY26-F2,5100,Direct Labor,1100721.46
2026-03-01,Forecast,FY26-F2,5200,Manufacturing Overhead,769764.44
2026-03-01,Forecast,FY26-F2,5300,Scrap & Rework,168874.47
2026-03-01,Forecast,FY26-F2,6000,Engineering Labor,833734.76
2026-03-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,355202.03
2026-03-01,Forecast,FY26-F2,6200,Sales & Marketing,333106.98
2026-03-01,Forecast,FY26-F2,6300,General & Administrative,429409.57
2026-03-01,Forecast,FY26-F2,6400,IT & Systems,137419.01
2026-03-01,Forecast,FY26-F2,6500,Facilities & EHS,97789.22
2026-03-01,Forecast,FY26-F2,7000,Depreciation,195009.58
2026-04-01,Forecast,FY26-F2,4000,Product Revenue,6233028.3
2026-04-01,Forecast,FY26-F2,4100,Service Revenue,667655.84
2026-04-01,Forecast,FY26-F2,5000,Direct Material,1308178.86
2026-04-01,Forecast,FY26-F2,5100,Direct Labor,1083834.07
2026-04-01,Forecast,FY26-F2,5200,Manufacturing Overhead,736858.45
2026-04-01,Forecast,FY26-F2,5300,Scrap & Rework,159109.95
2026-04-01,Forecast,FY26-F2,6000,Engineering Labor,855153.44
2026-04-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,330083.64
2026-04-01,Forecast,FY26-F2,6200,Sales & Marketing,329342.19
2026-04-01,Forecast,FY26-F2,6300,General & Administrative,382654.45
2026-04-01,Forecast,FY26-F2,6400,IT & Systems,129783.55
2026-04-01,Forecast,FY26-F2,6500,Facilities & EHS,95208.43
2026-04-01,Forecast,FY26-F2,7000,Depreciation,209697.05
2026-05-01,Forecast,FY26-F2,4000,Product Revenue,6295315.51
