Month,AccountNumber,AccountName,AmountUSD
2024-08-01,4000,Product Revenue,5054942.31
2024-08-01,4100,Service Revenue,561660.26
2024-08-01,5000,Direct Material,1841286.76
2024-08-01,5100,Direct Labor,755890.98
2024-08-01,5200,Manufacturing Overhead,576638.98
2024-08-01,5300,Scrap & Rework,107814.6
2024-08-01,6000,Engineering Labor,724766.33
2024-08-01,6100,Non-Recurring Engineering,289906.53
2024-08-01,6200,Sales & Marketing,280830.13
2024-08-01,6300,General & Administrative,336996.15
2024-08-01,6400,IT & Systems,112332.05
2024-08-01,6500,Facilities & EHS,84249.04
2024-08-01,7000,Depreciation,168498.08
2024-09-01,4000,Product Revenue,5204214.62
2024-09-01,4100,Service Revenue,578246.07
2024-09-01,5000,Direct Material,1847844.18
2024-09-01,5100,Direct Labor,886599.54
2024-09-01,5200,Manufacturing Overhead,609543.56
2024-09-01,5300,Scrap & Rework,96231.11
2024-09-01,6000,Engineering Labor,745041.05
2024-09-01,6100,Non-Recurring Engineering,298016.42
2024-09-01,6200,Sales & Marketing,289123.03
2024-09-01,6300,General & Administrative,346947.64
2024-09-01,6400,IT & Systems,115649.21
2024-09-01,6500,Facilities & EHS,86736.91
2024-09-01,7000,Depreciation,173473.82
2024-10-01,4000,Product Revenue,5357628.31
2024-10-01,4100,Service Revenue,595292.04
2024-10-01,5000,Direct Material,1086638.52
2024-10-01,5100,Direct Labor,829418.34
2024-10-01,5200,Manufacturing Overhead,584429.0
2024-10-01,5300,Scrap & Rework,99701.45
2024-10-01,6000,Engineering Labor,635879.13
2024-10-01,6100,Non-Recurring Engineering,254351.65
2024-10-01,6200,Sales & Marketing,297646.02
2024-10-01,6300,General & Administrative,357175.22
2024-10-01,6400,IT & Systems,119058.41
2024-10-01,6500,Facilities & EHS,89293.81
2024-10-01,7000,Depreciation,178587.61
2024-11-01,4000,Product Revenue,5561635.47
2024-11-01,4100,Service Revenue,617959.5
2024-11-01,5000,Direct Material,1716781.15
2024-11-01,5100,Direct Labor,919967.5
2024-11-01,5200,Manufacturing Overhead,613735.14
2024-11-01,5300,Scrap & Rework,113466.49
2024-11-01,6000,Engineering Labor,659934.14
2024-11-01,6100,Non-Recurring Engineering,263973.66
2024-11-01,6200,Sales & Marketing,308979.75
2024-11-01,6300,General & Administrative,370775.7
2024-11-01,6400,IT & Systems,123591.9
2024-11-01,6500,Facilities & EHS,92693.92
2024-11-01,7000,Depreciation,185387.85
2024-12-01,4000,Product Revenue,5634180.47
2024-12-01,4100,Service Revenue,626020.05
2024-12-01,5000,Direct Material,754428.08
2024-12-01,5100,Direct Labor,1011458.55
2024-12-01,5200,Manufacturing Overhead,660381.81
2024-12-01,5300,Scrap & Rework,176157.2
2024-12-01,6000,Engineering Labor,622820.5
2024-12-01,6100,Non-Recurring Engineering,249128.2
2024-12-01,6200,Sales & Marketing,313010.03
2024-12-01,6300,General & Administrative,375612.03
2024-12-01,6400,IT & Systems,125204.01
2024-12-01,6500,Facilities & EHS,93903.01
2024-12-01,7000,Depreciation,187806.02
2025-01-01,4000,Product Revenue,5310473.71
2025-01-01,4100,Service Revenue,590052.64
2025-01-01,5000,Direct Material,891899.86
2025-01-01,5100,Direct Labor,835084.91
2025-01-01,5200,Manufacturing Overhead,583817.57
2025-01-01,5300,Scrap & Rework,140303.29
2025-01-01,6000,Engineering Labor,782201.13
2025-01-01,6100,Non-Recurring Engineering,312880.45
2025-01-01,6200,Sales & Marketing,295026.32
2025-01-01,6300,General & Administrative,354031.58
2025-01-01,6400,IT & Systems,118010.53
2025-01-01,6500,Facilities & EHS,88507.9
2025-01-01,7000,Depreciation,177015.79
2025-02-01,4000,Product Revenue,5649285.59
2025-02-01,4100,Service Revenue,627698.4
2025-02-01,5000,Direct Material,768400.53
2025-02-01,5100,Direct Labor,991290.63
2025-02-01,5200,Manufacturing Overhead,571604.81
2025-02-01,5300,Scrap & Rework,113238.69
2025-02-01,6000,Engineering Labor,769269.44
2025-02-01,6100,Non-Recurring Engineering,307707.78
2025-02-01,6200,Sales & Marketing,313849.2
2025-02-01,6300,General & Administrative,376619.04
2025-02-01,6400,IT & Systems,125539.68
2025-02-01,6500,Facilities & EHS,94154.76
2025-02-01,7000,Depreciation,188309.52
2025-03-01,4000,Product Revenue,5698908.41
2025-03-01,4100,Service Revenue,633212.05
2025-03-01,5000,Direct Material,1309592.6
2025-03-01,5100,Direct Labor,881079.94
2025-03-01,5200,Manufacturing Overhead,590775.97
2025-03-01,5300,Scrap & Rework,179325.38
2025-03-01,6000,Engineering Labor,581598.68
2025-03-01,6100,Non-Recurring Engineering,232639.47
2025-03-01,6200,Sales & Marketing,316606.02
2025-03-01,6300,General & Administrative,379927.23
2025-03-01,6400,IT & Systems,126642.41
2025-03-01,6500,Facilities & EHS,94981.81
2025-03-01,7000,Depreciation,189963.61
2025-04-01,4000,Product Revenue,5607809.51
2025-04-01,4100,Service Revenue,623089.95
2025-04-01,5000,Direct Material,1769359.03
2025-04-01,5100,Direct Labor,1004792.47
2025-04-01,5200,Manufacturing Overhead,591879.66
2025-04-01,5300,Scrap & Rework,137934.53
2025-04-01,6000,Engineering Labor,686437.93
2025-04-01,6100,Non-Recurring Engineering,274575.17
2025-04-01,6200,Sales & Marketing,311544.97
2025-04-01,6300,General & Administrative,373853.97
2025-04-01,6400,IT & Systems,124617.99
2025-04-01,6500,Facilities & EHS,93463.49
2025-04-01,7000,Depreciation,186926.98
2025-05-01,4000,Product Revenue,5500835.15
2025-05-01,4100,Service Revenue,611203.91
2025-05-01,5000,Direct Material,1819764.84
2025-05-01,5100,Direct Labor,912414.63
2025-05-01,5200,Manufacturing Overhead,619579.08
2025-05-01,5300,Scrap & Rework,164409.86
2025-05-01,6000,Engineering Labor,708560.15
2025-05-01,6100,Non-Recurring Engineering,283424.06
2025-05-01,6200,Sales & Marketing,305601.95
2025-05-01,6300,General & Administrative,366722.34
2025-05-01,6400,IT & Systems,122240.78
2025-05-01,6500,Facilities & EHS,91680.59
2025-05-01,7000,Depreciation,183361.17
2025-06-01,4000,Product Revenue,5441470.99
2025-06-01,4100,Service Revenue,604607.89
2025-06-01,5000,Direct Material,949612.78
2025-06-01,5100,Direct Labor,984340.84
2025-06-01,5200,Manufacturing Overhead,688640.88
2025-06-01,5300,Scrap & Rework,141380.07
2025-06-01,6000,Engineering Labor,690121.16
2025-06-01,6100,Non-Recurring Engineering,276048.46
2025-06-01,6200,Sales & Marketing,302303.94
2025-06-01,6300,General & Administrative,362764.73
2025-06-01,6400,IT & Systems,120921.58
2025-06-01,6500,Facilities & EHS,90691.18
2025-06-01,7000,Depreciation,181382.37
2025-07-01,4000,Product Revenue,5270588.78
2025-07-01,4100,Service Revenue,585620.97
2025-07-01,5000,Direct Material,1426113.32
2025-07-01,5100,Direct Labor,962164.84
2025-07-01,5200,Manufacturing Overhead,546040.97
2025-07-01,5300,Scrap & Rework,98198.47
2025-07-01,6000,Engineering Labor,808062.18
2025-07-01,6100,Non-Recurring Engineering,323224.87
2025-07-01,6200,Sales & Marketing,292810.49
2025-07-01,6300,General & Administrative,351372.58
2025-07-01,6400,IT & Systems,117124.2
2025-07-01,6500,Facilities & EHS,87843.15
2025-07-01,7000,Depreciation,175686.29
2025-08-01,4000,Product Revenue,5394042.1
2025-08-01,4100,Service Revenue,599338.01
2025-08-01,5000,Direct Material,944920.28
2025-08-01,5100,Direct Labor,839543.82
2025-08-01,5200,Manufacturing Overhead,599155.29
2025-08-01,5300,Scrap & Rework,150450.31
2025-08-01,6000,Engineering Labor,872773.56
2025-08-01,6100,Non-Recurring Engineering,349109.42
2025-08-01,6200,Sales & Marketing,299669.01
2025-08-01,6300,General & Administrative,359602.81
2025-08-01,6400,IT & Systems,119867.6
2025-08-01,6500,Facilities & EHS,89900.7
2025-08-01,7000,Depreciation,179801.4
2025-09-01,4000,Product Revenue,5734387.08
2025-09-01,4100,Service Revenue,637154.12
2025-09-01,5000,Direct Material,1256744.82
2025-09-01,5100,Direct Labor,976143.67
2025-09-01,5200,Manufacturing Overhead,718392.61
2025-09-01,5300,Scrap & Rework,136833.7
2025-09-01,6000,Engineering Labor,794242.08
2025-09-01,6100,Non-Recurring Engineering,317696.83
2025-09-01,6200,Sales & Marketing,318577.06
2025-09-01,6300,General & Administrative,382292.47
2025-09-01,6400,IT & Systems,127430.82
2025-09-01,6500,Facilities & EHS,95573.12
2025-09-01,7000,Depreciation,191146.24
2025-10-01,4000,Product Revenue,5865608.83
2025-10-01,4100,Service Revenue,651734.31
2025-10-01,5000,Direct Material,1583898.71
2025-10-01,5100,Direct Labor,960940.51
2025-10-01,5200,Manufacturing Overhead,601686.01
2025-10-01,5300,Scrap & Rework,136551.56
2025-10-01,6000,Engineering Labor,742362.24
2025-10-01,6100,Non-Recurring Engineering,296944.9
2025-10-01,6200,Sales & Marketing,325867.16
2025-10-01,6300,General & Administrative,391040.59
2025-10-01,6400,IT & Systems,130346.86
2025-10-01,6500,Facilities & EHS,97760.15
2025-10-01,7000,Depreciation,195520.29
2025-11-01,4000,Product Revenue,6059962.3
2025-11-01,4100,Service Revenue,673329.14
2025-11-01,5000,Direct Material,1090938.32
2025-11-01,5100,Direct Labor,1042449.29
2025-11-01,5200,Manufacturing Overhead,620657.76
2025-11-01,5300,Scrap & Rework,150017.38
2025-11-01,6000,Engineering Labor,681197.21
2025-11-01,6100,Non-Recurring Engineering,272478.88
2025-11-01,6200,Sales & Marketing,336664.57
2025-11-01,6300,General & Administrative,403997.49
2025-11-01,6400,IT & Systems,134665.83
2025-11-01,6500,Facilities & EHS,100999.37
2025-11-01,7000,Depreciation,201998.74
2025-12-01,4000,Product Revenue,6145719.18
2025-12-01,4100,Service Revenue,682857.69
2025-12-01,5000,Direct Material,1203651.57
2025-12-01,5100,Direct Labor,1078519.51
2025-12-01,5200,Manufacturing Overhead,805551.31
2025-12-01,5300,Scrap & Rework,198290.51
2025-12-01,6000,Engineering Labor,797470.1
2025-12-01,6100,Non-Recurring Engineering,318988.04
2025-12-01,6200,Sales & Marketing,341428.84
2025-12-01,6300,General & Administrative,409714.61
2025-12-01,6400,IT & Systems,136571.54
2025-12-01,6500,Facilities & EHS,102428.65
2025-12-01,7000,Depreciation,204857.31
2026-01-01,4000,Product Revenue,5816617.43
2026-01-01,4100,Service Revenue,646290.83
2026-01-01,5000,Direct Material,1209764.92
2026-01-01,5100,Direct Labor,986093.97
2026-01-01,5200,Manufacturing Overhead,729993.5
2026-01-01,5300,Scrap & Rework,156190.7
2026-01-01,6000,Engineering Labor,822037.55
2026-01-01,6100,Non-Recurring Engineering,328815.02
2026-01-01,6200,Sales & Marketing,323145.41
2026-01-01,6300,General & Administrative,387774.5
2026-01-01,6400,IT & Systems,129258.17
2026-01-01,6500,Facilities & EHS,96943.62
2026-01-01,7000,Depreciation,193887.25
2026-02-01,4000,Product Revenue,5893288.29
2026-02-01,4100,Service Revenue,654809.81
2026-02-01,5000,Direct Material,1525097.65
2026-02-01,5100,Direct Labor,927969.86
2026-02-01,5200,Manufacturing Overhead,646782.41
2026-02-01,5300,Scrap & Rework,130051.86
2026-02-01,6000,Engineering Labor,944232.23
2026-02-01,6100,Non-Recurring Engineering,377692.89
2026-02-01,6200,Sales & Marketing,327404.91
2026-02-01,6300,General & Administrative,392885.89
2026-02-01,6400,IT & Systems,130961.96
2026-02-01,6500,Facilities & EHS,98221.47
2026-02-01,7000,Depreciation,196442.94
2026-03-01,4000,Product Revenue,6105872.8
2026-03-01,4100,Service Revenue,678430.31
2026-03-01,5000,Direct Material,1379328.77
2026-03-01,5100,Direct Labor,1116649.79
2026-03-01,5200,Manufacturing Overhead,624934.44
2026-03-01,5300,Scrap & Rework,107841.93
2026-03-01,6000,Engineering Labor,856852.41
2026-03-01,6100,Non-Recurring Engineering,342740.96
2026-03-01,6200,Sales & Marketing,339215.16
