Month,FringePct,OverheadPct,GA_Pct
2024-08-01,32.36,100.79,12.33
2024-09-01,28.88,95.06,12.29
2024-10-01,32.41,120.35,14.76
2024-11-01,28.99,103.84,14.81
2024-12-01,33.32,111.25,12.34
2025-01-01,30.27,122.76,12.71
2025-02-01,30.18,118.07,14.97
2025-03-01,31.8,96.77,17.48
2025-04-01,32.18,124.14,14.49
2025-05-01,32.85,124.86,17.8
2025-06-01,32.9,98.61,15.93
2025-07-01,31.04,97.69,12.28
2025-08-01,29.48,114.9,15.66
2025-09-01,32.86,116.11,14.07
2025-10-01,30.96,114.36,12.79
2025-11-01,32.89,102.26,14.05
2025-12-01,31.76,117.09,15.33
2026-01-01,31.57,108.35,12.47
2026-02-01,32.01,114.64,14.29
2026-03-01,33.2,102.73,15.01
2026-04-01,33.12,95.36,12.45
2026-05-01,31.18,98.3,17.76
2026-06-01,32.76,107.71,13.65
2026-07-01,29.67,103.72,17.11
