EmployeeID,DeptID,SiteID,JobClass,AttritionRiskScore,RiskTier
EMP-100000,DEPT-01,SITE-01,Assembler,0.24,Low
EMP-100001,DEPT-02,SITE-02,CNC Machinist,0.12,Low
EMP-100002,DEPT-03,SITE-03,Quality Inspector,0.25,Low
EMP-100003,DEPT-04,SITE-04,Manufacturing Engineer,0.15,Low
EMP-100004,DEPT-05,SITE-01,Design Engineer,0.21,Low
EMP-100005,DEPT-06,SITE-02,Test Engineer,0.08,Low
EMP-100006,DEPT-07,SITE-03,Buyer,0.06,Low
EMP-100007,DEPT-08,SITE-04,Financial Analyst,0.25,Medium
EMP-100008,DEPT-09,SITE-01,HR Generalist,0.17,Low
EMP-100009,DEPT-10,SITE-02,IT Support,0.09,Low
EMP-100010,DEPT-11,SITE-03,Program Manager,0.08,Low
EMP-100011,DEPT-01,SITE-04,Account Executive,0.16,Low
EMP-100012,DEPT-02,SITE-01,Maintenance Technician,0.29,Medium
EMP-100013,DEPT-03,SITE-02,EHS Specialist,0.33,Medium
EMP-100014,DEPT-04,SITE-03,Contracts Administrator,0.08,Low
EMP-100015,DEPT-05,SITE-04,Assembler,0.24,Low
EMP-100016,DEPT-06,SITE-01,CNC Machinist,0.6,High
EMP-100017,DEPT-07,SITE-02,Quality Inspector,0.27,Medium
EMP-100018,DEPT-08,SITE-03,Manufacturing Engineer,0.14,Low
EMP-100019,DEPT-09,SITE-04,Design Engineer,0.11,Low
EMP-100020,DEPT-10,SITE-01,Test Engineer,0.19,Low
EMP-100021,DEPT-11,SITE-02,Buyer,0.19,Low
EMP-100022,DEPT-01,SITE-03,Financial Analyst,0.09,Low
EMP-100023,DEPT-02,SITE-04,HR Generalist,0.32,Medium
EMP-100024,DEPT-03,SITE-01,IT Support,0.28,Medium
EMP-100025,DEPT-04,SITE-02,Program Manager,0.09,Low
EMP-100026,DEPT-05,SITE-03,Account Executive,0.22,Low
EMP-100027,DEPT-06,SITE-04,Maintenance Technician,0.34,Medium
EMP-100028,DEPT-07,SITE-01,EHS Specialist,0.25,Medium
EMP-100029,DEPT-08,SITE-02,Contracts Administrator,0.15,Low
EMP-100030,DEPT-09,SITE-03,Assembler,0.26,Medium
EMP-100031,DEPT-10,SITE-04,CNC Machinist,0.16,Low
EMP-100032,DEPT-11,SITE-01,Quality Inspector,0.24,Low
EMP-100033,DEPT-01,SITE-02,Manufacturing Engineer,0.15,Low
EMP-100034,DEPT-02,SITE-03,Design Engineer,0.14,Low
EMP-100035,DEPT-03,SITE-04,Test Engineer,0.08,Low
EMP-100036,DEPT-04,SITE-01,Buyer,0.32,Medium
EMP-100037,DEPT-05,SITE-02,Financial Analyst,0.23,Low
EMP-100038,DEPT-06,SITE-03,HR Generalist,0.23,Low
EMP-100039,DEPT-07,SITE-04,IT Support,0.2,Low
EMP-100040,DEPT-08,SITE-01,Program Manager,0.18,Low
EMP-100041,DEPT-09,SITE-02,Account Executive,0.18,Low
EMP-100042,DEPT-10,SITE-03,Maintenance Technician,0.11,Low
EMP-100043,DEPT-11,SITE-04,EHS Specialist,0.12,Low
EMP-100044,DEPT-01,SITE-01,Contracts Administrator,0.15,Low
EMP-100045,DEPT-02,SITE-02,Assembler,0.15,Low
EMP-100046,DEPT-03,SITE-03,CNC Machinist,0.26,Medium
EMP-100047,DEPT-04,SITE-04,Quality Inspector,0.1,Low
EMP-100048,DEPT-05,SITE-01,Manufacturing Engineer,0.27,Medium
EMP-100049,DEPT-06,SITE-02,Design Engineer,0.25,Low
EMP-100050,DEPT-07,SITE-03,Test Engineer,0.09,Low
EMP-100051,DEPT-08,SITE-04,Buyer,0.06,Low
EMP-100052,DEPT-09,SITE-01,Financial Analyst,0.12,Low
EMP-100053,DEPT-10,SITE-02,HR Generalist,0.08,Low
EMP-100054,DEPT-11,SITE-03,IT Support,0.32,Medium
EMP-100055,DEPT-01,SITE-04,Program Manager,0.34,Medium
EMP-100056,DEPT-02,SITE-01,Account Executive,0.28,Medium
EMP-100057,DEPT-03,SITE-02,Maintenance Technician,0.22,Low
EMP-100058,DEPT-04,SITE-03,EHS Specialist,0.29,Medium
EMP-100059,DEPT-05,SITE-04,Contracts Administrator,0.3,Medium
EMP-100060,DEPT-06,SITE-01,Assembler,0.07,Low
EMP-100061,DEPT-07,SITE-02,CNC Machinist,0.15,Low
EMP-100062,DEPT-08,SITE-03,Quality Inspector,0.26,Medium
EMP-100063,DEPT-09,SITE-04,Manufacturing Engineer,0.33,Medium
EMP-100064,DEPT-10,SITE-01,Design Engineer,0.27,Medium
EMP-100065,DEPT-11,SITE-02,Test Engineer,0.32,Medium
EMP-100066,DEPT-01,SITE-03,Buyer,0.2,Low
EMP-100067,DEPT-02,SITE-04,Financial Analyst,0.3,Medium
EMP-100068,DEPT-03,SITE-01,HR Generalist,0.12,Low
EMP-100069,DEPT-04,SITE-02,IT Support,0.19,Low
EMP-100070,DEPT-05,SITE-03,Program Manager,0.11,Low
EMP-100071,DEPT-06,SITE-04,Account Executive,0.08,Low
EMP-100072,DEPT-07,SITE-01,Maintenance Technician,0.34,Medium
EMP-100073,DEPT-08,SITE-02,EHS Specialist,0.23,Low
EMP-100074,DEPT-09,SITE-03,Contracts Administrator,0.27,Medium
EMP-100075,DEPT-10,SITE-04,Assembler,0.05,Low
EMP-100076,DEPT-11,SITE-01,CNC Machinist,0.64,High
EMP-100077,DEPT-01,SITE-02,Quality Inspector,0.27,Medium
EMP-100078,DEPT-02,SITE-03,Manufacturing Engineer,0.21,Low
EMP-100079,DEPT-03,SITE-04,Design Engineer,0.09,Low
EMP-100080,DEPT-04,SITE-01,Test Engineer,0.11,Low
EMP-100081,DEPT-05,SITE-02,Buyer,0.14,Low
EMP-100082,DEPT-06,SITE-03,Financial Analyst,0.24,Low
EMP-100083,DEPT-07,SITE-04,HR Generalist,0.11,Low
EMP-100084,DEPT-08,SITE-01,IT Support,0.32,Medium
EMP-100085,DEPT-09,SITE-02,Program Manager,0.18,Low
EMP-100086,DEPT-10,SITE-03,Account Executive,0.26,Medium
EMP-100087,DEPT-11,SITE-04,Maintenance Technician,0.16,Low
EMP-100088,DEPT-01,SITE-01,EHS Specialist,0.21,Low
EMP-100089,DEPT-02,SITE-02,Contracts Administrator,0.3,Medium
EMP-100090,DEPT-03,SITE-03,Assembler,0.29,Medium
EMP-100091,DEPT-04,SITE-04,CNC Machinist,0.21,Low
EMP-100092,DEPT-05,SITE-01,Quality Inspector,0.29,Medium
EMP-100093,DEPT-06,SITE-02,Manufacturing Engineer,0.07,Low
EMP-100094,DEPT-07,SITE-03,Design Engineer,0.07,Low
EMP-100095,DEPT-08,SITE-04,Test Engineer,0.34,Medium
EMP-100096,DEPT-09,SITE-01,Buyer,0.27,Medium
EMP-100097,DEPT-10,SITE-02,Financial Analyst,0.28,Medium
EMP-100098,DEPT-11,SITE-03,HR Generalist,0.14,Low
EMP-100099,DEPT-01,SITE-04,IT Support,0.31,Medium
