EmployeeID,EffectiveDate,ChangeType,OldSalaryUSD,NewSalaryUSD
EMP-100000,2026-02-01,Market Adj,47415,52133
EMP-100001,2026-04-01,Promotion,64733,68326
EMP-100002,2026-02-01,Promotion,56901,61621
EMP-100003,2026-04-01,Market Adj,107210,117853
EMP-100004,2026-06-01,Promotion,108857,117211
EMP-100005,2026-06-01,Market Adj,90295,98250
EMP-100006,2026-07-01,Market Adj,71843,74351
EMP-100007,2026-03-01,Merit,80239,87168
EMP-100008,2026-06-01,Merit,72093,76572
EMP-100009,2026-02-01,Promotion,75371,80534
EMP-100010,2026-04-01,Promotion,143740,149957
EMP-100011,2026-06-01,Promotion,87410,92621
EMP-100012,2026-03-01,Promotion,58292,65286
EMP-100013,2026-06-01,Market Adj,75918,78057
EMP-100014,2026-01-01,Merit,92284,99806
EMP-100015,2026-02-01,Promotion,54146,57566
EMP-100016,2026-04-01,Market Adj,63851,70153
EMP-100017,2026-05-01,Merit,64777,67208
EMP-100018,2026-04-01,Promotion,91292,96578
EMP-100019,2026-03-01,Merit,121683,124513
EMP-100020,2026-04-01,Promotion,96712,106412
EMP-100021,2026-07-01,Market Adj,71041,78400
EMP-100022,2026-02-01,Market Adj,95097,97852
EMP-100023,2026-03-01,Market Adj,66533,74375
EMP-100024,2026-02-01,Market Adj,62263,66999
EMP-100025,2026-05-01,Promotion,116552,121368
EMP-100026,2026-02-01,Market Adj,108746,120883
EMP-100027,2026-03-01,Merit,63947,69454
EMP-100028,2026-06-01,Promotion,71448,75256
EMP-100029,2026-05-01,Merit,75391,79127
EMP-100030,2026-06-01,Merit,54122,60552
EMP-100031,2026-03-01,Merit,55791,61629
EMP-100032,2026-07-01,Promotion,56829,58768
EMP-100033,2026-04-01,Promotion,85162,90680
EMP-100034,2026-07-01,Promotion,105144,116822
EMP-100035,2026-06-01,Promotion,96944,108569
EMP-100036,2026-01-01,Promotion,70583,77398
EMP-100037,2026-04-01,Market Adj,86151,95993
EMP-100038,2026-02-01,Promotion,81428,88818
EMP-100039,2026-03-01,Merit,60282,67216
EMP-100040,2026-07-01,Promotion,136587,150744
EMP-100041,2026-02-01,Merit,97937,102144
EMP-100042,2026-04-01,Market Adj,58210,62595
EMP-100043,2026-07-01,Market Adj,78082,83283
EMP-100044,2026-01-01,Market Adj,76710,85675
EMP-100045,2026-03-01,Market Adj,57504,60049
EMP-100046,2026-07-01,Market Adj,57890,59687
EMP-100047,2026-06-01,Merit,65378,68113
EMP-100048,2026-05-01,Market Adj,83928,91869
EMP-100049,2026-06-01,Promotion,109413,118765
EMP-100050,2026-03-01,Market Adj,109626,122549
EMP-100051,2026-05-01,Market Adj,82732,91217
EMP-100052,2026-07-01,Market Adj,87301,96662
EMP-100053,2026-05-01,Promotion,71439,75019
EMP-100054,2026-03-01,Market Adj,71613,77470
EMP-100055,2026-07-01,Merit,127799,131480
EMP-100056,2026-05-01,Promotion,93780,102989
EMP-100057,2026-01-01,Market Adj,73507,78697
EMP-100058,2026-04-01,Market Adj,71489,78819
EMP-100059,2026-04-01,Merit,86120,94661
EMP-100060,2026-07-01,Merit,52595,57260
EMP-100061,2026-01-01,Merit,63423,66788
EMP-100062,2026-03-01,Promotion,55684,58276
EMP-100063,2026-07-01,Merit,86296,90999
EMP-100064,2026-06-01,Promotion,117202,123852
EMP-100065,2026-07-01,Merit,96167,102590
EMP-100066,2026-02-01,Market Adj,80800,83958
EMP-100067,2026-05-01,Market Adj,94189,104411
EMP-100068,2026-02-01,Promotion,65543,68214
EMP-100069,2026-05-01,Promotion,69114,73107
EMP-100070,2026-02-01,Promotion,138221,152184
EMP-100071,2026-02-01,Market Adj,103597,107834
EMP-100072,2026-04-01,Merit,65839,69717
EMP-100073,2026-02-01,Market Adj,86231,95699
EMP-100074,2026-02-01,Merit,84691,94417
EMP-100075,2026-02-01,Promotion,49045,53863
EMP-100076,2026-07-01,Merit,55603,59927
EMP-100077,2026-03-01,Merit,64655,70213
EMP-100078,2026-01-01,Merit,95240,103362
EMP-100079,2026-04-01,Market Adj,98203,103047
EMP-100080,2026-06-01,Merit,111839,121522
EMP-100081,2026-04-01,Promotion,75181,83560
EMP-100082,2026-05-01,Merit,78913,86451
EMP-100083,2026-01-01,Merit,78944,82366
EMP-100084,2026-06-01,Merit,68026,72699
EMP-100085,2026-06-01,Market Adj,122910,134070
EMP-100086,2026-06-01,Merit,104477,110014
EMP-100087,2026-01-01,Market Adj,69533,72967
EMP-100088,2026-03-01,Market Adj,74111,82302
EMP-100089,2026-07-01,Market Adj,89355,92987
EMP-100090,2026-07-01,Merit,54922,59272
EMP-100091,2026-04-01,Promotion,55673,57637
EMP-100092,2026-01-01,Market Adj,62045,65032
EMP-100093,2026-01-01,Merit,108318,113984
EMP-100094,2026-02-01,Merit,107864,112122
EMP-100095,2026-03-01,Merit,91207,97009
EMP-100096,2026-01-01,Promotion,77485,83107
EMP-100097,2026-04-01,Market Adj,89205,96802
EMP-100098,2026-06-01,Promotion,77135,85827
EMP-100099,2026-05-01,Promotion,76922,81676
EMP-100100,2026-02-01,Market Adj,139947,144208
EMP-100101,2026-04-01,Promotion,106179,117998
EMP-100102,2026-02-01,Merit,65138,67794
EMP-100103,2026-05-01,Market Adj,73940,80138
EMP-100104,2026-03-01,Market Adj,81810,89455
EMP-100105,2026-01-01,Merit,61101,67307
EMP-100106,2026-04-01,Market Adj,63095,68494
EMP-100107,2026-03-01,Merit,58366,60704
