RequisitionID,DeptID,JobClass,SiteID,OpenedDate,DaysOpen,Status
REQ-0001,DEPT-10,Buyer,SITE-01,2026-03-06,126,Open
REQ-0002,DEPT-05,CNC Machinist,SITE-03,2026-02-19,18,Filled
REQ-0003,DEPT-07,Design Engineer,SITE-01,2026-02-04,6,Open
REQ-0004,DEPT-08,Design Engineer,SITE-02,2026-05-15,43,Open
REQ-0005,DEPT-07,Quality Inspector,SITE-03,2026-06-21,89,On Hold
REQ-0006,DEPT-06,CNC Machinist,SITE-01,2026-05-01,56,Filled
REQ-0007,DEPT-10,Design Engineer,SITE-04,2026-02-27,35,Open
REQ-0008,DEPT-02,CNC Machinist,SITE-01,2026-03-02,83,Open
REQ-0009,DEPT-01,Buyer,SITE-03,2026-04-09,36,Open
REQ-0010,DEPT-01,CNC Machinist,SITE-04,2026-01-21,117,Open
REQ-0011,DEPT-08,CNC Machinist,SITE-03,2026-03-13,61,Filled
REQ-0012,DEPT-10,Buyer,SITE-01,2026-06-13,88,Open
REQ-0013,DEPT-03,Design Engineer,SITE-04,2026-06-17,26,On Hold
REQ-0014,DEPT-10,Quality Inspector,SITE-02,2026-05-09,138,Open
REQ-0015,DEPT-08,Quality Inspector,SITE-03,2026-02-27,36,Open
REQ-0016,DEPT-03,Quality Inspector,SITE-01,2026-05-20,43,Open
REQ-0017,DEPT-02,Quality Inspector,SITE-01,2026-07-21,125,Filled
REQ-0018,DEPT-02,Buyer,SITE-01,2026-03-14,136,On Hold
REQ-0019,DEPT-06,CNC Machinist,SITE-03,2026-03-15,113,On Hold
REQ-0020,DEPT-09,Buyer,SITE-01,2026-04-24,90,On Hold
REQ-0021,DEPT-04,CNC Machinist,SITE-02,2026-07-07,84,Open
REQ-0022,DEPT-08,Quality Inspector,SITE-02,2026-04-21,25,On Hold
REQ-0023,DEPT-09,Design Engineer,SITE-03,2026-02-10,102,Open
REQ-0024,DEPT-07,CNC Machinist,SITE-04,2026-06-03,6,On Hold
REQ-0025,DEPT-06,CNC Machinist,SITE-02,2026-05-03,5,Open
REQ-0026,DEPT-03,CNC Machinist,SITE-02,2026-04-18,25,Open
REQ-0027,DEPT-04,CNC Machinist,SITE-03,2026-06-01,7,Filled
REQ-0028,DEPT-03,CNC Machinist,SITE-02,2026-01-18,107,Open
REQ-0029,DEPT-10,Quality Inspector,SITE-02,2026-06-25,136,Open
REQ-0030,DEPT-01,Quality Inspector,SITE-02,2026-04-08,101,On Hold
REQ-0031,DEPT-07,CNC Machinist,SITE-02,2026-04-05,125,Open
REQ-0032,DEPT-11,Buyer,SITE-02,2026-06-26,101,Open
REQ-0033,DEPT-04,CNC Machinist,SITE-01,2026-01-27,69,Open
REQ-0034,DEPT-07,Quality Inspector,SITE-04,2026-07-18,43,Open
REQ-0035,DEPT-03,Design Engineer,SITE-04,2026-04-05,23,Filled
REQ-0036,DEPT-05,CNC Machinist,SITE-01,2026-01-26,49,Open
REQ-0037,DEPT-11,Buyer,SITE-02,2026-03-09,30,On Hold
REQ-0038,DEPT-09,Design Engineer,SITE-01,2026-06-15,64,Open
REQ-0039,DEPT-11,Design Engineer,SITE-01,2026-04-23,39,Filled
REQ-0040,DEPT-08,Buyer,SITE-04,2026-02-23,112,On Hold
REQ-0041,DEPT-02,Design Engineer,SITE-02,2026-06-11,39,Open
