EmployeeID,ReviewCycle,Rating,PromotionReady,ReviewerID
EMP-100000,2026,3,N,
EMP-100001,2026,3,N,
EMP-100002,2026,3,N,
EMP-100003,2026,3,N,
EMP-100004,2026,4,Y,EMP-100003
EMP-100005,2026,3,N,EMP-100003
EMP-100006,2026,3,N,
EMP-100007,2026,2,Y,EMP-100003
EMP-100008,2026,3,N,EMP-100003
EMP-100009,2026,3,N,EMP-100003
EMP-100010,2026,4,Y,EMP-100003
EMP-100011,2026,5,N,EMP-100010
EMP-100012,2026,5,N,
EMP-100013,2026,2,Y,EMP-100003
EMP-100014,2026,3,N,EMP-100003
EMP-100015,2026,3,N,EMP-100003
EMP-100016,2026,2,N,
EMP-100017,2026,3,N,EMP-100010
EMP-100018,2026,4,N,EMP-100003
EMP-100019,2026,2,N,EMP-100018
EMP-100020,2026,2,N,
EMP-100021,2026,3,N,EMP-100003
EMP-100022,2026,3,N,EMP-100018
EMP-100023,2026,3,N,EMP-100010
EMP-100024,2026,2,N,EMP-100003
EMP-100025,2026,4,N,EMP-100018
EMP-100026,2026,4,N,EMP-100010
EMP-100027,2026,4,Y,EMP-100003
EMP-100028,2026,3,N,EMP-100025
EMP-100029,2026,3,N,
EMP-100030,2026,5,Y,EMP-100025
EMP-100031,2026,2,N,EMP-100018
EMP-100032,2026,3,Y,EMP-100003
EMP-100033,2026,3,N,EMP-100025
EMP-100034,2026,3,Y,EMP-100003
EMP-100035,2026,5,Y,EMP-100003
EMP-100036,2026,2,N,EMP-100003
EMP-100037,2026,2,N,EMP-100025
EMP-100038,2026,5,N,EMP-100033
EMP-100039,2026,4,N,EMP-100003
EMP-100040,2026,5,N,EMP-100025
EMP-100041,2026,2,N,EMP-100018
EMP-100042,2026,3,N,EMP-100040
EMP-100043,2026,4,Y,EMP-100033
EMP-100044,2026,3,Y,
EMP-100045,2026,4,N,EMP-100033
EMP-100046,2026,4,N,EMP-100040
EMP-100047,2026,3,N,EMP-100010
EMP-100048,2026,2,Y,EMP-100010
EMP-100049,2026,3,Y,EMP-100048
EMP-100050,2026,3,N,EMP-100048
EMP-100051,2026,5,N,EMP-100025
EMP-100052,2026,4,N,EMP-100040
EMP-100053,2026,4,Y,EMP-100003
EMP-100054,2026,3,Y,EMP-100018
EMP-100055,2026,2,N,EMP-100025
EMP-100056,2026,4,Y,EMP-100048
EMP-100057,2026,3,N,EMP-100018
EMP-100058,2026,3,N,EMP-100010
EMP-100059,2026,4,N,EMP-100018
EMP-100060,2026,5,N,EMP-100040
EMP-100061,2026,4,N,EMP-100018
EMP-100062,2026,3,N,EMP-100055
EMP-100063,2026,4,N,EMP-100010
EMP-100064,2026,3,Y,EMP-100010
EMP-100065,2026,3,Y,EMP-100063
EMP-100066,2026,2,N,EMP-100018
EMP-100067,2026,3,N,EMP-100025
EMP-100068,2026,4,N,EMP-100063
EMP-100069,2026,5,N,EMP-100055
EMP-100070,2026,4,N,EMP-100040
EMP-100071,2026,3,N,EMP-100063
EMP-100072,2026,3,N,EMP-100010
EMP-100073,2026,3,Y,EMP-100040
EMP-100074,2026,2,Y,EMP-100033
EMP-100075,2026,3,N,
EMP-100076,2026,5,N,EMP-100070
EMP-100077,2026,4,Y,EMP-100025
EMP-100078,2026,3,Y,
EMP-100079,2026,4,Y,EMP-100003
EMP-100080,2026,5,Y,EMP-100040
EMP-100081,2026,4,N,EMP-100040
EMP-100082,2026,3,N,EMP-100025
EMP-100083,2026,3,N,EMP-100018
EMP-100084,2026,4,N,EMP-100063
EMP-100085,2026,4,N,EMP-100025
EMP-100086,2026,3,N,EMP-100078
EMP-100087,2026,4,Y,EMP-100033
EMP-100088,2026,3,Y,EMP-100025
EMP-100089,2026,2,N,EMP-100033
EMP-100090,2026,4,N,EMP-100040
EMP-100091,2026,3,Y,EMP-100003
EMP-100092,2026,4,N,EMP-100018
EMP-100093,2026,4,N,EMP-100048
EMP-100094,2026,3,N,EMP-100063
EMP-100095,2026,3,N,EMP-100078
EMP-100096,2026,4,Y,EMP-100085
EMP-100097,2026,5,N,EMP-100093
EMP-100098,2026,3,N,EMP-100078
EMP-100099,2026,3,N,EMP-100070
EMP-100100,2026,4,Y,EMP-100048
EMP-100101,2026,3,N,EMP-100100
EMP-100102,2026,4,Y,EMP-100078
EMP-100103,2026,4,N,EMP-100063
EMP-100104,2026,2,N,EMP-100070
EMP-100105,2026,4,Y,
EMP-100106,2026,4,N,EMP-100040
EMP-100107,2026,4,N,EMP-100063
EMP-100108,2026,3,Y,EMP-100033
EMP-100109,2026,4,Y,EMP-100025
EMP-100110,2026,3,N,EMP-100070
EMP-100111,2026,3,N,EMP-100078
EMP-100112,2026,3,Y,EMP-100093
EMP-100113,2026,4,N,EMP-100055
EMP-100114,2026,4,N,EMP-100093
EMP-100115,2026,4,N,EMP-100003
EMP-100116,2026,3,N,
EMP-100117,2026,5,N,
EMP-100118,2026,4,Y,EMP-100078
EMP-100119,2026,3,Y,
EMP-100120,2026,3,N,EMP-100108
EMP-100121,2026,3,N,EMP-100048
EMP-100122,2026,4,N,EMP-100018
EMP-100123,2026,3,N,
EMP-100124,2026,3,N,
EMP-100125,2026,3,Y,EMP-100055
EMP-100126,2026,3,Y,EMP-100070
EMP-100127,2026,5,Y,EMP-100033
EMP-100128,2026,3,N,EMP-100115
EMP-100129,2026,3,N,EMP-100018
EMP-100130,2026,2,Y,EMP-100123
EMP-100131,2026,4,N,EMP-100025
EMP-100132,2026,4,N,EMP-100033
EMP-100133,2026,4,Y,EMP-100070
EMP-100134,2026,3,N,EMP-100085
EMP-100135,2026,2,Y,EMP-100070
EMP-100136,2026,2,Y,EMP-100100
EMP-100137,2026,3,Y,EMP-100018
EMP-100138,2026,4,N,EMP-100040
EMP-100139,2026,4,N,EMP-100003
EMP-100140,2026,4,N,EMP-100093
EMP-100141,2026,4,Y,EMP-100025
EMP-100142,2026,2,N,EMP-100003
EMP-100143,2026,3,Y,EMP-100055
EMP-100144,2026,4,N,EMP-100010
EMP-100145,2026,2,N,EMP-100138
EMP-100146,2026,3,N,EMP-100123
EMP-100147,2026,3,Y,EMP-100040
EMP-100148,2026,4,N,EMP-100123
EMP-100149,2026,3,Y,EMP-100130
EMP-100150,2026,4,N,EMP-100108
EMP-100151,2026,5,Y,EMP-100055
EMP-100152,2026,4,Y,EMP-100018
EMP-100153,2026,3,Y,EMP-100145
EMP-100154,2026,5,N,EMP-100130
EMP-100155,2026,3,N,EMP-100048
EMP-100156,2026,4,N,EMP-100145
EMP-100157,2026,4,N,EMP-100108
EMP-100158,2026,2,N,EMP-100108
EMP-100159,2026,4,N,
EMP-100160,2026,3,N,EMP-100003
EMP-100161,2026,3,Y,EMP-100078
EMP-100162,2026,3,N,
EMP-100163,2026,3,Y,EMP-100040
EMP-100164,2026,3,Y,EMP-100130
EMP-100165,2026,3,N,EMP-100160
EMP-100166,2026,3,Y,EMP-100033
EMP-100167,2026,2,Y,EMP-100130
EMP-100168,2026,3,Y,EMP-100070
EMP-100169,2026,4,Y,
EMP-100170,2026,3,N,EMP-100063
EMP-100171,2026,4,N,EMP-100138
EMP-100172,2026,3,N,EMP-100153
EMP-100173,2026,3,Y,EMP-100115
EMP-100174,2026,5,N,EMP-100078
EMP-100175,2026,4,Y,EMP-100168
EMP-100176,2026,4,N,EMP-100063
EMP-100177,2026,3,Y,EMP-100003
EMP-100178,2026,3,N,EMP-100018
EMP-100179,2026,3,Y,EMP-100130
EMP-100180,2026,3,N,EMP-100018
EMP-100181,2026,4,N,EMP-100078
EMP-100182,2026,3,N,EMP-100153
EMP-100183,2026,4,N,
EMP-100184,2026,3,N,EMP-100070
EMP-100185,2026,2,N,EMP-100153
EMP-100186,2026,4,N,
EMP-100187,2026,4,N,EMP-100108
EMP-100188,2026,3,N,EMP-100145
EMP-100189,2026,4,N,EMP-100018
EMP-100190,2026,4,Y,EMP-100040
EMP-100191,2026,3,N,EMP-100063
EMP-100192,2026,4,Y,EMP-100153
EMP-100193,2026,4,Y,EMP-100093
EMP-100194,2026,2,N,EMP-100100
EMP-100195,2026,3,N,EMP-100168
EMP-100196,2026,3,N,EMP-100168
EMP-100197,2026,2,Y,EMP-100093
EMP-100198,2026,5,Y,EMP-100183
EMP-100199,2026,3,N,EMP-100198
EMP-100200,2026,5,N,EMP-100055
EMP-100201,2026,3,Y,EMP-100145
EMP-100202,2026,5,N,EMP-100100
EMP-100203,2026,5,N,EMP-100153
EMP-100204,2026,3,N,EMP-100145
EMP-100205,2026,2,N,EMP-100190
EMP-100206,2026,3,N,EMP-100130
EMP-100207,2026,3,N,EMP-100160
EMP-100208,2026,2,N,EMP-100070
EMP-100209,2026,3,Y,EMP-100070
EMP-100210,2026,2,N,EMP-100108
EMP-100211,2026,4,N,EMP-100025
EMP-100212,2026,3,N,EMP-100175
EMP-100213,2026,4,N,EMP-100108
EMP-100214,2026,4,N,EMP-100093
EMP-100215,2026,2,N,EMP-100168
EMP-100216,2026,4,Y,EMP-100190
