EmployeeID,SiteID,Week,ExceptionType,Hours
EMP-100541,SITE-02,2026-06-22,Missing Punch,9.2
EMP-100714,SITE-03,2026-06-15,Overtime,11.9
EMP-100781,SITE-02,2026-06-01,Unapproved Absence,8.3
EMP-100164,SITE-01,2026-06-22,Missing Punch,9.1
EMP-100389,SITE-02,2026-06-08,Overtime,8.3
EMP-100767,SITE-04,2026-06-08,Overtime,1.5
EMP-100502,SITE-03,2026-06-08,Unapproved Absence,8.3
EMP-100632,SITE-01,2026-06-22,Unapproved Absence,10.7
EMP-100392,SITE-01,2026-06-01,Missing Punch,2.9
EMP-100677,SITE-02,2026-06-01,Unapproved Absence,5.5
EMP-100575,SITE-04,2026-06-01,Unapproved Absence,9.7
EMP-100217,SITE-02,2026-06-22,Missing Punch,10.4
EMP-100733,SITE-02,2026-06-01,Missing Punch,1.9
EMP-100106,SITE-03,2026-06-22,Overtime,5.2
EMP-100661,SITE-02,2026-06-15,Overtime,4.5
EMP-100256,SITE-01,2026-06-01,Overtime,11.3
EMP-100000,SITE-01,2026-06-15,Missing Punch,4.0
EMP-100647,SITE-04,2026-06-01,Missing Punch,6.0
EMP-100500,SITE-01,2026-06-15,Unapproved Absence,6.4
EMP-100011,SITE-04,2026-06-15,Overtime,6.3
EMP-100727,SITE-04,2026-06-22,Unapproved Absence,8.0
EMP-100382,SITE-03,2026-06-22,Missing Punch,5.5
EMP-100411,SITE-04,2026-06-08,Unapproved Absence,10.8
EMP-100352,SITE-01,2026-06-01,Overtime,5.7
EMP-100461,SITE-02,2026-06-01,Missing Punch,2.6
EMP-100561,SITE-02,2026-06-01,Missing Punch,2.1
EMP-100254,SITE-03,2026-06-22,Overtime,2.2
EMP-100558,SITE-03,2026-06-22,Missing Punch,2.0
EMP-100103,SITE-04,2026-06-08,Overtime,7.6
EMP-100023,SITE-04,2026-06-15,Overtime,1.8
EMP-100569,SITE-02,2026-06-01,Missing Punch,5.0
EMP-100105,SITE-02,2026-06-08,Unapproved Absence,11.7
EMP-100663,SITE-04,2026-06-01,Missing Punch,5.9
EMP-100296,SITE-01,2026-06-01,Missing Punch,3.6
EMP-100170,SITE-03,2026-06-22,Overtime,6.7
EMP-100373,SITE-02,2026-06-22,Missing Punch,10.9
EMP-100288,SITE-01,2026-06-22,Unapproved Absence,4.3
EMP-100598,SITE-03,2026-06-15,Unapproved Absence,8.0
EMP-100730,SITE-03,2026-06-22,Overtime,1.0
EMP-100284,SITE-01,2026-06-15,Missing Punch,3.1
EMP-100391,SITE-04,2026-06-08,Overtime,7.0
EMP-100103,SITE-04,2026-06-01,Unapproved Absence,6.6
EMP-100607,SITE-04,2026-06-01,Missing Punch,5.9
EMP-100804,SITE-01,2026-06-08,Overtime,0.5
EMP-100688,SITE-01,2026-06-01,Overtime,9.3
EMP-100118,SITE-03,2026-06-08,Overtime,2.8
EMP-100052,SITE-01,2026-06-08,Unapproved Absence,6.8
EMP-100304,SITE-01,2026-06-22,Missing Punch,10.3
EMP-100133,SITE-02,2026-06-01,Overtime,11.3
EMP-100103,SITE-04,2026-06-01,Overtime,7.2
EMP-100817,SITE-02,2026-06-01,Overtime,9.5
EMP-100306,SITE-03,2026-06-08,Overtime,1.8
EMP-100244,SITE-01,2026-06-15,Unapproved Absence,4.0
EMP-100696,SITE-01,2026-06-15,Unapproved Absence,2.3
EMP-100747,SITE-04,2026-06-08,Overtime,7.3
EMP-100198,SITE-03,2026-06-01,Missing Punch,9.9
EMP-100295,SITE-04,2026-06-01,Unapproved Absence,4.7
