EmployeeID,Course,CompletedDate,Status
EMP-100000,Safety Orientation,2026-03-08,Complete
EMP-100000,Quality Basics,2026-04-06,Complete
EMP-100000,Ethics,2026-03-19,Overdue
EMP-100001,Safety Orientation,2026-03-23,Overdue
EMP-100001,Quality Basics,2026-01-15,Overdue
EMP-100001,Ethics,2026-03-17,Complete
EMP-100002,Safety Orientation,2026-01-27,Complete
EMP-100002,Quality Basics,2026-04-01,Complete
EMP-100002,Ethics,2026-06-27,Overdue
EMP-100003,Safety Orientation,2026-01-16,Complete
EMP-100003,Quality Basics,2026-05-19,Overdue
EMP-100003,Ethics,2026-02-12,Complete
EMP-100004,Safety Orientation,2026-06-04,Complete
EMP-100004,Quality Basics,2026-01-10,Overdue
EMP-100004,Ethics,2026-05-05,Overdue
EMP-100005,Safety Orientation,2026-01-22,Overdue
EMP-100005,Quality Basics,2026-01-02,Complete
EMP-100005,Ethics,2026-05-16,Complete
EMP-100006,Safety Orientation,2026-03-08,Overdue
EMP-100006,Quality Basics,2026-06-10,Overdue
EMP-100006,Ethics,2026-02-27,Complete
EMP-100007,Safety Orientation,2026-03-15,Complete
EMP-100007,Quality Basics,2026-06-28,Overdue
EMP-100007,Ethics,2026-03-19,Complete
EMP-100008,Safety Orientation,2026-03-15,Complete
EMP-100008,Quality Basics,2026-01-11,Complete
EMP-100008,Ethics,2026-04-01,Complete
EMP-100009,Safety Orientation,2026-01-05,Complete
EMP-100009,Quality Basics,2026-03-02,Overdue
EMP-100009,Ethics,2026-02-12,Complete
EMP-100010,Safety Orientation,2026-01-17,Complete
EMP-100010,Quality Basics,2026-04-05,Complete
EMP-100010,Ethics,2026-04-18,Complete
EMP-100011,Safety Orientation,2026-06-10,Complete
EMP-100011,Quality Basics,2026-06-27,Overdue
EMP-100011,Ethics,2026-05-03,Complete
EMP-100012,Safety Orientation,2026-02-07,Overdue
EMP-100012,Quality Basics,2026-01-01,Complete
EMP-100012,Ethics,2026-03-23,Complete
EMP-100013,Safety Orientation,2026-03-24,Complete
EMP-100013,Quality Basics,2026-05-03,Complete
EMP-100013,Ethics,2026-02-10,Overdue
EMP-100014,Safety Orientation,2026-06-08,Overdue
EMP-100014,Quality Basics,2026-02-16,Overdue
EMP-100014,Ethics,2026-01-05,Complete
EMP-100015,Safety Orientation,2026-01-21,Complete
EMP-100015,Quality Basics,2026-05-07,Overdue
EMP-100015,Ethics,2026-03-15,Complete
EMP-100016,Safety Orientation,2026-04-25,Overdue
EMP-100016,Quality Basics,2026-04-09,Complete
EMP-100016,Ethics,2026-06-16,Complete
EMP-100017,Safety Orientation,2026-06-16,Complete
EMP-100017,Quality Basics,2026-03-23,Complete
EMP-100017,Ethics,2026-06-07,Complete
EMP-100018,Safety Orientation,2026-01-26,Complete
EMP-100018,Quality Basics,2026-06-24,Complete
EMP-100018,Ethics,2026-05-19,Complete
EMP-100019,Safety Orientation,2026-05-08,Complete
EMP-100019,Quality Basics,2026-04-22,Overdue
EMP-100019,Ethics,2026-05-11,Complete
EMP-100020,Safety Orientation,2026-06-06,Overdue
EMP-100020,Quality Basics,2026-02-06,Complete
EMP-100020,Ethics,2026-03-23,Overdue
EMP-100021,Safety Orientation,2026-06-23,Complete
EMP-100021,Quality Basics,2026-04-06,Complete
EMP-100021,Ethics,2026-06-10,Complete
EMP-100022,Safety Orientation,2026-06-06,Complete
EMP-100022,Quality Basics,2026-04-22,Overdue
EMP-100022,Ethics,2026-05-15,Overdue
EMP-100023,Safety Orientation,2026-01-14,Complete
EMP-100023,Quality Basics,2026-01-12,Complete
EMP-100023,Ethics,2026-03-17,Overdue
EMP-100024,Safety Orientation,2026-06-26,Complete
EMP-100024,Quality Basics,2026-04-22,Overdue
EMP-100024,Ethics,2026-02-16,Complete
EMP-100025,Safety Orientation,2026-04-03,Complete
EMP-100025,Quality Basics,2026-05-15,Complete
EMP-100025,Ethics,2026-04-04,Complete
EMP-100026,Safety Orientation,2026-03-19,Overdue
EMP-100026,Quality Basics,2026-05-25,Complete
EMP-100026,Ethics,2026-05-01,Complete
EMP-100027,Safety Orientation,2026-06-01,Complete
EMP-100027,Quality Basics,2026-06-07,Complete
EMP-100027,Ethics,2026-06-07,Complete
EMP-100028,Safety Orientation,2026-04-17,Complete
EMP-100028,Quality Basics,2026-01-01,Complete
EMP-100028,Ethics,2026-03-26,Complete
EMP-100029,Safety Orientation,2026-02-20,Complete
EMP-100029,Quality Basics,2026-06-03,Complete
EMP-100029,Ethics,2026-06-09,Complete
EMP-100030,Safety Orientation,2026-06-28,Overdue
EMP-100030,Quality Basics,2026-06-18,Complete
EMP-100030,Ethics,2026-04-04,Complete
EMP-100031,Safety Orientation,2026-03-06,Complete
EMP-100031,Quality Basics,2026-05-19,Complete
EMP-100031,Ethics,2026-05-23,Overdue
EMP-100032,Safety Orientation,2026-04-24,Complete
EMP-100032,Quality Basics,2026-02-19,Complete
EMP-100032,Ethics,2026-03-22,Overdue
EMP-100033,Safety Orientation,2026-02-12,Overdue
EMP-100033,Quality Basics,2026-06-14,Complete
EMP-100033,Ethics,2026-01-03,Complete
EMP-100034,Safety Orientation,2026-01-24,Complete
EMP-100034,Quality Basics,2026-05-10,Complete
EMP-100034,Ethics,2026-05-20,Complete
EMP-100035,Safety Orientation,2026-03-05,Overdue
EMP-100035,Quality Basics,2026-03-28,Complete
EMP-100035,Ethics,2026-03-09,Overdue
EMP-100036,Safety Orientation,2026-05-15,Overdue
EMP-100036,Quality Basics,2026-04-25,Complete
EMP-100036,Ethics,2026-05-21,Complete
EMP-100037,Safety Orientation,2026-05-11,Complete
EMP-100037,Quality Basics,2026-01-12,Overdue
EMP-100037,Ethics,2026-06-21,Complete
EMP-100038,Safety Orientation,2026-05-19,Overdue
EMP-100038,Quality Basics,2026-02-22,Overdue
EMP-100038,Ethics,2026-06-19,Complete
EMP-100039,Safety Orientation,2026-05-16,Complete
EMP-100039,Quality Basics,2026-05-22,Complete
EMP-100039,Ethics,2026-04-18,Complete
EMP-100040,Safety Orientation,2026-05-26,Complete
EMP-100040,Quality Basics,2026-03-14,Complete
EMP-100040,Ethics,2026-04-10,Complete
EMP-100041,Safety Orientation,2026-05-04,Complete
EMP-100041,Quality Basics,2026-03-21,Complete
EMP-100041,Ethics,2026-02-24,Complete
EMP-100042,Safety Orientation,2026-06-03,Overdue
EMP-100042,Quality Basics,2026-05-09,Complete
EMP-100042,Ethics,2026-03-28,Complete
EMP-100043,Safety Orientation,2026-02-13,Complete
EMP-100043,Quality Basics,2026-01-14,Overdue
EMP-100043,Ethics,2026-06-10,Overdue
EMP-100044,Safety Orientation,2026-02-25,Complete
EMP-100044,Quality Basics,2026-04-10,Complete
EMP-100044,Ethics,2026-01-03,Complete
EMP-100045,Safety Orientation,2026-03-03,Complete
EMP-100045,Quality Basics,2026-01-14,Overdue
EMP-100045,Ethics,2026-01-02,Complete
EMP-100046,Safety Orientation,2026-02-05,Complete
EMP-100046,Quality Basics,2026-02-03,Complete
EMP-100046,Ethics,2026-06-26,Complete
EMP-100047,Safety Orientation,2026-05-05,Complete
EMP-100047,Quality Basics,2026-05-25,Complete
EMP-100047,Ethics,2026-06-28,Complete
EMP-100048,Safety Orientation,2026-02-21,Overdue
EMP-100048,Quality Basics,2026-06-03,Complete
EMP-100048,Ethics,2026-04-21,Complete
EMP-100049,Safety Orientation,2026-04-16,Complete
EMP-100049,Quality Basics,2026-04-24,Overdue
EMP-100049,Ethics,2026-06-15,Complete
EMP-100050,Safety Orientation,2026-03-15,Overdue
EMP-100050,Quality Basics,2026-02-19,Overdue
EMP-100050,Ethics,2026-01-27,Overdue
EMP-100051,Safety Orientation,2026-02-19,Overdue
EMP-100051,Quality Basics,2026-06-08,Complete
EMP-100051,Ethics,2026-04-09,Complete
EMP-100052,Safety Orientation,2026-03-09,Complete
EMP-100052,Quality Basics,2026-06-06,Complete
EMP-100052,Ethics,2026-02-04,Complete
EMP-100053,Safety Orientation,2026-02-15,Complete
EMP-100053,Quality Basics,2026-04-02,Complete
EMP-100053,Ethics,2026-05-23,Complete
EMP-100054,Safety Orientation,2026-02-03,Complete
EMP-100054,Quality Basics,2026-02-14,Overdue
EMP-100054,Ethics,2026-06-19,Complete
EMP-100055,Safety Orientation,2026-05-21,Complete
EMP-100055,Quality Basics,2026-05-10,Complete
EMP-100055,Ethics,2026-06-28,Complete
EMP-100056,Safety Orientation,2026-04-28,Complete
EMP-100056,Quality Basics,2026-04-07,Overdue
EMP-100056,Ethics,2026-04-13,Complete
EMP-100057,Safety Orientation,2026-05-20,Complete
