AssetID,Type,SiteID,AssignedTo,PurchaseDate,Status
AST-00001,License,SITE-01,EMP-100679,2025-02-01,Retired
AST-00002,Server,SITE-02,EMP-100549,2022-10-01,Active
AST-00003,License,SITE-02,EMP-100378,2026-12-01,Active
AST-00004,Server,SITE-04,EMP-100181,2023-12-01,Active
AST-00005,Mobile,SITE-04,EMP-100708,2023-01-01,Active
AST-00006,Desktop,SITE-04,EMP-100500,2023-08-01,Active
AST-00007,Network,SITE-01,EMP-100284,2023-08-01,Active
AST-00008,Mobile,SITE-04,EMP-100180,2026-02-01,Active
AST-00009,Laptop,SITE-01,EMP-100096,2026-01-01,Retired
AST-00010,Network,SITE-01,EMP-100217,2021-01-01,Active
AST-00011,License,SITE-03,EMP-100234,2026-01-01,Active
AST-00012,Network,SITE-01,EMP-100117,2021-03-01,Active
AST-00013,Laptop,SITE-01,EMP-100557,2026-02-01,Active
AST-00014,Mobile,SITE-04,EMP-100190,2026-08-01,Retired
AST-00015,Network,SITE-01,EMP-100707,2026-05-01,Active
AST-00016,Laptop,SITE-02,EMP-100221,2021-01-01,Active
AST-00017,Server,SITE-04,EMP-100379,2021-12-01,Active
AST-00018,Laptop,SITE-03,EMP-100371,2024-06-01,Retired
AST-00019,Network,SITE-04,EMP-100332,2023-11-01,Active
AST-00020,Mobile,SITE-04,EMP-100460,2022-12-01,Retired
AST-00021,Mobile,SITE-01,EMP-100239,2022-04-01,Active
AST-00022,Laptop,SITE-03,EMP-100372,2023-03-01,Active
AST-00023,Network,SITE-02,EMP-100374,2021-07-01,Active
AST-00024,Laptop,SITE-03,EMP-100783,2021-01-01,Active
AST-00025,Laptop,SITE-04,EMP-100317,2026-11-01,Active
AST-00026,Laptop,SITE-03,EMP-100768,2026-01-01,Retired
AST-00027,Server,SITE-04,EMP-100124,2022-10-01,Retired
AST-00028,License,SITE-01,EMP-100709,2024-10-01,Active
AST-00029,Network,SITE-03,EMP-100098,2021-09-01,Active
AST-00030,License,SITE-04,EMP-100334,2026-03-01,Active
AST-00031,Mobile,SITE-01,EMP-100497,2026-04-01,Active
AST-00032,Laptop,SITE-02,EMP-100302,2024-06-01,Active
AST-00033,Server,SITE-01,EMP-100138,2024-02-01,Active
AST-00034,Laptop,SITE-01,EMP-100150,2025-09-01,Active
AST-00035,Mobile,SITE-04,EMP-100817,2022-07-01,Active
AST-00036,Mobile,SITE-03,EMP-100726,2025-12-01,Active
AST-00037,Desktop,SITE-03,EMP-100248,2022-06-01,Retired
AST-00038,Laptop,SITE-02,EMP-100228,2022-09-01,Active
AST-00039,Desktop,SITE-01,EMP-100659,2022-09-01,Active
AST-00040,Desktop,SITE-03,EMP-100018,2021-05-01,Active
AST-00041,Mobile,SITE-01,EMP-100496,2023-09-01,Active
AST-00042,Server,SITE-01,EMP-100299,2021-02-01,Active
AST-00043,License,SITE-03,EMP-100092,2025-09-01,Active
AST-00044,Laptop,SITE-01,EMP-100441,2024-02-01,Active
