JobID,System,Date,Result,DurationMin
BAK-0001,ERP,2026-06-10,Failed,81
BAK-0002,ERP,2026-06-21,Success,139
BAK-0003,ERP,2026-06-13,Success,29
BAK-0004,PLM,2026-06-19,Success,108
BAK-0005,MES,2026-06-13,Success,28
BAK-0006,MES,2026-06-25,Success,137
BAK-0007,PLM,2026-06-28,Success,214
BAK-0008,ERP,2026-06-14,Failed,157
BAK-0009,ERP,2026-06-27,Success,70
BAK-0010,MES,2026-06-11,Success,62
BAK-0011,MES,2026-06-11,Success,61
BAK-0012,FileServer,2026-06-26,Success,183
BAK-0013,MES,2026-06-01,Failed,85
BAK-0014,MES,2026-06-18,Success,139
BAK-0015,MES,2026-06-01,Success,202
BAK-0016,ERP,2026-06-16,Failed,183
BAK-0017,ERP,2026-06-21,Success,143
BAK-0018,PLM,2026-06-26,Success,39
BAK-0019,MES,2026-06-23,Success,139
BAK-0020,FileServer,2026-06-26,Success,220
BAK-0021,PLM,2026-06-15,Success,139
BAK-0022,MES,2026-06-28,Success,222
BAK-0023,ERP,2026-06-02,Failed,120
BAK-0024,ERP,2026-06-11,Success,138
BAK-0025,ERP,2026-06-24,Success,208
BAK-0026,ERP,2026-06-04,Success,199
BAK-0027,MES,2026-06-09,Success,100
BAK-0028,PLM,2026-06-17,Success,180
BAK-0029,FileServer,2026-06-08,Success,218
BAK-0030,PLM,2026-06-07,Failed,151
BAK-0031,ERP,2026-06-18,Success,25
BAK-0032,FileServer,2026-06-09,Success,162
BAK-0033,ERP,2026-06-03,Success,200
BAK-0034,ERP,2026-06-13,Success,74
BAK-0035,FileServer,2026-06-13,Success,197
BAK-0036,PLM,2026-06-06,Success,55
BAK-0037,MES,2026-06-13,Success,85
BAK-0038,ERP,2026-06-04,Success,212
BAK-0039,PLM,2026-06-08,Success,84
BAK-0040,PLM,2026-06-06,Success,156
