IncidentID,OpenedDate,Category,Priority,SiteID,ResolutionHours,Status
INC-00001,2026-05-14,Network,P3,SITE-01,18.9,Resolved
INC-00002,2026-01-11,Application,P3,SITE-03,68.2,Resolved
INC-00003,2026-03-22,Application,P1,SITE-03,54.5,Resolved
INC-00004,2026-03-20,Security,P1,SITE-04,58.8,Open
INC-00005,2026-05-14,Application,P3,SITE-04,50.4,Resolved
INC-00006,2026-05-15,Network,P4,SITE-03,39.4,Resolved
INC-00007,2026-05-17,Hardware,P1,SITE-03,4.5,Resolved
INC-00008,2026-03-24,Security,P4,SITE-02,22.0,Open
INC-00009,2026-05-04,Network,P3,SITE-01,40.4,Resolved
INC-00010,2026-02-08,Application,P1,SITE-04,32.3,Open
INC-00011,2026-01-05,Network,P1,SITE-01,10.3,Resolved
INC-00012,2026-01-10,Security,P4,SITE-02,11.2,Open
INC-00013,2026-02-19,Network,P4,SITE-04,50.1,Resolved
INC-00014,2026-05-20,Network,P4,SITE-04,64.7,Resolved
INC-00015,2026-04-16,Hardware,P1,SITE-04,25.8,Open
INC-00016,2026-06-01,Application,P4,SITE-01,24.4,Resolved
INC-00017,2026-05-13,Network,P4,SITE-02,20.8,Resolved
INC-00018,2026-04-12,Access,P1,SITE-02,16.8,Resolved
INC-00019,2026-02-22,Access,P2,SITE-04,26.9,Open
INC-00020,2026-04-02,Hardware,P3,SITE-02,17.1,Resolved
INC-00021,2026-02-15,Network,P4,SITE-01,71.9,Resolved
INC-00022,2026-05-17,Application,P2,SITE-03,3.2,Resolved
INC-00023,2026-03-28,Application,P3,SITE-02,39.0,Open
INC-00024,2026-03-11,Hardware,P3,SITE-01,58.9,Open
INC-00025,2026-05-28,Security,P2,SITE-01,48.2,Resolved
INC-00026,2026-02-05,Hardware,P3,SITE-04,28.5,Resolved
INC-00027,2026-04-06,Security,P4,SITE-02,69.8,Resolved
INC-00028,2026-04-06,Network,P3,SITE-02,35.1,Resolved
INC-00029,2026-01-11,Access,P4,SITE-03,5.6,Resolved
INC-00030,2026-01-18,Access,P2,SITE-01,67.2,Open
INC-00031,2026-03-05,Hardware,P1,SITE-02,36.9,Resolved
INC-00032,2026-01-27,Network,P3,SITE-03,44.6,Resolved
INC-00033,2026-06-02,Network,P1,SITE-03,27.6,Resolved
INC-00034,2026-02-14,Network,P1,SITE-04,17.4,Resolved
INC-00035,2026-03-09,Access,P4,SITE-02,8.8,Resolved
INC-00036,2026-03-12,Network,P2,SITE-01,10.2,Resolved
INC-00037,2026-06-01,Access,P3,SITE-03,26.4,Resolved
INC-00038,2026-02-13,Security,P4,SITE-02,69.2,Open
INC-00039,2026-06-18,Hardware,P3,SITE-04,67.9,Resolved
INC-00040,2026-05-28,Security,P3,SITE-03,24.7,Resolved
INC-00041,2026-06-20,Security,P3,SITE-04,54.1,Open
