Month,System,UptimePct,IncidentCount
2024-08-01,ERP,99.66,0
2024-08-01,MES,99.66,5
2024-08-01,PLM,98.89,0
2024-08-01,Email,99.81,3
2024-08-01,Network,99.17,3
2024-09-01,ERP,99.0,1
2024-09-01,MES,99.4,3
2024-09-01,PLM,98.8,2
2024-09-01,Email,99.43,3
2024-09-01,Network,98.7,2
2024-10-01,ERP,99.37,4
2024-10-01,MES,98.76,2
2024-10-01,PLM,98.86,4
2024-10-01,Email,99.24,1
2024-10-01,Network,98.53,4
2024-11-01,ERP,99.36,6
2024-11-01,MES,99.49,5
2024-11-01,PLM,99.69,2
2024-11-01,Email,99.63,0
2024-11-01,Network,99.32,5
2024-12-01,ERP,98.95,5
2024-12-01,MES,98.69,0
2024-12-01,PLM,98.67,6
2024-12-01,Email,99.04,3
2024-12-01,Network,98.73,4
2025-01-01,ERP,99.84,1
2025-01-01,MES,99.35,6
2025-01-01,PLM,99.95,1
2025-01-01,Email,99.98,0
2025-01-01,Network,99.95,3
2025-02-01,ERP,98.71,3
2025-02-01,MES,99.83,2
2025-02-01,PLM,99.86,2
2025-02-01,Email,98.56,4
2025-02-01,Network,99.32,4
2025-03-01,ERP,99.88,2
2025-03-01,MES,99.7,1
2025-03-01,PLM,99.18,2
2025-03-01,Email,98.99,1
2025-03-01,Network,98.72,3
2025-04-01,ERP,98.74,6
2025-04-01,MES,99.49,6
2025-04-01,PLM,98.5,2
2025-04-01,Email,99.88,4
2025-04-01,Network,99.02,5
2025-05-01,ERP,99.27,2
2025-05-01,MES,98.79,4
2025-05-01,PLM,99.52,1
2025-05-01,Email,99.36,1
2025-05-01,Network,98.68,1
2025-06-01,ERP,99.79,0
2025-06-01,MES,99.6,2
2025-06-01,PLM,99.37,6
2025-06-01,Email,98.67,6
2025-06-01,Network,99.1,2
2025-07-01,ERP,99.15,6
2025-07-01,MES,99.04,1
2025-07-01,PLM,99.71,2
2025-07-01,Email,99.59,4
2025-07-01,Network,98.92,6
2025-08-01,ERP,98.6,1
2025-08-01,MES,99.6,6
2025-08-01,PLM,99.15,1
2025-08-01,Email,99.5,2
2025-08-01,Network,99.28,5
2025-09-01,ERP,98.69,0
2025-09-01,MES,99.85,2
2025-09-01,PLM,99.24,1
2025-09-01,Email,98.7,4
2025-09-01,Network,99.58,5
2025-10-01,ERP,99.9,4
2025-10-01,MES,99.32,6
2025-10-01,PLM,99.89,4
2025-10-01,Email,99.79,5
2025-10-01,Network,98.78,2
2025-11-01,ERP,98.68,1
2025-11-01,MES,99.43,1
2025-11-01,PLM,98.58,2
2025-11-01,Email,99.91,0
2025-11-01,Network,99.12,0
2025-12-01,ERP,99.63,3
2025-12-01,MES,99.47,6
2025-12-01,PLM,98.57,5
2025-12-01,Email,99.91,5
2025-12-01,Network,99.22,2
2026-01-01,ERP,99.41,5
2026-01-01,MES,99.63,3
2026-01-01,PLM,98.57,3
2026-01-01,Email,98.9,3
2026-01-01,Network,99.94,0
2026-02-01,ERP,99.38,6
2026-02-01,MES,98.53,3
2026-02-01,PLM,99.32,2
2026-02-01,Email,98.78,2
2026-02-01,Network,99.92,6
2026-03-01,ERP,99.9,6
2026-03-01,MES,99.07,5
2026-03-01,PLM,99.93,1
2026-03-01,Email,99.8,2
2026-03-01,Network,98.58,6
2026-04-01,ERP,99.68,4
2026-04-01,MES,99.61,3
2026-04-01,PLM,99.94,1
2026-04-01,Email,99.85,1
2026-04-01,Network,99.48,3
2026-05-01,ERP,99.09,3
2026-05-01,MES,99.44,5
2026-05-01,PLM,99.87,4
2026-05-01,Email,99.26,1
2026-05-01,Network,99.73,5
2026-06-01,ERP,99.8,3
2026-06-01,MES,99.97,1
2026-06-01,PLM,99.32,6
2026-06-01,Email,98.66,6
2026-06-01,Network,99.16,1
2026-07-01,ERP,99.6,1
2026-07-01,MES,99.57,6
2026-07-01,PLM,99.68,4
2026-07-01,Email,98.54,5
2026-07-01,Network,99.17,3
