RecordID,RecordType,RetentionYears,Location,DisposalDate
REC-0001,Contract,5,Vault,2031-01-01
REC-0002,Quality,5,Vault,2030-01-01
REC-0003,Financial,5,Cloud,2032-01-01
REC-0004,Quality,3,Offsite,2028-01-01
REC-0005,HR,5,Vault,2027-01-01
REC-0006,Quality,3,Vault,2035-01-01
REC-0007,Quality,7,Offsite,2030-01-01
REC-0008,HR,7,Vault,2032-01-01
REC-0009,Financial,3,Vault,2029-01-01
REC-0010,Financial,10,Offsite,2029-01-01
REC-0011,Financial,3,Offsite,2035-01-01
REC-0012,Quality,7,Offsite,2031-01-01
REC-0013,Contract,5,Vault,2031-01-01
REC-0014,EHS,10,Cloud,2029-01-01
REC-0015,HR,10,Vault,2028-01-01
REC-0016,EHS,5,Offsite,2030-01-01
REC-0017,Contract,10,Vault,2027-01-01
REC-0018,Financial,7,Cloud,2029-01-01
REC-0019,Contract,7,Offsite,2035-01-01
REC-0020,Quality,5,Offsite,2028-01-01
REC-0021,HR,7,Cloud,2029-01-01
REC-0022,HR,5,Offsite,2028-01-01
REC-0023,Financial,7,Vault,2031-01-01
REC-0024,Financial,10,Cloud,2035-01-01
REC-0025,Contract,3,Cloud,2034-01-01
REC-0026,Contract,10,Vault,2033-01-01
REC-0027,Contract,10,Cloud,2031-01-01
REC-0028,EHS,5,Cloud,2033-01-01
REC-0029,Financial,7,Cloud,2029-01-01
REC-0030,Financial,3,Cloud,2027-01-01
