ReviewID,ContractID,Reviewer,ReviewDate,Outcome
CRV-0001,CTR-0001,EMP-100065,2026-04-14,Approved
CRV-0002,CTR-0050,EMP-100273,2026-04-19,Escalated
CRV-0003,CTR-0039,EMP-100684,2026-06-06,Escalated
CRV-0004,CTR-0038,EMP-100081,2026-05-20,Revisions
CRV-0005,CTR-0024,EMP-100571,2026-01-11,Revisions
CRV-0006,CTR-0008,EMP-100738,2026-03-10,Escalated
CRV-0007,CTR-0038,EMP-100273,2026-04-21,Approved
CRV-0008,CTR-0024,EMP-100129,2026-03-10,Escalated
CRV-0009,CTR-0032,EMP-100636,2026-06-24,Approved
CRV-0010,CTR-0007,EMP-100568,2026-04-08,Escalated
CRV-0011,CTR-0064,EMP-100324,2026-02-11,Escalated
CRV-0012,CTR-0046,EMP-100396,2026-01-01,Escalated
CRV-0013,CTR-0012,EMP-100198,2026-06-05,Escalated
CRV-0014,CTR-0028,EMP-100626,2026-06-11,Approved
CRV-0015,CTR-0027,EMP-100658,2026-05-21,Revisions
CRV-0016,CTR-0030,EMP-100136,2026-04-13,Approved
CRV-0017,CTR-0062,EMP-100466,2026-01-21,Approved
CRV-0018,CTR-0052,EMP-100253,2026-05-13,Revisions
CRV-0019,CTR-0017,EMP-100457,2026-02-16,Revisions
CRV-0020,CTR-0026,EMP-100732,2026-04-14,Revisions
CRV-0021,CTR-0041,EMP-100647,2026-04-01,Escalated
CRV-0022,CTR-0029,EMP-100012,2026-04-14,Approved
CRV-0023,CTR-0052,EMP-100114,2026-03-10,Escalated
CRV-0024,CTR-0020,EMP-100067,2026-01-27,Approved
CRV-0025,CTR-0003,EMP-100344,2026-05-21,Revisions
CRV-0026,CTR-0030,EMP-100264,2026-04-26,Revisions
CRV-0027,CTR-0060,EMP-100740,2026-01-05,Escalated
CRV-0028,CTR-0012,EMP-100681,2026-01-24,Approved
CRV-0029,CTR-0001,EMP-100496,2026-02-26,Approved
CRV-0030,CTR-0041,EMP-100411,2026-04-06,Revisions
CRV-0031,CTR-0022,EMP-100268,2026-01-05,Escalated
CRV-0032,CTR-0036,EMP-100819,2026-05-01,Approved
CRV-0033,CTR-0023,EMP-100343,2026-03-28,Revisions
CRV-0034,CTR-0003,EMP-100325,2026-01-08,Approved
CRV-0035,CTR-0059,EMP-100767,2026-01-16,Escalated
CRV-0036,CTR-0063,EMP-100069,2026-02-17,Approved
CRV-0037,CTR-0060,EMP-100104,2026-01-24,Approved
CRV-0038,CTR-0006,EMP-100233,2026-03-01,Approved
CRV-0039,CTR-0028,EMP-100016,2026-06-24,Revisions
CRV-0040,CTR-0053,EMP-100664,2026-06-24,Approved
