Month,WorkCenterID,SiteID,CapacityUnits,PlannedUnits,UtilizationPct
2026-01-01,WC-001,SITE-01,4964,3850,77.6
2026-02-01,WC-001,SITE-01,4192,3174,75.7
2026-03-01,WC-001,SITE-01,2848,2630,92.3
2026-04-01,WC-001,SITE-01,2042,1574,77.1
2026-05-01,WC-001,SITE-01,1965,1807,92.0
2026-06-01,WC-001,SITE-01,4452,4214,94.7
2026-07-01,WC-001,SITE-01,3124,2646,84.7
2026-08-01,WC-001,SITE-01,4722,4487,95.0
2026-09-01,WC-001,SITE-01,5205,4831,92.8
2026-10-01,WC-001,SITE-01,6452,4775,74.0
2026-11-01,WC-001,SITE-01,2894,2749,95.0
2026-12-01,WC-001,SITE-01,4231,3679,87.0
2027-01-01,WC-001,SITE-01,3135,2687,85.7
2027-02-01,WC-001,SITE-01,2996,2160,72.1
2027-03-01,WC-001,SITE-01,2320,1758,75.8
2027-04-01,WC-001,SITE-01,4067,3133,77.0
2027-05-01,WC-001,SITE-01,5144,4005,77.9
2027-06-01,WC-001,SITE-01,3635,3142,86.4
2027-07-01,WC-001,SITE-01,4204,3268,77.7
2027-08-01,WC-001,SITE-01,2940,2697,91.7
2027-09-01,WC-001,SITE-01,2937,2232,76.0
2027-10-01,WC-001,SITE-01,3258,2370,72.7
2027-11-01,WC-001,SITE-01,3931,2829,72.0
2027-12-01,WC-001,SITE-01,4919,3824,77.7
2026-01-01,WC-002,SITE-01,3603,3385,93.9
2026-02-01,WC-002,SITE-01,4235,3977,93.9
2026-03-01,WC-002,SITE-01,3252,2380,73.2
2026-04-01,WC-002,SITE-01,4644,3820,82.3
2026-05-01,WC-002,SITE-01,3153,2699,85.6
2026-06-01,WC-002,SITE-01,4157,3929,94.5
2026-07-01,WC-002,SITE-01,3901,3163,81.1
2026-08-01,WC-002,SITE-01,3806,2924,76.8
2026-09-01,WC-002,SITE-01,2041,1596,78.2
2026-10-01,WC-002,SITE-01,3646,2678,73.5
2026-11-01,WC-002,SITE-01,3150,2739,87.0
2026-12-01,WC-002,SITE-01,5838,4832,82.8
2027-01-01,WC-002,SITE-01,3356,2687,80.1
2027-02-01,WC-002,SITE-01,3785,3375,89.2
2027-03-01,WC-002,SITE-01,3547,2889,81.4
2027-04-01,WC-002,SITE-01,5298,4831,91.2
2027-05-01,WC-002,SITE-01,4897,4308,88.0
2027-06-01,WC-002,SITE-01,3785,2854,75.4
2027-07-01,WC-002,SITE-01,5884,4787,81.4
2027-08-01,WC-002,SITE-01,2493,2028,81.3
2027-09-01,WC-002,SITE-01,6477,4935,76.2
2027-10-01,WC-002,SITE-01,1792,1569,87.6
2027-11-01,WC-002,SITE-01,3920,3471,88.5
2027-12-01,WC-002,SITE-01,5169,4741,91.7
2026-01-01,WC-003,SITE-01,5339,4130,77.4
2026-02-01,WC-003,SITE-01,4147,3099,74.7
2026-03-01,WC-003,SITE-01,4649,4299,92.5
2026-04-01,WC-003,SITE-01,4896,4510,92.1
2026-05-01,WC-003,SITE-01,2096,1632,77.9
2026-06-01,WC-003,SITE-01,3167,2363,74.6
2026-07-01,WC-003,SITE-01,2535,2360,93.1
2026-08-01,WC-003,SITE-01,2180,1567,71.9
2026-09-01,WC-003,SITE-01,2905,2497,86.0
2026-10-01,WC-003,SITE-01,2906,2684,92.4
2026-11-01,WC-003,SITE-01,2821,2306,81.7
2026-12-01,WC-003,SITE-01,2155,1746,81.0
2027-01-01,WC-003,SITE-01,4640,4330,93.3
2027-02-01,WC-003,SITE-01,4969,4649,93.6
2027-03-01,WC-003,SITE-01,3426,2739,79.9
2027-04-01,WC-003,SITE-01,3282,2655,80.9
2027-05-01,WC-003,SITE-01,2001,1773,88.6
2027-06-01,WC-003,SITE-01,4890,4191,85.7
2027-07-01,WC-003,SITE-01,4818,4269,88.6
