PartID,ProgramID,OnHandUnits,SafetyStock,ForecastDemandUnits,ProjectedShortfall
PN-10000,PGM-001,2898,305,351,0
PN-10001,PGM-002,1820,442,2623,0
PN-10002,PGM-003,1260,297,2654,0
PN-10003,PGM-004,109,371,2837,0
PN-10004,PGM-005,977,473,1257,0
PN-10005,PGM-006,1331,307,2082,0
PN-10006,PGM-007,171,57,645,0
PN-10007,PGM-008,1757,182,1539,0
PN-10008,PGM-009,763,94,1234,0
PN-10009,PGM-001,207,137,2528,1
PN-10010,PGM-002,892,354,3489,0
PN-10011,PGM-003,1365,434,2453,0
PN-10012,PGM-004,1973,52,2354,0
PN-10013,PGM-005,70,278,1659,0
PN-10014,PGM-006,522,321,3000,0
PN-10015,PGM-007,1690,467,3960,1
PN-10016,PGM-008,1349,63,2303,0
PN-10017,PGM-009,2639,424,3382,0
PN-10018,PGM-001,1884,423,3359,1
PN-10019,PGM-002,2447,66,680,0
PN-10020,PGM-003,2059,306,1096,0
PN-10021,PGM-004,1856,388,3719,0
PN-10022,PGM-005,88,109,1427,0
PN-10023,PGM-006,1735,185,1311,1
PN-10024,PGM-007,2079,176,2381,0
PN-10025,PGM-008,275,242,1745,0
PN-10026,PGM-009,2354,406,1350,0
PN-10027,PGM-001,1503,90,1607,0
PN-10028,PGM-002,1235,113,2299,0
PN-10029,PGM-003,51,224,271,0
PN-10030,PGM-004,625,247,720,1
PN-10031,PGM-005,1337,492,475,0
PN-10032,PGM-006,2950,174,2180,0
PN-10033,PGM-007,2137,343,3401,0
PN-10034,PGM-008,2801,279,2561,0
PN-10035,PGM-009,149,327,3024,1
PN-10036,PGM-001,1685,295,1240,0
PN-10037,PGM-002,2283,325,1047,1
PN-10038,PGM-003,1947,490,3776,1
PN-10039,PGM-004,224,362,2291,0
PN-10040,PGM-005,1573,232,2334,0
PN-10041,PGM-006,2691,252,2982,0
PN-10042,PGM-007,384,482,2490,0
PN-10043,PGM-008,1737,143,1007,1
PN-10044,PGM-009,2411,372,2940,1
PN-10045,PGM-001,2841,219,3686,1
PN-10046,PGM-002,133,320,274,0
PN-10047,PGM-003,1208,493,1534,1
PN-10048,PGM-004,1068,413,1010,0
PN-10049,PGM-005,886,166,3884,1
PN-10050,PGM-006,330,467,3764,1
PN-10051,PGM-007,1353,96,958,0
PN-10052,PGM-008,1442,181,2090,0
PN-10053,PGM-009,313,75,266,0
PN-10054,PGM-001,1169,318,2855,1
PN-10055,PGM-002,1222,485,2144,0
PN-10056,PGM-003,1945,153,882,1
PN-10057,PGM-004,1317,248,2259,0
PN-10058,PGM-005,80,301,1834,1
PN-10059,PGM-006,323,233,1733,0
