WeekStart,WorkCenterID,SiteID,DirectHours,OvertimeHours,UnitsProduced
2024-07-08,WC-001,SITE-01,407.7,26.8,3511
2024-07-15,WC-001,SITE-01,416.2,49.8,5766
2024-07-22,WC-001,SITE-01,355.6,14.9,3257
2024-07-29,WC-001,SITE-01,389.3,20.6,3112
2024-08-05,WC-001,SITE-01,377.3,14.9,4261
2024-08-12,WC-001,SITE-01,388.2,45.9,2983
2024-08-19,WC-001,SITE-01,374.8,27.2,2816
2024-08-26,WC-001,SITE-01,359.0,40.8,3398
2024-09-02,WC-001,SITE-01,358.7,16.5,4973
2024-09-09,WC-001,SITE-01,405.6,17.6,5109
2024-09-16,WC-001,SITE-01,365.7,19.1,4153
2024-09-23,WC-001,SITE-01,355.1,9.6,3212
2024-09-30,WC-001,SITE-01,378.1,39.5,3173
2024-10-07,WC-001,SITE-01,372.4,11.0,2500
2024-10-14,WC-001,SITE-01,388.8,16.4,3803
2024-10-21,WC-001,SITE-01,380.2,22.0,5297
2024-10-28,WC-001,SITE-01,381.6,14.8,4204
2024-11-04,WC-001,SITE-01,420.3,37.9,4758
2024-11-11,WC-001,SITE-01,426.6,21.5,4841
2024-11-18,WC-001,SITE-01,404.9,36.1,4370
2024-11-25,WC-001,SITE-01,358.9,26.7,2513
2024-12-02,WC-001,SITE-01,396.8,35.0,2516
2024-12-09,WC-001,SITE-01,383.3,27.4,4565
2024-12-16,WC-001,SITE-01,373.6,10.9,2793
2024-12-23,WC-001,SITE-01,388.3,12.8,3094
2024-12-30,WC-001,SITE-01,377.3,38.4,4332
2025-01-06,WC-001,SITE-01,409.3,48.7,4394
2025-01-13,WC-001,SITE-01,366.3,11.4,3595
2025-01-20,WC-001,SITE-01,380.3,34.4,2491
2025-01-27,WC-001,SITE-01,357.6,27.3,3841
2025-02-03,WC-001,SITE-01,376.0,12.5,3324
2025-02-10,WC-001,SITE-01,364.5,17.7,4058
2025-02-17,WC-001,SITE-01,381.9,43.6,4460
2025-02-24,WC-001,SITE-01,383.3,21.3,3928
2025-03-03,WC-001,SITE-01,386.8,39.5,2944
2025-03-10,WC-001,SITE-01,393.8,46.3,3093
2025-03-17,WC-001,SITE-01,408.2,10.8,3981
2025-03-24,WC-001,SITE-01,355.3,8.0,4558
2025-03-31,WC-001,SITE-01,379.5,13.6,3043
2025-04-07,WC-001,SITE-01,408.3,8.5,5253
2025-04-14,WC-001,SITE-01,422.1,25.9,3114
2025-04-21,WC-001,SITE-01,401.0,40.5,2459
2025-04-28,WC-001,SITE-01,401.2,9.1,2919
2025-05-05,WC-001,SITE-01,408.1,28.5,5263
2025-05-12,WC-001,SITE-01,368.7,12.9,2718
2025-05-19,WC-001,SITE-01,425.1,30.4,3071
2025-05-26,WC-001,SITE-01,407.8,47.1,5674
2025-06-02,WC-001,SITE-01,401.4,18.4,3686
2025-06-09,WC-001,SITE-01,426.3,11.4,5801
2025-06-16,WC-001,SITE-01,400.6,19.6,4369
2025-06-23,WC-001,SITE-01,382.3,29.5,2508
2025-06-30,WC-001,SITE-01,389.3,45.8,4764
2025-07-07,WC-001,SITE-01,391.6,20.8,2560
2025-07-14,WC-001,SITE-01,401.8,41.7,4278
2025-07-21,WC-001,SITE-01,377.8,21.2,4001
2025-07-28,WC-001,SITE-01,355.4,9.3,2802
2025-08-04,WC-001,SITE-01,363.2,41.7,4527
2025-08-11,WC-001,SITE-01,408.8,21.4,5247
2025-08-18,WC-001,SITE-01,413.9,43.5,2570
2025-08-25,WC-001,SITE-01,354.8,26.8,4148
2025-09-01,WC-001,SITE-01,359.0,15.4,2958
2025-09-08,WC-001,SITE-01,371.2,10.3,2581
2025-09-15,WC-001,SITE-01,415.5,44.8,4615
2025-09-22,WC-001,SITE-01,412.1,27.5,4370
2025-09-29,WC-001,SITE-01,365.8,28.2,2796
2025-10-06,WC-001,SITE-01,375.4,20.0,4160
2025-10-13,WC-001,SITE-01,380.5,26.2,4584
2025-10-20,WC-001,SITE-01,387.9,25.9,4409
2025-10-27,WC-001,SITE-01,354.7,31.8,3485
2025-11-03,WC-001,SITE-01,421.5,45.1,3464
2025-11-10,WC-001,SITE-01,360.7,25.4,2306
2025-11-17,WC-001,SITE-01,421.5,17.4,2589
2025-11-24,WC-001,SITE-01,360.3,10.9,3225
2025-12-01,WC-001,SITE-01,427.6,36.4,4490
2025-12-08,WC-001,SITE-01,375.4,10.8,4847
2025-12-15,WC-001,SITE-01,355.9,16.5,2539
2025-12-22,WC-001,SITE-01,355.2,36.3,2774
2025-12-29,WC-001,SITE-01,386.1,18.1,2364
2026-01-05,WC-001,SITE-01,359.6,7.2,3899
2026-01-12,WC-001,SITE-01,364.8,19.7,2799
2026-01-19,WC-001,SITE-01,418.3,19.8,2799
2026-01-26,WC-001,SITE-01,371.7,10.6,4232
2026-02-02,WC-001,SITE-01,366.6,42.4,4797
2026-02-09,WC-001,SITE-01,392.0,20.1,3320
2026-02-16,WC-001,SITE-01,366.2,25.3,2599
2026-02-23,WC-001,SITE-01,387.2,11.3,3926
2026-03-02,WC-001,SITE-01,366.4,11.2,4429
2026-03-09,WC-001,SITE-01,383.4,28.6,5318
2026-03-16,WC-001,SITE-01,427.0,44.9,2787
2026-03-23,WC-001,SITE-01,375.3,25.7,4192
2026-03-30,WC-001,SITE-01,403.3,26.4,2598
2026-04-06,WC-001,SITE-01,397.1,41.7,3555
2026-04-13,WC-001,SITE-01,359.5,26.8,4901
2026-04-20,WC-001,SITE-01,402.3,47.0,4235
2026-04-27,WC-001,SITE-01,373.1,44.1,4537
2026-05-04,WC-001,SITE-01,394.7,41.2,4465
2026-05-11,WC-001,SITE-01,420.7,15.4,3901
