WorkCenterID,SiteID,LaborRateUSDPerHour,OvertimeMultiplier,EffectiveDate
WC-001,SITE-01,54.85,1.5,2026-01-01
WC-002,SITE-01,66.77,1.5,2026-01-01
WC-003,SITE-01,53.32,1.5,2026-01-01
WC-004,SITE-02,45.86,1.5,2026-01-01
WC-005,SITE-02,61.95,1.5,2026-01-01
WC-006,SITE-02,63.93,1.5,2026-01-01
WC-007,SITE-03,40.55,1.5,2026-01-01
WC-008,SITE-03,65.84,1.5,2026-01-01
WC-009,SITE-03,64.0,1.5,2026-01-01
WC-010,SITE-04,65.57,1.5,2026-01-01
WC-011,SITE-04,54.74,1.5,2026-01-01
WC-012,SITE-04,45.7,1.5,2026-01-01
