Month,ProgramID,Commodity,Quantity,UnitCostUSD,MaterialCostUSD
2024-08-01,PGM-001,Fasteners,3839,62.31,239215.98
2024-08-01,PGM-002,Fasteners,1917,108.52,208024.68
2024-08-01,PGM-003,Sheet Metal,1780,81.99,145933.93
2024-08-01,PGM-004,Fasteners,3247,61.63,200101.77
2024-08-01,PGM-005,Electronics,3072,94.94,291641.09
2024-08-01,PGM-006,Fasteners,1566,55.44,86816.96
2024-08-01,PGM-007,Composites,3236,78.6,254352.23
2024-08-01,PGM-008,Machined Castings,746,99.55,74264.33
2024-08-01,PGM-009,Composites,3456,98.65,340935.79
2024-09-01,PGM-001,Machined Castings,2004,35.01,70167.2
2024-09-01,PGM-002,Composites,3204,97.06,310976.6
2024-09-01,PGM-003,Sheet Metal,2725,37.78,102952.47
2024-09-01,PGM-004,Machined Castings,542,57.4,31109.1
2024-09-01,PGM-005,Composites,2512,95.29,239380.52
2024-09-01,PGM-006,Composites,3639,102.69,373695.54
2024-09-01,PGM-007,Composites,2841,101.49,288329.38
2024-09-01,PGM-008,Fasteners,2332,111.11,259116.77
2024-09-01,PGM-009,Composites,3090,55.7,172116.6
2024-10-01,PGM-001,Machined Castings,3732,95.24,355421.91
2024-10-01,PGM-002,Sheet Metal,2231,73.15,163188.94
2024-10-01,PGM-003,Machined Castings,484,50.21,24302.8
2024-10-01,PGM-004,Machined Castings,1198,33.6,40252.33
2024-10-01,PGM-005,Sheet Metal,3042,31.97,97246.85
2024-10-01,PGM-006,Electronics,1676,112.77,189005.9
2024-10-01,PGM-007,Fasteners,2264,28.63,64821.51
2024-10-01,PGM-008,Composites,2659,32.06,85237.68
2024-10-01,PGM-009,Fasteners,1996,33.65,67160.6
2024-11-01,PGM-001,Sheet Metal,2801,117.4,328847.16
2024-11-01,PGM-002,Sheet Metal,3312,110.91,367324.15
2024-11-01,PGM-003,Electronics,3570,42.49,151685.35
2024-11-01,PGM-004,Machined Castings,1273,80.97,103073.22
2024-11-01,PGM-005,Electronics,1884,22.65,42674.75
2024-11-01,PGM-006,Sheet Metal,947,60.02,56839.99
2024-11-01,PGM-007,Fasteners,2424,105.4,255478.92
2024-11-01,PGM-008,Machined Castings,2215,25.94,57461.2
2024-11-01,PGM-009,Machined Castings,3766,93.84,353396.41
2024-12-01,PGM-001,Sheet Metal,1115,60.5,67461.9
2024-12-01,PGM-002,Composites,3177,22.75,72261.44
2024-12-01,PGM-003,Machined Castings,984,49.83,49033.62
2024-12-01,PGM-004,Machined Castings,3322,20.37,67672.69
2024-12-01,PGM-005,Composites,1075,69.54,74757.21
2024-12-01,PGM-006,Fasteners,1293,25.03,32365.34
2024-12-01,PGM-007,Machined Castings,1700,74.41,126495.28
2024-12-01,PGM-008,Machined Castings,812,119.14,96741.32
2024-12-01,PGM-009,Sheet Metal,2906,57.69,167639.28
2025-01-01,PGM-001,Sheet Metal,3117,49.53,154387.13
2025-01-01,PGM-002,Machined Castings,583,68.63,40008.45
2025-01-01,PGM-003,Electronics,2796,57.86,161763.86
2025-01-01,PGM-004,Composites,2007,111.44,223658.96
2025-01-01,PGM-005,Electronics,406,34.61,14052.04
2025-01-01,PGM-006,Electronics,480,76.35,36645.61
2025-01-01,PGM-007,Electronics,488,78.87,38489.33
2025-01-01,PGM-008,Machined Castings,2932,64.61,189436.5
2025-01-01,PGM-009,Sheet Metal,1636,20.45,33457.98
2025-02-01,PGM-001,Sheet Metal,1327,42.91,56942.81
2025-02-01,PGM-002,Composites,549,102.9,56494.61
2025-02-01,PGM-003,Sheet Metal,1954,26.81,52387.72
2025-02-01,PGM-004,Composites,591,47.26,27928.61
2025-02-01,PGM-005,Sheet Metal,3826,24.57,93995.9
2025-02-01,PGM-006,Sheet Metal,2195,90.24,198067.54
2025-02-01,PGM-007,Composites,2652,79.28,210252.73
2025-02-01,PGM-008,Machined Castings,549,25.65,14083.27
2025-02-01,PGM-009,Sheet Metal,1841,31.64,58247.34
2025-03-01,PGM-001,Machined Castings,3557,98.33,349769.03
2025-03-01,PGM-002,Machined Castings,728,115.37,83986.44
2025-03-01,PGM-003,Fasteners,2663,30.64,81605.35
2025-03-01,PGM-004,Machined Castings,2744,75.03,205872.25
2025-03-01,PGM-005,Composites,3916,74.68,292458.73
2025-03-01,PGM-006,Fasteners,3609,30.94,111675.47
2025-03-01,PGM-007,Electronics,1355,65.31,88488.59
2025-03-01,PGM-008,Machined Castings,589,59.58,35090.7
2025-03-01,PGM-009,Machined Castings,1185,51.18,60646.04
2025-04-01,PGM-001,Sheet Metal,3601,60.12,216491.97
2025-04-01,PGM-002,Fasteners,1848,87.82,162290.0
2025-04-01,PGM-003,Machined Castings,1143,105.65,120757.8
2025-04-01,PGM-004,Fasteners,3237,39.2,126900.86
2025-04-01,PGM-005,Composites,2275,103.64,235772.88
2025-04-01,PGM-006,Electronics,1688,112.79,190384.73
2025-04-01,PGM-007,Machined Castings,3855,91.41,352373.0
2025-04-01,PGM-008,Electronics,1985,70.24,139429.8
2025-04-01,PGM-009,Electronics,2815,79.91,224957.99
2025-05-01,PGM-001,Composites,2392,98.0,234409.33
2025-05-01,PGM-002,Machined Castings,2897,84.14,243767.57
2025-05-01,PGM-003,Machined Castings,2776,30.46,84557.76
2025-05-01,PGM-004,Electronics,2086,110.59,230683.5
2025-05-01,PGM-005,Electronics,2986,65.8,196468.54
2025-05-01,PGM-006,Machined Castings,903,92.89,83882.21
2025-05-01,PGM-007,Fasteners,3935,112.09,441067.54
2025-05-01,PGM-008,Sheet Metal,2531,106.52,269597.11
2025-05-01,PGM-009,Electronics,533,66.29,35331.28
2025-06-01,PGM-001,Fasteners,3955,61.12,241719.34
2025-06-01,PGM-002,Electronics,1093,68.01,74329.73
2025-06-01,PGM-003,Fasteners,2821,57.54,162310.98
2025-06-01,PGM-004,Electronics,778,39.84,30992.25
2025-06-01,PGM-005,Fasteners,739,31.78,23484.27
2025-06-01,PGM-006,Sheet Metal,2627,20.21,53102.59
2025-06-01,PGM-007,Composites,3158,84.19,265857.95
2025-06-01,PGM-008,Machined Castings,865,59.16,51173.05
2025-06-01,PGM-009,Electronics,2018,23.11,46642.62
2025-07-01,PGM-001,Sheet Metal,1385,113.22,156804.52
2025-07-01,PGM-002,Machined Castings,3581,49.07,175706.27
2025-07-01,PGM-003,Sheet Metal,2135,98.03,209285.97
2025-07-01,PGM-004,Machined Castings,2043,83.61,170808.53
2025-07-01,PGM-005,Composites,3439,67.22,231178.14
2025-07-01,PGM-006,Composites,2653,22.02,58413.1
2025-07-01,PGM-007,Machined Castings,1486,97.05,144210.04
2025-07-01,PGM-008,Machined Castings,502,32.01,16068.64
2025-07-01,PGM-009,Fasteners,2751,95.83,263638.11
2025-08-01,PGM-001,Composites,3324,44.4,147596.61
2025-08-01,PGM-002,Electronics,615,82.8,50920.2
2025-08-01,PGM-003,Electronics,1646,24.04,39569.86
2025-08-01,PGM-004,Composites,1528,44.66,68246.26
2025-08-01,PGM-005,Sheet Metal,845,104.42,88238.09
2025-08-01,PGM-006,Machined Castings,2318,76.47,177247.43
2025-08-01,PGM-007,Electronics,873,33.81,29518.37
2025-08-01,PGM-008,Fasteners,2898,22.77,65992.96
2025-08-01,PGM-009,Machined Castings,2586,107.34,277590.5
2025-09-01,PGM-001,Electronics,1619,64.75,104825.95
2025-09-01,PGM-002,Electronics,3643,53.22,193884.42
2025-09-01,PGM-003,Fasteners,2404,70.92,170487.73
2025-09-01,PGM-004,Machined Castings,1421,50.95,72393.88
2025-09-01,PGM-005,Electronics,2233,58.37,130333.46
2025-09-01,PGM-006,Fasteners,1935,81.48,157655.36
2025-09-01,PGM-007,Electronics,2400,100.07,240172.58
2025-09-01,PGM-008,Electronics,1202,109.51,131631.08
2025-09-01,PGM-009,Machined Castings,1485,37.28,55360.36
2025-10-01,PGM-001,Sheet Metal,1535,56.39,86556.46
2025-10-01,PGM-002,Composites,3400,112.99,384156.22
2025-10-01,PGM-003,Machined Castings,1306,29.59,38648.86
2025-10-01,PGM-004,Composites,961,68.37,65707.39
2025-10-01,PGM-005,Fasteners,3427,67.68,231956.27
2025-10-01,PGM-006,Machined Castings,2644,68.72,181692.04
2025-10-01,PGM-007,Machined Castings,3371,95.34,321391.45
2025-10-01,PGM-008,Sheet Metal,2185,54.15,118321.33
2025-10-01,PGM-009,Fasteners,1428,108.87,155468.69
2025-11-01,PGM-001,Sheet Metal,1417,30.87,43743.29
2025-11-01,PGM-002,Sheet Metal,1288,27.18,35009.57
2025-11-01,PGM-003,Fasteners,1646,67.48,111078.72
2025-11-01,PGM-004,Composites,2225,21.87,48667.74
2025-11-01,PGM-005,Composites,1594,82.51,131517.36
2025-11-01,PGM-006,Fasteners,3954,71.6,283107.25
2025-11-01,PGM-007,Machined Castings,3669,74.12,271931.11
2025-11-01,PGM-008,Fasteners,993,73.35,72839.17
2025-11-01,PGM-009,Composites,2835,32.82,93044.11
2025-12-01,PGM-001,Electronics,928,27.21,25250.39
2025-12-01,PGM-002,Electronics,1465,26.5,38817.72
2025-12-01,PGM-003,Composites,791,101.68,80429.8
2025-12-01,PGM-004,Sheet Metal,3944,32.47,128078.16
2025-12-01,PGM-005,Fasteners,1842,117.64,216698.36
2025-12-01,PGM-006,Fasteners,1470,77.52,113948.33
2025-12-01,PGM-007,Sheet Metal,3574,104.53,373577.17
2025-12-01,PGM-008,Electronics,1974,42.3,83497.98
2025-12-01,PGM-009,Fasteners,1240,115.61,143353.66
2026-01-01,PGM-001,Fasteners,1485,81.58,121148.4
2026-01-01,PGM-002,Fasteners,3593,27.07,97254.42
2026-01-01,PGM-003,Sheet Metal,2992,80.75,241608.74
2026-01-01,PGM-004,Composites,481,22.65,10892.55
2026-01-01,PGM-005,Composites,1400,89.53,125337.1
2026-01-01,PGM-006,Machined Castings,2212,99.42,219920.2
2026-01-01,PGM-007,Sheet Metal,3206,52.22,167428.3
2026-01-01,PGM-008,Fasteners,3668,44.09,161706.99
2026-01-01,PGM-009,Fasteners,1169,55.15,64468.22
2026-02-01,PGM-001,Fasteners,836,87.63,73258.0
2026-02-01,PGM-002,Composites,1271,89.6,113883.19
2026-02-01,PGM-003,Sheet Metal,1310,116.02,151985.16
2026-02-01,PGM-004,Composites,755,77.75,58702.69
2026-02-01,PGM-005,Sheet Metal,3927,86.26,338755.37
2026-02-01,PGM-006,Composites,1402,48.23,67623.36
2026-02-01,PGM-007,Machined Castings,2801,96.32,269797.42
2026-02-01,PGM-008,Electronics,3813,61.55,234677.77
2026-02-01,PGM-009,Electronics,3116,69.45,216414.69
2026-03-01,PGM-001,Composites,1559,117.57,183298.35
2026-03-01,PGM-002,Electronics,850,43.03,36575.71
2026-03-01,PGM-003,Machined Castings,2655,103.49,274778.03
2026-03-01,PGM-004,Sheet Metal,914,97.11,88761.81
2026-03-01,PGM-005,Machined Castings,2358,57.66,135963.6
2026-03-01,PGM-006,Machined Castings,1207,85.85,103615.92
2026-03-01,PGM-007,Sheet Metal,3758,36.75,138100.55
2026-03-01,PGM-008,Sheet Metal,3250,65.16,211776.36
2026-03-01,PGM-009,Fasteners,2391,86.35,206458.44
2026-04-01,PGM-001,Fasteners,2965,59.44,176250.85
2026-04-01,PGM-002,Composites,3282,66.17,217163.46
2026-04-01,PGM-003,Sheet Metal,2522,124.12,313035.67
2026-04-01,PGM-004,Machined Castings,2842,56.97,161921.06
2026-04-01,PGM-005,Sheet Metal,797,32.8,26145.06
2026-04-01,PGM-006,Sheet Metal,3313,95.41,316078.3
2026-04-01,PGM-007,Electronics,1046,114.06,119309.47
2026-04-01,PGM-008,Fasteners,3423,29.93,102450.56
2026-04-01,PGM-009,Electronics,2410,36.46,87858.5
2026-05-01,PGM-001,Composites,3389,77.54,262773.6
2026-05-01,PGM-002,Sheet Metal,1924,32.48,62496.57
2026-05-01,PGM-003,Composites,1402,100.95,141538.0
2026-05-01,PGM-004,Fasteners,2385,67.55,161100.86
2026-05-01,PGM-005,Composites,725,102.83,74549.85
2026-05-01,PGM-006,Fasteners,3095,21.64,66963.68
2026-05-01,PGM-007,Machined Castings,1067,88.1,94006.49
2026-05-01,PGM-008,Fasteners,2773,110.64,306800.05
2026-05-01,PGM-009,Sheet Metal,1860,32.4,60263.32
2026-06-01,PGM-001,Machined Castings,780,104.04,81153.04
2026-06-01,PGM-002,Electronics,2224,31.11,69186.74
2026-06-01,PGM-003,Fasteners,3026,120.35,364166.55
2026-06-01,PGM-004,Fasteners,406,34.35,13945.98
2026-06-01,PGM-005,Fasteners,1554,91.37,141983.81
2026-06-01,PGM-006,Machined Castings,1503,113.31,170298.02
2026-06-01,PGM-007,Fasteners,2775,44.43,123303.87
2026-06-01,PGM-008,Fasteners,3407,106.21,361865.76
2026-06-01,PGM-009,Fasteners,1391,30.89,42972.61
2026-07-01,PGM-001,Fasteners,2095,107.3,224788.78
2026-07-01,PGM-002,Composites,3662,95.34,349142.59
2026-07-01,PGM-003,Electronics,1161,27.02,31367.32
2026-07-01,PGM-004,Fasteners,3039,113.65,345396.54
2026-07-01,PGM-005,Machined Castings,885,56.97,50417.83
2026-07-01,PGM-006,Fasteners,1656,97.74,161856.64
2026-07-01,PGM-007,Electronics,2970,52.63,156307.35
2026-07-01,PGM-008,Electronics,3188,105.13,335165.98
2026-07-01,PGM-009,Fasteners,2891,119.17,344533.52
