PartID,PartName,Commodity,ProgramID,PrimarySupplierID,StandardCostUSD,UOM
PN-10000,Machined Panel R2,Machined Castings,PGM-001,SUP-001,65.65,EA
PN-10001,Sheet Bracket R5,Sheet Metal,PGM-002,SUP-002,476.19,EA
PN-10002,Electronics Panel R1,Electronics,PGM-003,SUP-003,71.49,EA
PN-10003,Fasteners Bracket R2,Fasteners,PGM-004,SUP-004,68.48,EA
PN-10004,Composites Bracket R3,Composites,PGM-005,SUP-005,71.38,EA
PN-10005,Wire Panel R3,Wire Harness,PGM-006,SUP-006,572.6,EA
PN-10006,Bearings Panel R5,Bearings,PGM-007,SUP-007,122.88,EA
PN-10007,Seals Plate R2,Seals & Gaskets,PGM-008,SUP-008,669.51,EA
PN-10008,Forgings Ring R2,Forgings,PGM-009,SUP-009,91.05,EA
PN-10009,Coatings Ring R3,Coatings,PGM-001,SUP-010,366.96,EA
PN-10010,Machined Plate R1,Machined Castings,PGM-002,SUP-011,576.28,EA
PN-10011,Sheet Housing R1,Sheet Metal,PGM-003,SUP-012,349.4,EA
PN-10012,Electronics Manifold R1,Electronics,PGM-004,SUP-013,220.37,EA
PN-10013,Fasteners Panel R5,Fasteners,PGM-005,SUP-014,387.94,EA
PN-10014,Composites Ring R2,Composites,PGM-006,SUP-015,245.42,EA
PN-10015,Wire Panel R1,Wire Harness,PGM-007,SUP-016,383.34,EA
PN-10016,Bearings Housing R1,Bearings,PGM-008,SUP-017,558.5,EA
PN-10017,Seals Bracket R1,Seals & Gaskets,PGM-009,SUP-018,788.3,EA
PN-10018,Forgings Panel R2,Forgings,PGM-001,SUP-019,352.57,EA
PN-10019,Coatings Plate R2,Coatings,PGM-002,SUP-020,736.58,EA
PN-10020,Machined Bracket R2,Machined Castings,PGM-003,SUP-021,329.58,EA
PN-10021,Sheet Ring R3,Sheet Metal,PGM-004,SUP-022,788.42,EA
PN-10022,Electronics Plate R3,Electronics,PGM-005,SUP-023,366.48,EA
PN-10023,Fasteners Plate R2,Fasteners,PGM-006,SUP-024,171.13,EA
PN-10024,Composites Panel R1,Composites,PGM-007,SUP-025,497.35,EA
PN-10025,Wire Bracket R3,Wire Harness,PGM-008,SUP-026,59.9,EA
PN-10026,Bearings Plate R5,Bearings,PGM-009,SUP-027,782.45,EA
PN-10027,Seals Shaft R1,Seals & Gaskets,PGM-001,SUP-028,817.13,EA
