WeekStart,WorkCenterID,SiteID,UnitsProduced,UnitsScrapped,ScrapPct,ScrapCostUSD
2024-07-08,WC-001,SITE-01,3511,74,2.12,3999.38
2024-07-15,WC-001,SITE-01,5766,103,1.79,5554.8
2024-07-22,WC-001,SITE-01,3257,59,1.84,2239.59
2024-07-29,WC-001,SITE-01,3112,63,2.05,1393.53
2024-08-05,WC-001,SITE-01,4261,84,1.99,4078.18
2024-08-12,WC-001,SITE-01,2983,61,2.07,3235.79
2024-08-19,WC-001,SITE-01,2816,58,2.07,1840.2
2024-08-26,WC-001,SITE-01,3398,68,2.03,3923.18
2024-09-02,WC-001,SITE-01,4973,118,2.39,4855.87
2024-09-09,WC-001,SITE-01,5109,94,1.85,3888.38
2024-09-16,WC-001,SITE-01,4153,87,2.1,5194.73
2024-09-23,WC-001,SITE-01,3212,73,2.3,1696.85
2024-09-30,WC-001,SITE-01,3173,70,2.21,4089.32
2024-10-07,WC-001,SITE-01,2500,55,2.23,1510.89
2024-10-14,WC-001,SITE-01,3803,78,2.06,2939.43
2024-10-21,WC-001,SITE-01,5297,113,2.15,6126.45
2024-10-28,WC-001,SITE-01,4204,83,1.98,3222.11
2024-11-04,WC-001,SITE-01,4758,114,2.41,5913.59
2024-11-11,WC-001,SITE-01,4841,113,2.35,2216.57
2024-11-18,WC-001,SITE-01,4370,82,1.89,2558.86
2024-11-25,WC-001,SITE-01,2513,45,1.8,1445.78
2024-12-02,WC-001,SITE-01,2516,59,2.37,2562.47
2024-12-09,WC-001,SITE-01,4565,105,2.32,6264.1
2024-12-16,WC-001,SITE-01,2793,50,1.82,2683.55
2024-12-23,WC-001,SITE-01,3094,62,2.02,2258.83
2024-12-30,WC-001,SITE-01,4332,88,2.04,5028.75
2025-01-06,WC-001,SITE-01,4394,79,1.82,2528.21
2025-01-13,WC-001,SITE-01,3595,82,2.29,3405.74
2025-01-20,WC-001,SITE-01,2491,56,2.25,2952.28
2025-01-27,WC-001,SITE-01,3841,92,2.4,5391.84
2025-02-03,WC-001,SITE-01,3324,59,1.8,2657.03
2025-02-10,WC-001,SITE-01,4058,86,2.12,1767.19
