SupplierID,SupplierName,POID,PromiseDate,DaysLate,Impact
SUP-040,Supplier 040 LLC,PO-100023,2026-06-15,5,None
SUP-052,Supplier 052 LLC,PO-100099,2026-03-05,44,Buffer
SUP-020,Vertex Valves,PO-100072,2026-04-11,34,Buffer
SUP-065,Supplier 065 LLC,PO-100019,2026-03-21,16,Buffer
SUP-048,Supplier 048 LLC,PO-100091,2026-01-15,44,Line Down
SUP-057,Supplier 057 LLC,PO-100039,2026-04-28,1,Line Down
SUP-020,Vertex Valves,PO-100112,2026-05-16,43,Line Down
SUP-048,Supplier 048 LLC,PO-100051,2026-06-12,30,None
SUP-009,Juniper Coatings,PO-100059,2026-05-26,43,Line Down
SUP-035,Supplier 035 LLC,PO-100018,2026-01-17,27,Line Down
SUP-067,Supplier 067 LLC,PO-100086,2026-03-07,20,Line Down
SUP-045,Supplier 045 LLC,PO-100015,2026-04-23,32,None
SUP-053,Supplier 053 LLC,PO-100074,2026-03-14,6,None
SUP-051,Supplier 051 LLC,PO-100063,2026-01-15,39,None
SUP-053,Supplier 053 LLC,PO-100045,2026-04-14,14,None
SUP-019,Titan Tooling,PO-100008,2026-06-11,42,None
SUP-067,Supplier 067 LLC,PO-100023,2026-05-22,32,Buffer
SUP-027,Supplier 027 LLC,PO-100005,2026-01-21,12,None
SUP-036,Supplier 036 LLC,PO-100057,2026-06-05,34,Line Down
SUP-049,Supplier 049 LLC,PO-100044,2026-01-24,41,Line Down
SUP-065,Supplier 065 LLC,PO-100010,2026-03-06,39,Buffer
SUP-022,Supplier 022 LLC,PO-100004,2026-03-19,23,Buffer
SUP-049,Supplier 049 LLC,PO-100035,2026-03-07,17,Line Down
SUP-002,Cardinal Components,PO-100119,2026-06-26,41,Buffer
SUP-057,Supplier 057 LLC,PO-100028,2026-04-18,24,None
SUP-007,Harbor Electronics,PO-100034,2026-02-08,14,Line Down
SUP-063,Supplier 063 LLC,PO-100076,2026-05-22,17,Line Down
SUP-060,Supplier 060 LLC,PO-100043,2026-04-22,18,Line Down
SUP-043,Supplier 043 LLC,PO-100039,2026-01-17,18,None
SUP-054,Supplier 054 LLC,PO-100083,2026-05-12,6,None
SUP-053,Supplier 053 LLC,PO-100117,2026-02-19,3,None
SUP-038,Supplier 038 LLC,PO-100004,2026-03-12,1,Buffer
SUP-006,Granite Precision,PO-100076,2026-05-07,37,Line Down
SUP-017,Redwood Rubber,PO-100103,2026-03-02,28,None
SUP-056,Supplier 056 LLC,PO-100063,2026-04-01,45,Line Down
SUP-001,Apex Metalworks,PO-100030,2026-02-01,29,None
SUP-006,Granite Precision,PO-100099,2026-04-20,41,Buffer
SUP-007,Harbor Electronics,PO-100104,2026-04-09,37,Buffer
SUP-056,Supplier 056 LLC,PO-100072,2026-01-27,13,Buffer
SUP-010,Keystone Bearings,PO-100112,2026-01-04,27,Line Down
SUP-013,Northstar Wire,PO-100112,2026-06-15,31,Buffer
SUP-064,Supplier 064 LLC,PO-100009,2026-06-03,41,Line Down
SUP-012,Monarch Machining,PO-100040,2026-04-26,23,None
SUP-053,Supplier 053 LLC,PO-100071,2026-04-09,44,None
SUP-013,Northstar Wire,PO-100055,2026-01-20,18,None
SUP-032,Supplier 032 LLC,PO-100057,2026-01-01,29,Buffer
SUP-035,Supplier 035 LLC,PO-100047,2026-05-01,41,None
SUP-016,Quartz Sensors,PO-100027,2026-03-12,41,Line Down
SUP-054,Supplier 054 LLC,PO-100095,2026-06-03,31,Buffer
SUP-054,Supplier 054 LLC,PO-100028,2026-01-12,8,Line Down
SUP-029,Supplier 029 LLC,PO-100030,2026-05-09,33,None
SUP-019,Titan Tooling,PO-100049,2026-06-03,21,Buffer
SUP-034,Supplier 034 LLC,PO-100065,2026-02-26,2,Buffer
SUP-039,Supplier 039 LLC,PO-100088,2026-04-20,36,Buffer
SUP-015,Pinnacle Castings,PO-100002,2026-06-14,10,None
SUP-034,Supplier 034 LLC,PO-100020,2026-01-24,41,Line Down
SUP-044,Supplier 044 LLC,PO-100008,2026-04-14,20,None
SUP-012,Monarch Machining,PO-100046,2026-05-17,14,Buffer
SUP-050,Supplier 050 LLC,PO-100110,2026-01-07,43,Buffer
SUP-023,Supplier 023 LLC,PO-100019,2026-06-24,14,Line Down
