POID,SupplierID,PartID,OrderDate,Qty,UnitCostUSD,ExtendedUSD,PromiseDate,Status
PO-100000,SUP-065,PN-10134,2026-07-01,761,720.11,548003.1,2026-08-22,Received
PO-100001,SUP-010,PN-10079,2025-12-01,1274,263.03,335095.7,2026-01-28,Received
PO-100002,SUP-038,PN-10177,2025-01-01,1650,300.1,495169.54,2025-02-28,Open
PO-100003,SUP-048,PN-10257,2025-08-01,710,256.17,181881.6,2025-08-24,Received
PO-100004,SUP-041,PN-10040,2025-10-01,1057,961.21,1015996.5,2025-10-27,Late
PO-100005,SUP-042,PN-10181,2024-10-01,1590,83.94,133466.74,2024-11-12,Received
PO-100006,SUP-036,PN-10245,2026-06-01,1010,632.71,639034.23,2026-07-20,Received
PO-100007,SUP-030,PN-10239,2025-02-01,1788,55.31,98896.8,2025-03-28,Received
PO-100008,SUP-027,PN-10166,2025-06-01,111,614.39,68197.67,2025-07-15,Received
PO-100009,SUP-022,PN-10231,2025-01-01,1889,283.21,534986.05,2025-01-30,Received
PO-100010,SUP-032,PN-10101,2026-03-01,1460,1000.12,1460176.41,2026-04-28,Received
PO-100011,SUP-048,PN-10187,2025-03-01,1285,557.57,716476.24,2025-04-21,Received
PO-100012,SUP-004,PN-10213,2024-10-01,900,759.65,683681.38,2024-11-30,Received
PO-100013,SUP-035,PN-10244,2025-09-01,163,531.02,86556.28,2025-10-18,Received
PO-100014,SUP-052,PN-10121,2026-05-01,642,525.35,337275.52,2026-06-16,Late
PO-100015,SUP-044,PN-10183,2025-05-01,1233,894.01,1102313.15,2025-06-08,Received
PO-100016,SUP-006,PN-10075,2026-05-01,1612,841.46,1356439.62,2026-05-20,Received
PO-100017,SUP-008,PN-10217,2025-11-01,1523,471.03,717381.96,2025-11-20,Received
PO-100018,SUP-061,PN-10060,2024-10-01,1713,37.3,63887.67,2024-10-26,Received
PO-100019,SUP-058,PN-10057,2024-12-01,875,882.12,771855.55,2025-01-11,Received
PO-100020,SUP-067,PN-10136,2025-04-01,1808,875.7,1583265.75,2025-05-08,Open
PO-100021,SUP-064,PN-10203,2026-05-01,536,92.95,49819.37,2026-06-21,Open
PO-100022,SUP-022,PN-10231,2026-05-01,523,248.84,130143.62,2026-06-14,Received
PO-100023,SUP-051,PN-10120,2024-09-01,1946,794.52,1546144.79,2024-09-24,Received
PO-100024,SUP-001,PN-10140,2025-07-01,575,491.89,282838.55,2025-08-14,Received
PO-100025,SUP-025,PN-10234,2024-10-01,392,578.76,226873.63,2024-10-22,Open
PO-100026,SUP-032,PN-10031,2025-12-01,516,657.39,339215.42,2025-12-21,Received
PO-100027,SUP-010,PN-10219,2025-06-01,932,626.86,584236.67,2025-06-25,Late
PO-100028,SUP-037,PN-10106,2024-11-01,980,241.46,236631.31,2024-12-16,Open
PO-100029,SUP-014,PN-10013,2026-05-01,1990,439.37,874350.15,2026-05-30,Open
PO-100030,SUP-047,PN-10186,2024-08-01,740,766.94,567535.97,2024-09-07,Received
PO-100031,SUP-002,PN-10001,2025-01-01,1961,481.58,944372.01,2025-02-04,Open
PO-100032,SUP-048,PN-10117,2025-09-01,1003,228.01,228697.03,2025-09-20,Received
PO-100033,SUP-061,PN-10200,2025-04-01,456,766.35,349456.72,2025-05-21,Received
PO-100034,SUP-061,PN-10060,2025-03-01,1020,38.0,38758.19,2025-03-31,Received
PO-100035,SUP-006,PN-10075,2026-01-01,1257,778.34,978377.86,2026-02-01,Open
PO-100036,SUP-038,PN-10107,2024-10-01,1241,225.38,279692.86,2024-11-21,Received
PO-100037,SUP-041,PN-10250,2025-11-01,1402,47.26,66256.52,2025-12-12,Received
PO-100038,SUP-040,PN-10039,2025-02-01,413,782.39,323128.46,2025-03-19,Open
PO-100039,SUP-030,PN-10029,2024-10-01,1735,371.43,644435.03,2024-10-18,Late
PO-100040,SUP-055,PN-10194,2026-03-01,1136,672.3,763728.63,2026-04-02,Received
PO-100041,SUP-026,PN-10025,2026-04-01,596,64.16,38239.19,2026-05-27,Late
PO-100042,SUP-011,PN-10010,2025-02-01,1446,622.47,900097.76,2025-02-19,Received
PO-100043,SUP-052,PN-10191,2026-06-01,773,86.02,66494.5,2026-07-20,Late
PO-100044,SUP-020,PN-10159,2025-07-01,622,527.59,328161.91,2025-08-14,Open
PO-100045,SUP-003,PN-10142,2024-09-01,1870,800.53,1496986.44,2024-10-30,Late
PO-100046,SUP-037,PN-10246,2024-10-01,614,82.51,50658.08,2024-10-27,Open
PO-100047,SUP-057,PN-10056,2026-03-01,1757,562.56,988412.16,2026-04-05,Late
PO-100048,SUP-014,PN-10153,2025-06-01,573,556.37,318800.54,2025-07-07,Open
PO-100049,SUP-004,PN-10213,2025-07-01,1465,826.75,1211193.52,2025-08-23,Received
PO-100050,SUP-057,PN-10196,2026-01-01,614,640.01,392966.83,2026-01-20,Received
PO-100051,SUP-017,PN-10226,2025-05-01,1504,457.91,688704.04,2025-06-05,Received
PO-100052,SUP-017,PN-10226,2024-11-01,869,500.79,435183.07,2024-12-30,Open
PO-100053,SUP-050,PN-10189,2024-08-01,1062,615.5,653663.37,2024-09-21,Late
PO-100054,SUP-009,PN-10148,2025-01-01,1426,613.23,874470.54,2025-01-25,Received
PO-100055,SUP-054,PN-10193,2024-11-01,132,41.98,5541.28,2024-11-16,Late
PO-100056,SUP-070,PN-10139,2025-05-01,1358,938.58,1274585.32,2025-06-07,Open
PO-100057,SUP-034,PN-10173,2024-11-01,1742,717.19,1249349.22,2024-11-23,Received
PO-100058,SUP-035,PN-10104,2026-01-01,1540,374.07,576060.46,2026-01-22,Late
PO-100059,SUP-020,PN-10019,2025-12-01,609,744.29,453272.78,2026-01-24,Received
PO-100060,SUP-027,PN-10026,2026-05-01,1665,907.37,1510772.43,2026-05-15,Received
PO-100061,SUP-055,PN-10124,2026-05-01,647,325.68,210714.24,2026-06-04,Received
PO-100062,SUP-032,PN-10101,2026-07-01,1618,999.61,1617366.66,2026-07-26,Received
PO-100063,SUP-024,PN-10163,2025-05-01,491,614.06,301503.49,2025-06-01,Received
PO-100064,SUP-067,PN-10136,2025-07-01,1296,848.73,1099954.01,2025-08-13,Late
PO-100065,SUP-010,PN-10149,2025-11-01,1010,665.58,672232.18,2025-12-14,Received
PO-100066,SUP-063,PN-10132,2025-04-01,1815,119.49,216876.41,2025-04-26,Open
PO-100067,SUP-059,PN-10128,2026-02-01,1164,728.03,847426.99,2026-04-01,Open
PO-100068,SUP-043,PN-10042,2026-03-01,515,262.04,134950.91,2026-03-18,Received
PO-100069,SUP-027,PN-10166,2026-03-01,1845,602.88,1112313.52,2026-03-21,Open
PO-100070,SUP-067,PN-10066,2025-10-01,1546,31.57,48812.09,2025-10-25,Received
PO-100071,SUP-033,PN-10242,2026-05-01,384,885.03,339852.39,2026-06-26,Open
PO-100072,SUP-059,PN-10198,2025-08-01,575,872.67,501786.65,2025-09-17,Received
PO-100073,SUP-044,PN-10253,2026-06-01,1362,638.0,868959.23,2026-06-19,Received
PO-100074,SUP-034,PN-10103,2024-12-01,97,418.19,40563.95,2025-01-23,Late
PO-100075,SUP-032,PN-10031,2026-05-01,294,560.73,164855.62,2026-06-02,Open
PO-100076,SUP-004,PN-10213,2025-04-01,978,695.22,679929.24,2025-05-29,Received
PO-100077,SUP-014,PN-10223,2026-01-01,723,259.35,187513.53,2026-01-15,Open
PO-100078,SUP-030,PN-10099,2026-07-01,1937,515.27,998074.71,2026-07-24,Open
PO-100079,SUP-016,PN-10085,2025-04-01,224,845.68,189431.62,2025-04-24,Late
PO-100080,SUP-006,PN-10005,2026-05-01,323,600.03,193811.13,2026-05-19,Received
PO-100081,SUP-042,PN-10181,2025-08-01,1447,72.09,104312.91,2025-08-29,Open
PO-100082,SUP-008,PN-10147,2024-12-01,1560,641.25,1000344.34,2025-01-23,Received
PO-100083,SUP-040,PN-10109,2026-07-01,1192,140.88,167933.49,2026-08-14,Received
PO-100084,SUP-011,PN-10220,2024-10-01,729,459.31,334834.05,2024-11-02,Received
PO-100085,SUP-010,PN-10219,2025-08-01,1530,726.74,1111910.06,2025-08-30,Open
PO-100086,SUP-006,PN-10075,2025-08-01,449,899.75,403989.75,2025-08-28,Open
PO-100087,SUP-010,PN-10149,2025-08-01,1274,768.44,978989.46,2025-08-28,Received
PO-100088,SUP-016,PN-10085,2026-07-01,149,708.2,105522.23,2026-07-19,Received
PO-100089,SUP-055,PN-10054,2025-07-01,1241,52.96,65720.54,2025-07-17,Open
PO-100090,SUP-005,PN-10144,2026-01-01,542,514.41,278809.66,2026-01-22,Received
PO-100091,SUP-010,PN-10149,2026-07-01,1470,720.36,1058934.31,2026-08-27,Received
PO-100092,SUP-039,PN-10248,2024-11-01,1403,852.02,1195389.08,2024-12-29,Received
PO-100093,SUP-061,PN-10130,2025-03-01,1962,631.31,1238637.91,2025-03-30,Received
PO-100094,SUP-031,PN-10240,2025-12-01,112,341.85,38287.42,2026-01-06,Received
PO-100095,SUP-037,PN-10246,2024-10-01,1814,85.3,154737.41,2024-11-18,Received
PO-100096,SUP-023,PN-10162,2025-02-01,130,233.3,30329.02,2025-03-24,Open
PO-100097,SUP-063,PN-10132,2025-04-01,820,130.67,107146.55,2025-05-30,Late
PO-100098,SUP-025,PN-10234,2024-09-01,197,514.41,101339.65,2024-10-24,Received
PO-100099,SUP-048,PN-10257,2025-02-01,419,210.47,88186.19,2025-03-20,Open
PO-100100,SUP-022,PN-10021,2025-06-01,637,834.21,531389.26,2025-07-18,Late
PO-100101,SUP-019,PN-10228,2025-06-01,935,876.22,819267.6,2025-06-18,Received
PO-100102,SUP-002,PN-10211,2026-07-01,1551,721.12,1118459.9,2026-08-08,Open
PO-100103,SUP-018,PN-10157,2026-07-01,168,20.51,3445.58,2026-07-27,Late
PO-100104,SUP-050,PN-10049,2026-05-01,1430,145.92,208658.79,2026-06-21,Received
PO-100105,SUP-047,PN-10256,2025-12-01,1434,303.74,435568.1,2025-12-26,Open
PO-100106,SUP-020,PN-10159,2025-02-01,1623,480.16,779302.23,2025-03-05,Received
PO-100107,SUP-069,PN-10208,2024-09-01,762,164.11,125053.33,2024-10-02,Open
PO-100108,SUP-042,PN-10041,2024-09-01,964,290.91,280435.7,2024-09-20,Received
PO-100109,SUP-051,PN-10050,2025-02-01,648,719.65,466330.57,2025-03-16,Received
PO-100110,SUP-047,PN-10046,2025-12-01,1994,434.8,866990.01,2026-01-19,Open
PO-100111,SUP-053,PN-10192,2025-09-01,399,408.87,163140.85,2025-09-20,Open
PO-100112,SUP-024,PN-10093,2025-03-01,945,607.94,574500.06,2025-04-28,Received
PO-100113,SUP-053,PN-10052,2026-03-01,1603,40.88,65527.72,2026-04-09,Received
PO-100114,SUP-020,PN-10089,2026-05-01,1408,246.06,346453.01,2026-06-20,Received
PO-100115,SUP-012,PN-10151,2025-07-01,275,788.73,216901.39,2025-08-20,Late
PO-100116,SUP-058,PN-10057,2024-11-01,1794,829.36,1487879.55,2024-11-18,Open
PO-100117,SUP-039,PN-10178,2026-07-01,1864,332.96,620645.32,2026-07-29,Received
PO-100118,SUP-027,PN-10026,2026-04-01,1212,783.05,949062.17,2026-05-07,Open
PO-100119,SUP-008,PN-10007,2025-08-01,984,693.5,682408.05,2025-08-29,Open
PO-100120,SUP-016,PN-10225,2024-10-01,1043,440.86,459818.31,2024-11-06,Received
PO-100121,SUP-032,PN-10031,2025-03-01,1802,555.84,1001623.96,2025-04-21,Open
PO-100122,SUP-039,PN-10178,2026-01-01,720,303.55,218558.53,2026-02-12,Received
PO-100123,SUP-054,PN-10123,2024-12-01,1068,156.81,167475.5,2025-01-09,Received
PO-100124,SUP-035,PN-10174,2026-02-01,1247,58.68,73168.54,2026-03-23,Received
PO-100125,SUP-022,PN-10021,2026-02-01,1417,895.79,1269327.93,2026-03-01,Late
PO-100126,SUP-024,PN-10233,2025-11-01,326,281.32,91711.33,2025-12-21,Received
PO-100127,SUP-017,PN-10086,2024-12-01,1856,200.66,372431.15,2025-01-18,Received
PO-100128,SUP-056,PN-10195,2026-07-01,1487,571.18,849347.51,2026-08-05,Received
PO-100129,SUP-029,PN-10168,2026-03-01,1220,263.6,321597.67,2026-03-22,Received
PO-100130,SUP-060,PN-10129,2025-05-01,1300,218.77,284397.98,2025-05-27,Open
PO-100131,SUP-001,PN-10070,2024-11-01,1494,728.2,1087937.16,2024-12-17,Received
PO-100132,SUP-010,PN-10219,2024-09-01,1979,687.21,1359985.06,2024-10-13,Received
PO-100133,SUP-009,PN-10218,2024-10-01,1662,533.87,887291.59,2024-11-13,Received
PO-100134,SUP-042,PN-10181,2024-08-01,891,82.2,73242.56,2024-08-15,Open
PO-100135,SUP-016,PN-10155,2024-11-01,1437,487.38,700366.82,2024-11-18,Received
PO-100136,SUP-059,PN-10128,2024-09-01,729,634.24,462363.92,2024-09-18,Open
PO-100137,SUP-026,PN-10095,2024-10-01,57,414.37,23618.98,2024-10-26,Received
PO-100138,SUP-003,PN-10212,2025-07-01,941,627.36,590345.27,2025-08-11,Received
PO-100139,SUP-007,PN-10146,2024-12-01,772,393.86,304059.0,2025-01-15,Received
PO-100140,SUP-005,PN-10004,2025-07-01,1992,80.05,159465.9,2025-08-16,Late
PO-100141,SUP-030,PN-10099,2026-02-01,742,545.04,404422.74,2026-02-23,Late
PO-100142,SUP-054,PN-10193,2025-12-01,1074,39.88,42836.24,2025-12-31,Open
PO-100143,SUP-057,PN-10196,2025-09-01,1599,572.62,915626.99,2025-10-06,Received
PO-100144,SUP-020,PN-10229,2025-02-01,1031,568.21,585829.21,2025-02-17,Received
PO-100145,SUP-013,PN-10152,2026-03-01,323,781.33,252370.73,2026-04-05,Open
PO-100146,SUP-037,PN-10176,2025-01-01,129,106.21,13701.62,2025-01-30,Received
PO-100147,SUP-060,PN-10199,2026-01-01,1270,58.93,74847.18,2026-02-06,Late
PO-100148,SUP-005,PN-10004,2025-05-01,660,79.23,52295.05,2025-06-29,Open
PO-100149,SUP-014,PN-10153,2026-02-01,104,532.21,55350.13,2026-03-21,Received
PO-100150,SUP-026,PN-10025,2025-12-01,292,70.84,20684.79,2025-12-18,Open
PO-100151,SUP-058,PN-10197,2025-05-01,1238,113.94,141060.69,2025-05-16,Received
PO-100152,SUP-020,PN-10159,2025-07-01,1728,523.69,904933.66,2025-07-22,Received
PO-100153,SUP-058,PN-10197,2026-06-01,1004,110.37,110815.06,2026-06-16,Late
PO-100154,SUP-041,PN-10180,2025-06-01,1669,725.04,1210098.21,2025-06-23,Open
PO-100155,SUP-029,PN-10098,2026-01-01,660,747.34,493245.71,2026-03-01,Received
PO-100156,SUP-010,PN-10219,2025-03-01,1073,761.49,817074.53,2025-03-25,Open
PO-100157,SUP-067,PN-10136,2026-04-01,1522,971.77,1479033.33,2026-05-11,Received
PO-100158,SUP-064,PN-10203,2025-12-01,1302,79.03,102903.43,2026-01-11,Open
PO-100159,SUP-030,PN-10169,2024-12-01,524,184.66,96760.96,2024-12-22,Open
PO-100160,SUP-024,PN-10233,2024-09-01,555,286.06,158761.17,2024-10-20,Late
PO-100161,SUP-037,PN-10246,2025-04-01,898,73.76,66234.63,2025-05-01,Late
PO-100162,SUP-028,PN-10097,2025-02-01,573,777.39,445443.5,2025-02-27,Open
PO-100163,SUP-050,PN-10119,2025-07-01,1817,590.71,1073320.55,2025-07-15,Late
PO-100164,SUP-006,PN-10145,2025-01-01,407,861.83,350766.68,2025-02-13,Late
