ExceptionID,Type,SupplierID,AmountUSD,Status
S2P-0001,Duplicate Invoice,SUP-043,15863.93,Open
S2P-0002,Qty Mismatch,SUP-023,15452.12,Open
S2P-0003,Duplicate Invoice,SUP-056,34257.22,Open
S2P-0004,No PO,SUP-019,23620.43,Resolved
S2P-0005,Price Mismatch,SUP-054,29062.52,Open
S2P-0006,Duplicate Invoice,SUP-011,8406.36,Open
S2P-0007,Price Mismatch,SUP-018,36913.7,Open
S2P-0008,No PO,SUP-052,19008.17,Open
S2P-0009,Qty Mismatch,SUP-020,3627.82,Open
S2P-0010,No PO,SUP-025,7587.74,Open
S2P-0011,Price Mismatch,SUP-022,17189.44,Open
S2P-0012,Qty Mismatch,SUP-028,21769.76,Resolved
S2P-0013,Price Mismatch,SUP-031,33515.27,Open
S2P-0014,No PO,SUP-029,25774.99,Open
S2P-0015,No PO,SUP-028,8923.07,Resolved
S2P-0016,Qty Mismatch,SUP-054,16101.39,Resolved
S2P-0017,Qty Mismatch,SUP-057,6731.29,Resolved
S2P-0018,Qty Mismatch,SUP-058,29214.16,Open
S2P-0019,Price Mismatch,SUP-059,9960.86,Open
S2P-0020,Price Mismatch,SUP-063,26501.63,Open
S2P-0021,No PO,SUP-011,23364.13,Resolved
S2P-0022,Qty Mismatch,SUP-060,36584.86,Open
S2P-0023,Price Mismatch,SUP-044,8379.79,Open
S2P-0024,Qty Mismatch,SUP-063,7773.66,Open
S2P-0025,Price Mismatch,SUP-025,1317.54,Open
S2P-0026,Qty Mismatch,SUP-064,34096.97,Resolved
S2P-0027,Duplicate Invoice,SUP-013,13425.26,Open
S2P-0028,No PO,SUP-032,17711.67,Open
S2P-0029,Duplicate Invoice,SUP-025,30987.23,Open
S2P-0030,Duplicate Invoice,SUP-043,18885.26,Resolved
S2P-0031,No PO,SUP-049,22283.36,Open
S2P-0032,Qty Mismatch,SUP-020,13709.05,Resolved
S2P-0033,Price Mismatch,SUP-058,34956.97,Open
S2P-0034,Qty Mismatch,SUP-039,25632.69,Open
S2P-0035,Qty Mismatch,SUP-040,9905.36,Open
S2P-0036,No PO,SUP-004,38362.02,Resolved
S2P-0037,Duplicate Invoice,SUP-025,14829.81,Open
S2P-0038,Price Mismatch,SUP-013,31900.81,Open
S2P-0039,Qty Mismatch,SUP-065,30129.04,Open
S2P-0040,No PO,SUP-055,31556.52,Open
