CAPAID,OpenedDate,SupplierID,Category,Severity,Status,DaysOpen
CAPA-0001,2026-06-08,SUP-001,Process,Medium,Open,92
CAPA-0002,2026-06-13,SUP-001,Design,Medium,Open,83
CAPA-0003,2026-02-11,SUP-001,Design,Low,In Progress,86
CAPA-0004,2026-02-13,SUP-001,Supplier,Low,Open,69
CAPA-0005,2026-04-01,SUP-027,Design,Medium,Closed,96
CAPA-0006,2026-06-11,SUP-007,Design,Medium,Open,51
CAPA-0007,2026-04-11,SUP-024,Design,High,Open,51
CAPA-0008,2026-01-04,SUP-049,Design,Low,Open,81
CAPA-0009,2026-02-13,SUP-046,Design,Medium,Open,91
CAPA-0010,2026-02-14,SUP-026,Design,High,Open,86
CAPA-0011,2026-02-22,SUP-069,Process,High,Open,31
CAPA-0012,2026-04-10,SUP-024,Process,Low,Closed,44
CAPA-0013,2026-04-01,SUP-037,Design,Medium,Open,51
CAPA-0014,2026-03-20,SUP-063,Process,Low,Open,66
CAPA-0015,2026-04-22,SUP-019,Design,Medium,Closed,5
CAPA-0016,2026-04-16,SUP-014,Design,Low,Closed,32
CAPA-0017,2026-01-28,SUP-060,Supplier,Low,Closed,109
CAPA-0018,2026-04-05,SUP-011,Process,High,Closed,112
CAPA-0019,2026-03-17,SUP-025,Design,Low,Open,29
CAPA-0020,2026-04-17,SUP-067,Design,High,Closed,39
CAPA-0021,2026-02-04,SUP-068,Design,Medium,Open,117
CAPA-0022,2026-04-23,SUP-013,Design,Medium,Open,37
CAPA-0023,2026-02-28,SUP-043,Design,High,In Progress,42
CAPA-0024,2026-05-16,SUP-006,Supplier,Medium,Open,29
