Month,SiteID,DefectPPM,FirstPassYieldPct
2024-08-01,SITE-01,1079.0,97.8
2024-08-01,SITE-02,702.0,98.7
2024-08-01,SITE-03,628.0,95.6
2024-08-01,SITE-04,797.0,96.4
2024-09-01,SITE-01,1089.0,97.5
2024-09-01,SITE-02,758.0,94.6
2024-09-01,SITE-03,529.0,93.4
2024-09-01,SITE-04,974.0,92.4
2024-10-01,SITE-01,1146.0,92.7
2024-10-01,SITE-02,437.0,98.8
2024-10-01,SITE-03,491.0,93.6
2024-10-01,SITE-04,456.0,97.4
2024-11-01,SITE-01,751.0,95.4
2024-11-01,SITE-02,641.0,96.0
2024-11-01,SITE-03,886.0,96.7
2024-11-01,SITE-04,633.0,96.1
2024-12-01,SITE-01,655.0,92.7
2024-12-01,SITE-02,480.0,98.9
2024-12-01,SITE-03,558.0,97.5
2024-12-01,SITE-04,447.0,94.2
2025-01-01,SITE-01,1104.0,94.9
2025-01-01,SITE-02,1095.0,98.7
2025-01-01,SITE-03,646.0,96.4
2025-01-01,SITE-04,915.0,93.4
2025-02-01,SITE-01,919.0,94.6
2025-02-01,SITE-02,649.0,95.3
2025-02-01,SITE-03,536.0,93.5
2025-02-01,SITE-04,593.0,96.7
2025-03-01,SITE-01,930.0,93.6
2025-03-01,SITE-02,744.0,93.4
2025-03-01,SITE-03,1181.0,98.3
2025-03-01,SITE-04,1009.0,93.9
2025-04-01,SITE-01,1176.0,98.1
2025-04-01,SITE-02,1041.0,98.4
2025-04-01,SITE-03,1199.0,98.9
2025-04-01,SITE-04,1066.0,98.0
2025-05-01,SITE-01,536.0,94.9
2025-05-01,SITE-02,1011.0,96.7
2025-05-01,SITE-03,1028.0,98.3
2025-05-01,SITE-04,791.0,95.6
2025-06-01,SITE-01,741.0,97.4
2025-06-01,SITE-02,483.0,96.9
2025-06-01,SITE-03,660.0,92.4
2025-06-01,SITE-04,501.0,93.4
2025-07-01,SITE-01,823.0,96.4
2025-07-01,SITE-02,1003.0,98.9
2025-07-01,SITE-03,828.0,98.6
2025-07-01,SITE-04,420.0,95.2
2025-08-01,SITE-01,986.0,98.7
2025-08-01,SITE-02,894.0,96.9
2025-08-01,SITE-03,903.0,93.5
2025-08-01,SITE-04,871.0,97.9
2025-09-01,SITE-01,834.0,96.3
2025-09-01,SITE-02,684.0,93.5
2025-09-01,SITE-03,493.0,95.9
2025-09-01,SITE-04,1029.0,93.9
2025-10-01,SITE-01,633.0,95.5
2025-10-01,SITE-02,1125.0,97.5
2025-10-01,SITE-03,430.0,93.1
2025-10-01,SITE-04,907.0,96.5
2025-11-01,SITE-01,610.0,94.5
2025-11-01,SITE-02,662.0,93.7
2025-11-01,SITE-03,1003.0,98.1
2025-11-01,SITE-04,519.0,98.3
2025-12-01,SITE-01,749.0,95.3
2025-12-01,SITE-02,1073.0,97.3
2025-12-01,SITE-03,746.0,96.5
2025-12-01,SITE-04,515.0,92.3
2026-01-01,SITE-01,901.0,93.4
2026-01-01,SITE-02,1001.0,97.5
2026-01-01,SITE-03,958.0,98.9
2026-01-01,SITE-04,785.0,92.5
2026-02-01,SITE-01,1604.0,92.1
2026-02-01,SITE-02,556.0,95.2
2026-02-01,SITE-03,990.0,97.2
2026-02-01,SITE-04,655.0,98.8
2026-03-01,SITE-01,844.0,96.1
2026-03-01,SITE-02,1192.0,94.3
2026-03-01,SITE-03,978.0,95.5
2026-03-01,SITE-04,832.0,95.4
2026-04-01,SITE-01,1256.0,98.4
2026-04-01,SITE-02,910.0,94.0
2026-04-01,SITE-03,1144.0,95.4
2026-04-01,SITE-04,425.0,94.3
2026-05-01,SITE-01,1122.0,96.8
2026-05-01,SITE-02,408.0,94.3
2026-05-01,SITE-03,651.0,98.0
2026-05-01,SITE-04,598.0,95.5
2026-06-01,SITE-01,1012.0,97.6
2026-06-01,SITE-02,886.0,92.8
2026-06-01,SITE-03,541.0,98.3
2026-06-01,SITE-04,846.0,94.3
2026-07-01,SITE-01,1695.0,96.8
2026-07-01,SITE-02,615.0,92.0
2026-07-01,SITE-03,491.0,95.5
2026-07-01,SITE-04,1022.0,95.4
