FAIID,PartID,SupplierID,Date,Result
FAI-0001,PN-10243,SUP-053,2026-05-08,Pass
FAI-0002,PN-10063,SUP-069,2026-02-20,Pass
FAI-0003,PN-10186,SUP-069,2026-01-27,Pass
FAI-0004,PN-10157,SUP-040,2026-01-02,Pass
FAI-0005,PN-10071,SUP-029,2026-04-24,Pass
FAI-0006,PN-10105,SUP-068,2026-05-15,Pass
FAI-0007,PN-10037,SUP-068,2026-05-04,Pass
FAI-0008,PN-10009,SUP-009,2026-01-27,Fail
FAI-0009,PN-10031,SUP-008,2026-06-06,Pass
FAI-0010,PN-10042,SUP-069,2026-05-01,Pass
FAI-0011,PN-10247,SUP-059,2026-02-25,Pass
FAI-0012,PN-10042,SUP-051,2026-03-23,Fail
FAI-0013,PN-10052,SUP-059,2026-05-09,Pass
FAI-0014,PN-10000,SUP-024,2026-01-05,Pass
FAI-0015,PN-10039,SUP-003,2026-06-18,Pass
FAI-0016,PN-10020,SUP-018,2026-02-10,Fail
FAI-0017,PN-10160,SUP-021,2026-04-17,Pass
FAI-0018,PN-10135,SUP-055,2026-05-17,Fail
FAI-0019,PN-10047,SUP-019,2026-04-09,Fail
FAI-0020,PN-10102,SUP-045,2026-05-07,Pass
FAI-0021,PN-10169,SUP-044,2026-01-06,Pass
FAI-0022,PN-10033,SUP-018,2026-05-20,Pass
FAI-0023,PN-10226,SUP-024,2026-02-07,Pass
FAI-0024,PN-10129,SUP-020,2026-01-04,Pass
FAI-0025,PN-10217,SUP-032,2026-02-10,Pass
FAI-0026,PN-10213,SUP-042,2026-06-07,Fail
FAI-0027,PN-10074,SUP-022,2026-05-03,Pass
FAI-0028,PN-10071,SUP-056,2026-03-12,Pass
FAI-0029,PN-10224,SUP-048,2026-03-02,Pass
FAI-0030,PN-10146,SUP-007,2026-02-18,Pass
