NCRID,Date,SiteID,WorkCenterID,PartID,SupplierID,DefectType,Qty,Disposition
NCR-0001,2025-09-08,SITE-04,WC-009,PN-10087,SUP-011,Material,43,Use As Is
NCR-0002,2025-08-25,SITE-03,WC-003,PN-10073,SUP-044,Material,60,Scrap
NCR-0003,2024-08-19,SITE-04,WC-004,PN-10154,,Dimensional,26,Return to Supplier
NCR-0004,2026-02-16,SITE-02,WC-011,PN-10150,SUP-065,Cosmetic,28,Rework
NCR-0005,2025-01-13,SITE-04,WC-001,PN-10051,,Cosmetic,43,Scrap
NCR-0006,2025-07-14,SITE-02,WC-012,PN-10075,,Assembly,50,Scrap
NCR-0007,2026-06-29,SITE-03,WC-007,PN-10099,SUP-050,Cosmetic,38,Use As Is
NCR-0008,2026-04-06,SITE-01,WC-004,PN-10153,,Documentation,53,Return to Supplier
NCR-0009,2024-08-19,SITE-03,WC-008,PN-10133,,Cosmetic,52,Use As Is
NCR-0010,2026-06-29,SITE-01,WC-006,PN-10132,,Material,56,Use As Is
NCR-0011,2026-06-29,SITE-02,WC-011,PN-10042,SUP-018,Documentation,32,Return to Supplier
NCR-0012,2025-11-24,SITE-01,WC-006,PN-10159,,Assembly,60,Rework
NCR-0013,2024-10-07,SITE-01,WC-010,PN-10165,,Material,30,Scrap
NCR-0014,2025-04-21,SITE-04,WC-001,PN-10211,,Dimensional,51,Use As Is
NCR-0015,2025-06-23,SITE-02,WC-012,PN-10030,,Assembly,45,Return to Supplier
NCR-0016,2024-09-16,SITE-02,WC-010,PN-10194,,Assembly,47,Return to Supplier
NCR-0017,2026-04-06,SITE-04,WC-011,PN-10183,,Material,22,Rework
NCR-0018,2024-08-05,SITE-04,WC-002,PN-10016,SUP-022,Material,9,Rework
NCR-0019,2024-12-30,SITE-04,WC-007,PN-10226,,Cosmetic,27,Use As Is
NCR-0020,2025-03-24,SITE-01,WC-006,PN-10130,,Dimensional,1,Rework
NCR-0021,2024-07-15,SITE-01,WC-011,PN-10036,,Cosmetic,48,Rework
NCR-0022,2024-08-05,SITE-01,WC-009,PN-10067,,Cosmetic,37,Return to Supplier
NCR-0023,2024-12-02,SITE-02,WC-010,PN-10059,,Dimensional,29,Return to Supplier
NCR-0024,2024-10-28,SITE-02,WC-011,PN-10088,,Dimensional,24,Return to Supplier
NCR-0025,2025-12-29,SITE-03,WC-011,PN-10183,SUP-001,Documentation,42,Return to Supplier
NCR-0026,2025-11-17,SITE-03,WC-010,PN-10081,SUP-048,Dimensional,2,Rework
NCR-0027,2026-01-26,SITE-03,WC-001,PN-10069,SUP-001,Documentation,3,Rework
NCR-0028,2025-04-07,SITE-03,WC-002,PN-10168,,Cosmetic,55,Scrap
NCR-0029,2025-09-01,SITE-04,WC-007,PN-10131,SUP-001,Cosmetic,34,Use As Is
NCR-0030,2026-01-05,SITE-01,WC-007,PN-10173,SUP-001,Assembly,59,Rework
NCR-0031,2026-01-26,SITE-02,WC-002,PN-10112,SUP-034,Dimensional,24,Scrap
NCR-0032,2026-01-26,SITE-02,WC-008,PN-10142,,Cosmetic,60,Scrap
NCR-0033,2025-05-26,SITE-02,WC-006,PN-10172,SUP-001,Documentation,22,Rework
NCR-0034,2024-08-12,SITE-02,WC-005,PN-10228,,Cosmetic,45,Scrap
NCR-0035,2025-12-15,SITE-04,WC-011,PN-10077,,Cosmetic,14,Rework
NCR-0036,2025-09-22,SITE-04,WC-009,PN-10126,,Material,16,Return to Supplier
NCR-0037,2025-08-11,SITE-03,WC-007,PN-10088,,Material,17,Use As Is
NCR-0038,2025-01-27,SITE-04,WC-007,PN-10133,SUP-001,Documentation,43,Use As Is
NCR-0039,2024-11-25,SITE-04,WC-010,PN-10101,SUP-001,Dimensional,38,Use As Is
NCR-0040,2026-03-23,SITE-02,WC-006,PN-10108,,Assembly,10,Return to Supplier
NCR-0041,2024-07-29,SITE-02,WC-001,PN-10242,SUP-001,Dimensional,59,Rework
NCR-0042,2026-06-29,SITE-01,WC-008,PN-10170,SUP-001,Documentation,5,Return to Supplier
NCR-0043,2026-01-19,SITE-04,WC-001,PN-10018,SUP-001,Documentation,11,Scrap
NCR-0044,2025-03-10,SITE-04,WC-002,PN-10091,,Assembly,41,Use As Is
NCR-0045,2024-09-30,SITE-02,WC-006,PN-10061,,Documentation,6,Use As Is
NCR-0046,2025-09-22,SITE-04,WC-006,PN-10157,SUP-067,Material,12,Use As Is
NCR-0047,2025-01-27,SITE-04,WC-007,PN-10116,,Dimensional,27,Return to Supplier
NCR-0048,2026-05-25,SITE-04,WC-008,PN-10169,,Cosmetic,30,Rework
NCR-0049,2026-06-01,SITE-03,WC-010,PN-10183,,Material,50,Return to Supplier
NCR-0050,2026-06-29,SITE-01,WC-012,PN-10065,,Dimensional,7,Scrap
