SupplierID,SupplierName,OnTimeDeliveryPct,DefectPPM,QualityScore,Rating
SUP-001,Apex Metalworks,82.5,5394.0,32.6,At Risk
SUP-002,Cardinal Components,82.7,321.0,96.0,Approved
SUP-003,Delta Forge,91.8,263.0,96.7,Approved
SUP-004,Evergreen Alloys,88.6,1416.0,82.3,Approved
SUP-005,Frontier Fasteners,84.1,1134.0,85.8,Approved
SUP-006,Granite Precision,96.4,677.0,91.5,Approved
SUP-007,Harbor Electronics,96.4,1489.0,81.4,Approved
SUP-008,Ironwood Composites,82.5,952.0,88.1,Approved
SUP-009,Juniper Coatings,97.9,992.0,87.6,Approved
SUP-010,Keystone Bearings,92.5,262.0,96.7,Approved
SUP-011,Lakeside Seals,96.4,1386.0,82.7,Approved
SUP-012,Monarch Machining,90.0,833.0,89.6,Approved
SUP-013,Northstar Wire,82.6,1386.0,82.7,Approved
SUP-014,Orchard Plastics,88.6,982.0,87.7,Approved
SUP-015,Pinnacle Castings,83.8,1025.0,87.2,Approved
SUP-016,Quartz Sensors,92.6,1220.0,84.7,Approved
SUP-017,Redwood Rubber,86.9,1151.0,85.6,Approved
SUP-018,Summit Sheetmetal,90.1,1203.0,85.0,Approved
SUP-019,Titan Tooling,83.1,393.0,95.1,Approved
SUP-020,Vertex Valves,94.8,794.0,90.1,Approved
SUP-021,Supplier 021 LLC,85.8,1231.0,84.6,Approved
SUP-022,Supplier 022 LLC,86.5,246.0,96.9,Approved
SUP-023,Supplier 023 LLC,88.7,640.0,92.0,Approved
SUP-024,Supplier 024 LLC,85.5,439.0,94.5,Approved
SUP-025,Supplier 025 LLC,85.7,1383.0,82.7,Approved
SUP-026,Supplier 026 LLC,91.4,671.0,91.6,Approved
SUP-027,Supplier 027 LLC,94.7,1090.0,86.4,Approved
SUP-028,Supplier 028 LLC,91.9,950.0,88.1,Approved
SUP-029,Supplier 029 LLC,94.3,1139.0,85.8,Approved
SUP-030,Supplier 030 LLC,97.4,1313.0,83.6,Approved
SUP-031,Supplier 031 LLC,96.2,334.0,95.8,Approved
SUP-032,Supplier 032 LLC,97.2,538.0,93.3,Approved
SUP-033,Supplier 033 LLC,89.6,1258.0,84.3,Approved
SUP-034,Supplier 034 LLC,98.3,714.0,91.1,Approved
SUP-035,Supplier 035 LLC,84.5,416.0,94.8,Approved
SUP-036,Supplier 036 LLC,93.2,470.0,94.1,Approved
SUP-037,Supplier 037 LLC,97.1,959.0,88.0,Approved
SUP-038,Supplier 038 LLC,89.6,1038.0,87.0,Approved
SUP-039,Supplier 039 LLC,95.0,243.0,97.0,Approved
SUP-040,Supplier 040 LLC,98.5,649.0,91.9,Approved
SUP-041,Supplier 041 LLC,90.1,964.0,87.9,Approved
SUP-042,Supplier 042 LLC,97.4,211.0,97.4,Approved
SUP-043,Supplier 043 LLC,94.3,1311.0,83.6,Approved
SUP-044,Supplier 044 LLC,98.9,1202.0,85.0,Approved
SUP-045,Supplier 045 LLC,90.0,1411.0,82.4,Approved
SUP-046,Supplier 046 LLC,88.7,1104.0,86.2,Approved
SUP-047,Supplier 047 LLC,89.9,691.0,91.4,Approved
SUP-048,Supplier 048 LLC,94.5,511.0,93.6,Approved
SUP-049,Supplier 049 LLC,91.7,838.0,89.5,Approved
SUP-050,Supplier 050 LLC,97.4,1318.0,83.5,Approved
SUP-051,Supplier 051 LLC,95.4,355.0,95.6,Approved
SUP-052,Supplier 052 LLC,96.5,1287.0,83.9,Approved
SUP-053,Supplier 053 LLC,85.6,1121.0,86.0,Approved
SUP-054,Supplier 054 LLC,91.0,688.0,91.4,Approved
SUP-055,Supplier 055 LLC,95.0,652.0,91.8,Approved
SUP-056,Supplier 056 LLC,92.4,1065.0,86.7,Approved
SUP-057,Supplier 057 LLC,88.8,612.0,92.4,Approved
SUP-058,Supplier 058 LLC,85.1,1329.0,83.4,Approved
SUP-059,Supplier 059 LLC,93.6,507.0,93.7,Approved
SUP-060,Supplier 060 LLC,94.3,1168.0,85.4,Approved
SUP-061,Supplier 061 LLC,96.8,1123.0,86.0,Approved
SUP-062,Supplier 062 LLC,95.5,1224.0,84.7,Approved
SUP-063,Supplier 063 LLC,96.7,1210.0,84.9,Approved
SUP-064,Supplier 064 LLC,91.9,826.0,89.7,Approved
SUP-065,Supplier 065 LLC,82.6,1154.0,85.6,Approved
SUP-066,Supplier 066 LLC,84.2,910.0,88.6,Approved
SUP-067,Supplier 067 LLC,98.0,368.0,95.4,Approved
SUP-068,Supplier 068 LLC,85.2,974.0,87.8,Approved
SUP-069,Supplier 069 LLC,83.5,1450.0,81.9,Approved
SUP-070,Supplier 070 LLC,95.0,732.0,90.8,Approved
