Month,BacklogUSD,CoverageMonths
2026-01-01,5745994.56,0.9
2026-02-01,4799689.04,0.7
2026-03-01,3870566.73,0.6
2026-04-01,2596526.66,0.4
2026-05-01,1761079.81,0.3
2026-06-01,1482075.99,0.2
2026-07-01,1021465.2,0.2
2026-08-01,1548058.71,0.3
2026-09-01,1647285.11,0.3
2026-10-01,2153435.49,0.4
2026-11-01,2126009.38,0.4
2026-12-01,1724981.3,0.3
2027-01-01,1311524.91,0.2
2027-02-01,893185.17,0.2
2027-03-01,1063443.97,0.2
2027-04-01,1424525.97,0.2
2027-05-01,1386490.34,0.2
2027-06-01,1249921.13,0.2
2027-07-01,1688944.23,0.3
2027-08-01,2210210.16,0.4
2027-09-01,2075660.84,0.4
2027-10-01,1642150.92,0.3
2027-11-01,1771675.86,0.3
2027-12-01,2263652.34,0.4
