Month,Scenario,BookingsUSD,BookToBill
2026-01-01,Plan,5881652.35,0.91
2026-02-01,Plan,5601792.58,0.86
2026-03-01,Plan,5855180.8,0.86
2026-04-01,Plan,5445194.49,0.81
2026-05-01,Plan,5973103.48,0.88
2026-06-01,Plan,6147992.0,0.96
2026-07-01,Plan,5904085.47,0.93
2026-08-01,Plan,6325210.25,1.09
2026-09-01,Plan,5897843.14,1.02
2026-10-01,Plan,6304767.12,1.09
2026-11-01,Plan,5771190.62,1.0
2026-12-01,Plan,5397588.66,0.93
2027-01-01,Plan,5385160.35,0.93
2027-02-01,Plan,5380276.99,0.93
2027-03-01,Plan,5968875.54,1.03
2027-04-01,Plan,6159698.74,1.06
2027-05-01,Plan,5760581.11,0.99
2027-06-01,Plan,5662047.52,0.98
2027-07-01,Plan,6237639.84,1.08
2027-08-01,Plan,6319882.67,1.09
2027-09-01,Plan,5664067.42,0.98
2027-10-01,Plan,5365106.81,0.93
2027-11-01,Plan,5928141.68,1.02
2027-12-01,Plan,6290593.22,1.08
