Month,ProgramID,Customer,RevenueUSD,Units
2024-08-01,PGM-001,Northwind Aerospace,864781.82,396
2024-09-01,PGM-001,Northwind Aerospace,822053.24,379
2024-10-01,PGM-001,Northwind Aerospace,944502.77,639
2024-11-01,PGM-001,Northwind Aerospace,959452.77,422
2024-12-01,PGM-001,Northwind Aerospace,918596.96,1142
2025-01-01,PGM-001,Northwind Aerospace,879696.28,645
2025-02-01,PGM-001,Northwind Aerospace,895114.88,381
2025-03-01,PGM-001,Northwind Aerospace,963322.25,410
2025-04-01,PGM-001,Northwind Aerospace,954866.24,740
2025-05-01,PGM-001,Northwind Aerospace,906331.67,1053
2025-06-01,PGM-001,Northwind Aerospace,867178.9,500
2025-07-01,PGM-001,Northwind Aerospace,855147.0,408
2025-08-01,PGM-001,Northwind Aerospace,863321.1,910
2025-09-01,PGM-001,Northwind Aerospace,955165.28,797
2025-10-01,PGM-001,Northwind Aerospace,1000330.43,405
2025-11-01,PGM-001,Northwind Aerospace,1059096.91,1312
2025-12-01,PGM-001,Northwind Aerospace,1051126.06,768
2026-01-01,PGM-001,Northwind Aerospace,945538.73,438
2026-02-01,PGM-001,Northwind Aerospace,997936.16,593
2026-03-01,PGM-001,Northwind Aerospace,1011493.37,640
2026-04-01,PGM-001,Northwind Aerospace,1055143.65,883
2026-05-01,PGM-001,Northwind Aerospace,1036517.57,1152
2026-06-01,PGM-001,Northwind Aerospace,1001542.03,601
2026-07-01,PGM-001,Northwind Aerospace,976388.96,558
2024-08-01,PGM-002,Cascade Defense Systems,673588.14,280
2024-09-01,PGM-002,Cascade Defense Systems,769524.72,342
2024-10-01,PGM-002,Cascade Defense Systems,756569.98,376
2024-11-01,PGM-002,Cascade Defense Systems,795434.67,456
2024-12-01,PGM-002,Cascade Defense Systems,799606.8,485
2025-01-01,PGM-002,Cascade Defense Systems,708782.33,355
2025-02-01,PGM-002,Cascade Defense Systems,815712.81,361
2025-03-01,PGM-002,Cascade Defense Systems,768302.5,608
2025-04-01,PGM-002,Cascade Defense Systems,784929.68,768
2025-05-01,PGM-002,Cascade Defense Systems,780903.5,793
2025-06-01,PGM-002,Cascade Defense Systems,750940.04,567
2025-07-01,PGM-002,Cascade Defense Systems,691460.37,368
2025-08-01,PGM-002,Cascade Defense Systems,757835.3,627
2025-09-01,PGM-002,Cascade Defense Systems,772387.0,481
2025-10-01,PGM-002,Cascade Defense Systems,767909.25,322
2025-11-01,PGM-002,Cascade Defense Systems,836809.69,542
2025-12-01,PGM-002,Cascade Defense Systems,779685.07,344
2026-01-01,PGM-002,Cascade Defense Systems,806829.34,383
2026-02-01,PGM-002,Cascade Defense Systems,815604.36,338
