part_id,product_id,description,unit_cost,qty_per_unit,supplier_id
PT0001,P009,Component PT0001 for P009,173.43,6,SUP004
PT0002,P005,Component PT0002 for P005,90.55,9,SUP013
PT0003,P010,Component PT0003 for P010,169.86,2,SUP014
PT0004,P009,Component PT0004 for P009,222.89,2,SUP005
PT0005,P001,Component PT0005 for P001,125.24,1,SUP002
PT0006,P001,Component PT0006 for P001,101.53,10,SUP022
PT0007,P002,Component PT0007 for P002,237.81,6,SUP017
PT0008,P006,Component PT0008 for P006,232.09,4,SUP019
PT0009,P003,Component PT0009 for P003,216.44,5,SUP009
PT0010,P006,Component PT0010 for P006,89.95,7,SUP011
PT0011,P003,Component PT0011 for P003,54.21,3,SUP004
PT0012,P005,Component PT0012 for P005,186.15,9,SUP020
PT0013,P005,Component PT0013 for P005,70.99,2,SUP007
PT0014,P010,Component PT0014 for P010,200.72,10,SUP019
PT0015,P006,Component PT0015 for P006,164.5,8,SUP013
PT0016,P010,Component PT0016 for P010,150.52,4,SUP002
PT0017,P004,Component PT0017 for P004,138.58,6,SUP014
PT0018,P010,Component PT0018 for P010,82.8,1,SUP016
PT0019,P001,Component PT0019 for P001,88.28,11,SUP022
PT0020,P007,Component PT0020 for P007,150.04,12,SUP003
PT0021,P001,Component PT0021 for P001,210.11,4,SUP014
PT0022,P002,Component PT0022 for P002,163.22,2,SUP005
PT0023,P009,Component PT0023 for P009,213.12,5,SUP002
PT0024,P009,Component PT0024 for P009,162.56,2,SUP015
PT0025,P004,Component PT0025 for P004,245.4,11,SUP013
PT0026,P010,Component PT0026 for P010,199.01,4,SUP017
PT0027,P003,Component PT0027 for P003,18.71,6,SUP005
PT0028,P009,Component PT0028 for P009,111.04,9,SUP019
PT0029,P010,Component PT0029 for P010,189.79,10,SUP013
PT0030,P003,Component PT0030 for P003,127.07,4,SUP001
PT0031,P003,Component PT0031 for P003,138.8,1,SUP012
PT0032,P003,Component PT0032 for P003,20.07,6,SUP002
PT0033,P006,Component PT0033 for P006,96.76,1,SUP018
PT0034,P004,Component PT0034 for P004,186.4,10,SUP004
PT0035,P003,Component PT0035 for P003,163.67,1,SUP009
PT0036,P009,Component PT0036 for P009,89.44,9,SUP019
PT0037,P007,Component PT0037 for P007,82.5,10,SUP018
PT0038,P002,Component PT0038 for P002,137.66,5,SUP009
PT0039,P001,Component PT0039 for P001,149.17,4,SUP018
PT0040,P007,Component PT0040 for P007,89.27,5,SUP015
PT0041,P002,Component PT0041 for P002,156.12,3,SUP016
PT0042,P001,Component PT0042 for P001,172.3,6,SUP009
PT0043,P009,Component PT0043 for P009,115.15,9,SUP016
PT0044,P001,Component PT0044 for P001,85.06,7,SUP005
PT0045,P004,Component PT0045 for P004,8.32,12,SUP002
PT0046,P006,Component PT0046 for P006,99.04,1,SUP019
PT0047,P005,Component PT0047 for P005,69.15,7,SUP004
PT0048,P006,Component PT0048 for P006,4.11,2,SUP005
PT0049,P004,Component PT0049 for P004,229.37,1,SUP014
PT0050,P007,Component PT0050 for P007,157.65,7,SUP014
PT0051,P001,Component PT0051 for P001,211.84,6,SUP001
PT0052,P006,Component PT0052 for P006,154.97,9,SUP012
PT0053,P006,Component PT0053 for P006,174.51,7,SUP011
PT0054,P008,Component PT0054 for P008,135.15,10,SUP007
PT0055,P008,Component PT0055 for P008,143.87,4,SUP019
PT0056,P002,Component PT0056 for P002,231.8,5,SUP016
PT0057,P005,Component PT0057 for P005,57.6,3,SUP019
PT0058,P010,Component PT0058 for P010,11.85,4,SUP011
PT0059,P003,Component PT0059 for P003,22.04,10,SUP024
PT0060,P007,Component PT0060 for P007,202.29,1,SUP019
PT0061,P002,Component PT0061 for P002,8.19,8,SUP014
PT0062,P005,Component PT0062 for P005,125.03,5,SUP006
PT0063,P005,Component PT0063 for P005,169.38,4,SUP006
PT0064,P002,Component PT0064 for P002,26.53,11,SUP019
PT0065,P001,Component PT0065 for P001,34.0,11,SUP014
PT0066,P003,Component PT0066 for P003,59.79,8,SUP007
PT0067,P009,Component PT0067 for P009,28.6,4,SUP008
PT0068,P001,Component PT0068 for P001,153.6,9,SUP008
PT0069,P002,Component PT0069 for P002,249.18,6,SUP006
PT0070,P004,Component PT0070 for P004,123.46,1,SUP007
PT0071,P005,Component PT0071 for P005,97.39,4,SUP024
PT0072,P003,Component PT0072 for P003,129.47,5,SUP021
PT0073,P003,Component PT0073 for P003,201.08,7,SUP011
PT0074,P007,Component PT0074 for P007,241.16,9,SUP013
PT0075,P007,Component PT0075 for P007,190.46,1,SUP024
PT0076,P006,Component PT0076 for P006,230.16,1,SUP002
PT0077,P001,Component PT0077 for P001,179.31,9,SUP019
PT0078,P006,Component PT0078 for P006,230.31,12,SUP025
PT0079,P004,Component PT0079 for P004,136.8,6,SUP016
PT0080,P006,Component PT0080 for P006,216.49,1,SUP003
