ecr_id,project_id,date,type,description,status,cost_impact
ECR0001,EPRJ-005,2025-07-05,Supplier Change,ECR for EPRJ-005: drawing update required,Under Review,2100.0
ECR0002,EPRJ-003,2024-04-18,Process Change,ECR for EPRJ-003: process change required,Implemented,32900.0
ECR0003,EPRJ-008,2025-04-27,Design Change,ECR for EPRJ-008: process change required,Open,9000.0
ECR0004,EPRJ-004,2026-02-26,Design Change,ECR for EPRJ-004: material substitution required,Approved,-1700.0
ECR0005,EPRJ-007,2025-01-17,Drawing Update,ECR for EPRJ-007: process change required,Rejected,-2300.0
ECR0006,EPRJ-007,2025-12-07,Supplier Change,ECR for EPRJ-007: drawing update required,Approved,32300.0
ECR0007,EPRJ-005,2025-05-05,Design Change,ECR for EPRJ-005: material substitution required,Approved,39200.0
ECR0008,EPRJ-002,2024-06-18,Material Substitution,ECR for EPRJ-002: supplier change required,Under Review,12000.0
ECR0009,EPRJ-005,2026-06-03,Design Change,ECR for EPRJ-005: drawing update required,Approved,36600.0
ECR0010,EPRJ-008,2026-04-26,Supplier Change,ECR for EPRJ-008: supplier change required,Rejected,39900.0
ECR0011,EPRJ-007,2026-05-09,Drawing Update,ECR for EPRJ-007: material substitution required,Open,14100.0
ECR0012,EPRJ-007,2026-04-17,Design Change,ECR for EPRJ-007: material substitution required,Implemented,19900.0
ECR0013,EPRJ-004,2024-08-07,Drawing Update,ECR for EPRJ-004: drawing update required,Rejected,43900.0
ECR0014,EPRJ-005,2024-11-14,Design Change,ECR for EPRJ-005: supplier change required,Approved,37300.0
ECR0015,EPRJ-004,2025-08-22,Design Change,ECR for EPRJ-004: design change required,Implemented,18500.0
ECR0016,EPRJ-003,2025-12-22,Design Change,ECR for EPRJ-003: material substitution required,Approved,-2300.0
ECR0017,EPRJ-001,2025-09-29,Process Change,ECR for EPRJ-001: supplier change required,Under Review,31800.0
ECR0018,EPRJ-008,2026-01-23,Drawing Update,ECR for EPRJ-008: material substitution required,Under Review,29200.0
ECR0019,EPRJ-001,2024-08-04,Design Change,ECR for EPRJ-001: drawing update required,Rejected,-1000.0
ECR0020,EPRJ-007,2024-10-15,Process Change,ECR for EPRJ-007: design change required,Implemented,40100.0
ECR0021,EPRJ-005,2025-05-01,Supplier Change,ECR for EPRJ-005: drawing update required,Implemented,20400.0
ECR0022,EPRJ-008,2025-06-22,Process Change,ECR for EPRJ-008: process change required,Implemented,22500.0
ECR0023,EPRJ-008,2025-09-26,Process Change,ECR for EPRJ-008: drawing update required,Implemented,31600.0
ECR0024,EPRJ-008,2024-03-28,Supplier Change,ECR for EPRJ-008: design change required,Rejected,-100.0
ECR0025,EPRJ-005,2025-03-02,Supplier Change,ECR for EPRJ-005: design change required,Rejected,-1600.0
ECR0026,EPRJ-003,2026-03-30,Supplier Change,ECR for EPRJ-003: process change required,Open,6300.0
ECR0027,EPRJ-001,2025-07-05,Material Substitution,ECR for EPRJ-001: material substitution required,Rejected,38000.0
ECR0028,EPRJ-007,2025-02-05,Drawing Update,ECR for EPRJ-007: supplier change required,Implemented,21000.0
ECR0029,EPRJ-005,2024-05-29,Material Substitution,ECR for EPRJ-005: material substitution required,Rejected,-4100.0
ECR0030,EPRJ-006,2024-03-02,Design Change,ECR for EPRJ-006: process change required,Under Review,27100.0
ECR0031,EPRJ-005,2024-04-06,Material Substitution,ECR for EPRJ-005: design change required,Rejected,-200.0
ECR0032,EPRJ-007,2025-01-17,Material Substitution,ECR for EPRJ-007: material substitution required,Approved,37200.0
ECR0033,EPRJ-003,2026-05-09,Supplier Change,ECR for EPRJ-003: process change required,Rejected,23100.0
ECR0034,EPRJ-007,2024-02-24,Supplier Change,ECR for EPRJ-007: drawing update required,Open,7400.0
ECR0035,EPRJ-001,2025-07-06,Supplier Change,ECR for EPRJ-001: material substitution required,Implemented,8500.0
ECR0036,EPRJ-008,2024-02-25,Process Change,ECR for EPRJ-008: material substitution required,Implemented,10100.0
ECR0037,EPRJ-007,2025-07-09,Design Change,ECR for EPRJ-007: material substitution required,Implemented,17200.0
ECR0038,EPRJ-008,2025-02-25,Material Substitution,ECR for EPRJ-008: design change required,Under Review,19500.0
ECR0039,EPRJ-006,2024-11-03,Drawing Update,ECR for EPRJ-006: design change required,Approved,26600.0
ECR0040,EPRJ-004,2026-05-21,Material Substitution,ECR for EPRJ-004: supplier change required,Under Review,1000.0
ECR0041,EPRJ-005,2025-07-25,Supplier Change,ECR for EPRJ-005: supplier change required,Approved,36200.0
ECR0042,EPRJ-004,2024-03-08,Design Change,ECR for EPRJ-004: design change required,Implemented,3900.0
ECR0043,EPRJ-006,2025-08-13,Process Change,ECR for EPRJ-006: design change required,Open,41100.0
ECR0044,EPRJ-003,2024-10-13,Drawing Update,ECR for EPRJ-003: design change required,Under Review,200.0
ECR0045,EPRJ-007,2026-01-03,Material Substitution,ECR for EPRJ-007: drawing update required,Under Review,7600.0
ECR0046,EPRJ-004,2024-03-20,Material Substitution,ECR for EPRJ-004: process change required,Open,5200.0
ECR0047,EPRJ-005,2026-06-24,Design Change,ECR for EPRJ-005: supplier change required,Implemented,26300.0
ECR0048,EPRJ-008,2026-06-11,Material Substitution,ECR for EPRJ-008: design change required,Rejected,36300.0
ECR0049,EPRJ-008,2025-09-12,Process Change,ECR for EPRJ-008: material substitution required,Implemented,37700.0
ECR0050,EPRJ-003,2024-04-10,Design Change,ECR for EPRJ-003: drawing update required,Under Review,-3200.0
ECR0051,EPRJ-008,2024-09-30,Material Substitution,ECR for EPRJ-008: design change required,Approved,22100.0
