project_id,month,budget,actual,variance
EPRJ-001,2025-01-01,21494,23053,1559
EPRJ-001,2025-02-01,20706,21931,1225
EPRJ-001,2025-03-01,20118,20003,-115
EPRJ-001,2025-04-01,20672,20133,-539
EPRJ-001,2025-05-01,21481,22847,1366
EPRJ-001,2025-06-01,21007,20969,-38
EPRJ-001,2025-07-01,21998,20664,-1334
EPRJ-001,2025-08-01,21931,23330,1399
EPRJ-001,2025-09-01,21790,22656,866
EPRJ-001,2025-10-01,21726,23005,1279
EPRJ-001,2025-11-01,21114,19753,-1361
EPRJ-001,2025-12-01,20572,21420,848
EPRJ-001,2026-01-01,21925,20949,-976
EPRJ-001,2026-02-01,21713,23064,1351
EPRJ-001,2026-03-01,21545,20500,-1045
EPRJ-001,2026-04-01,20757,21536,779
EPRJ-001,2026-05-01,21034,21053,19
EPRJ-001,2026-06-01,20857,22108,1251
EPRJ-002,2025-03-01,9677,8993,-684
EPRJ-002,2025-04-01,10040,10629,589
EPRJ-002,2025-05-01,9258,9583,325
EPRJ-002,2025-06-01,9607,9494,-113
EPRJ-002,2025-07-01,10146,10269,123
EPRJ-002,2025-08-01,9891,9130,-761
EPRJ-002,2025-09-01,10146,10490,344
EPRJ-002,2025-10-01,9651,10344,693
EPRJ-002,2025-11-01,9645,9824,179
EPRJ-002,2025-12-01,9598,10150,552
EPRJ-002,2026-01-01,9951,9371,-580
EPRJ-002,2026-02-01,9978,9586,-392
EPRJ-002,2026-03-01,9500,8903,-597
EPRJ-002,2026-04-01,9925,9233,-692
EPRJ-002,2026-05-01,9890,9121,-769
EPRJ-002,2026-06-01,9968,9585,-383
EPRJ-003,2025-06-01,12306,12346,40
EPRJ-003,2025-07-01,12240,11673,-567
EPRJ-003,2025-08-01,12324,12860,536
EPRJ-003,2025-09-01,11672,10748,-924
EPRJ-003,2025-10-01,11693,11993,300
EPRJ-003,2025-11-01,11801,12559,758
EPRJ-003,2025-12-01,12208,11988,-220
EPRJ-003,2026-01-01,11876,12612,736
EPRJ-003,2026-02-01,11760,13904,2144
EPRJ-003,2026-03-01,12438,15482,3044
EPRJ-003,2026-04-01,11788,13700,1912
EPRJ-003,2026-05-01,11727,14528,2801
EPRJ-003,2026-06-01,12597,15543,2946
EPRJ-004,2025-09-01,17835,19129,1294
EPRJ-004,2025-10-01,17281,18319,1038
EPRJ-004,2025-11-01,16582,16352,-230
EPRJ-004,2025-12-01,16366,17276,910
EPRJ-004,2026-01-01,18006,17906,-100
EPRJ-004,2026-02-01,16984,16769,-215
EPRJ-004,2026-03-01,16375,16405,30
EPRJ-004,2026-04-01,18023,17824,-199
EPRJ-004,2026-05-01,17118,18055,937
EPRJ-004,2026-06-01,17652,16596,-1056
EPRJ-005,2026-01-01,24078,24452,374
EPRJ-005,2026-02-01,23966,22542,-1424
EPRJ-005,2026-03-01,25046,23943,-1103
EPRJ-005,2026-04-01,25026,26656,1630
EPRJ-005,2026-05-01,26218,25814,-404
EPRJ-005,2026-06-01,24841,26008,1167
EPRJ-006,2025-04-01,5057,5420,363
EPRJ-006,2025-05-01,5120,4879,-241
EPRJ-006,2025-06-01,5460,5694,234
EPRJ-006,2025-07-01,5257,5080,-177
EPRJ-006,2025-08-01,5144,4929,-215
EPRJ-006,2025-09-01,5087,5471,384
EPRJ-006,2025-10-01,5407,5560,153
EPRJ-006,2025-11-01,5239,4973,-266
EPRJ-006,2025-12-01,5437,5300,-137
EPRJ-006,2026-01-01,5144,5137,-7
EPRJ-006,2026-02-01,5362,4987,-375
EPRJ-006,2026-03-01,5469,5800,331
EPRJ-006,2026-04-01,5183,5393,210
EPRJ-006,2026-05-01,5238,5468,230
EPRJ-006,2026-06-01,5072,4840,-232
EPRJ-007,2026-02-01,9610,11296,1686
EPRJ-007,2026-03-01,9596,11510,1914
EPRJ-007,2026-04-01,10035,11833,1798
EPRJ-007,2026-05-01,9672,11258,1586
EPRJ-007,2026-06-01,10238,13225,2987
EPRJ-008,2025-11-01,7613,7289,-324
EPRJ-008,2025-12-01,7649,7267,-382
EPRJ-008,2026-01-01,7609,7015,-594
EPRJ-008,2026-02-01,7757,8367,610
EPRJ-008,2026-03-01,7713,7879,166
EPRJ-008,2026-04-01,7782,7565,-217
EPRJ-008,2026-05-01,7624,7923,299
EPRJ-008,2026-06-01,7722,7494,-228
