dept,account_id,account_name,month,actual
Engineering,6000,Cost of Goods Sold,2026-01-01,250755
Engineering,6000,Cost of Goods Sold,2026-02-01,261665
Engineering,6000,Cost of Goods Sold,2026-03-01,258539
Engineering,6000,Cost of Goods Sold,2026-04-01,262624
Engineering,6000,Cost of Goods Sold,2026-05-01,259717
Engineering,6000,Cost of Goods Sold,2026-06-01,241426
Engineering,6100,Direct Materials,2026-01-01,109450
Engineering,6100,Direct Materials,2026-02-01,115272
Engineering,6100,Direct Materials,2026-03-01,116670
Engineering,6100,Direct Materials,2026-04-01,117130
Engineering,6100,Direct Materials,2026-05-01,116278
Engineering,6100,Direct Materials,2026-06-01,117354
Engineering,6200,Direct Labor,2026-01-01,74022
Engineering,6200,Direct Labor,2026-02-01,73319
Engineering,6200,Direct Labor,2026-03-01,73217
Engineering,6200,Direct Labor,2026-04-01,78134
Engineering,6200,Direct Labor,2026-05-01,73208
Engineering,6200,Direct Labor,2026-06-01,78751
Engineering,6300,Manufacturing Overhead,2026-01-01,41482
Engineering,6300,Manufacturing Overhead,2026-02-01,40840
Engineering,6300,Manufacturing Overhead,2026-03-01,40375
Engineering,6300,Manufacturing Overhead,2026-04-01,43295
Engineering,6300,Manufacturing Overhead,2026-05-01,40572
Engineering,6300,Manufacturing Overhead,2026-06-01,41070
Engineering,7000,Salaries & Benefits,2026-01-01,83526
Engineering,7000,Salaries & Benefits,2026-02-01,88023
Engineering,7000,Salaries & Benefits,2026-03-01,87493
Engineering,7000,Salaries & Benefits,2026-04-01,79845
Engineering,7000,Salaries & Benefits,2026-05-01,81667
Engineering,7000,Salaries & Benefits,2026-06-01,84528
Engineering,7100,Travel & Entertainment,2026-01-01,12904
Engineering,7100,Travel & Entertainment,2026-02-01,12923
Engineering,7100,Travel & Entertainment,2026-03-01,12380
Engineering,7100,Travel & Entertainment,2026-04-01,12047
Engineering,7100,Travel & Entertainment,2026-05-01,13080
Engineering,7100,Travel & Entertainment,2026-06-01,12746
Engineering,7200,Professional Services,2026-01-01,21237
Engineering,7200,Professional Services,2026-02-01,22022
Engineering,7200,Professional Services,2026-03-01,20633
Engineering,7200,Professional Services,2026-04-01,21418
Engineering,7200,Professional Services,2026-05-01,20410
Engineering,7200,Professional Services,2026-06-01,21220
Engineering,7300,Facilities,2026-01-01,24261
Engineering,7300,Facilities,2026-02-01,25706
Engineering,7300,Facilities,2026-03-01,26438
Engineering,7300,Facilities,2026-04-01,25183
Engineering,7300,Facilities,2026-05-01,25303
Engineering,7300,Facilities,2026-06-01,24159
Engineering,7400,Depreciation,2026-01-01,17463
Engineering,7400,Depreciation,2026-02-01,16158
Engineering,7400,Depreciation,2026-03-01,16611
Engineering,7400,Depreciation,2026-04-01,16545
Engineering,7400,Depreciation,2026-05-01,16040
Engineering,7400,Depreciation,2026-06-01,17598
Engineering,7500,IT & Software,2026-01-01,12680
Engineering,7500,IT & Software,2026-02-01,12511
Engineering,7500,IT & Software,2026-03-01,12128
Engineering,7500,IT & Software,2026-04-01,12512
Engineering,7500,IT & Software,2026-05-01,12499
Engineering,7500,IT & Software,2026-06-01,12468
Engineering,7600,Marketing,2026-01-01,12387
Engineering,7600,Marketing,2026-02-01,12186
Engineering,7600,Marketing,2026-03-01,13057
Engineering,7600,Marketing,2026-04-01,12667
