month,dept,headcount
2023-01-01,Engineering,38
2023-02-01,Engineering,37
2023-03-01,Engineering,38
2023-04-01,Engineering,37
2023-05-01,Engineering,38
2023-06-01,Engineering,39
2023-07-01,Engineering,38
2023-08-01,Engineering,39
2023-09-01,Engineering,39
2023-10-01,Engineering,38
2023-11-01,Engineering,39
2023-12-01,Engineering,38
2024-01-01,Engineering,41
2024-02-01,Engineering,40
2024-03-01,Engineering,41
2024-04-01,Engineering,39
2024-05-01,Engineering,40
2024-06-01,Engineering,40
2024-07-01,Engineering,40
2024-08-01,Engineering,41
2024-09-01,Engineering,39
2024-10-01,Engineering,41
2024-11-01,Engineering,41
2024-12-01,Engineering,40
2025-01-01,Engineering,43
2025-02-01,Engineering,43
2025-03-01,Engineering,41
2025-04-01,Engineering,43
2025-05-01,Engineering,41
2025-06-01,Engineering,42
2025-07-01,Engineering,41
2025-08-01,Engineering,41
2025-09-01,Engineering,42
2025-10-01,Engineering,41
2025-11-01,Engineering,41
2025-12-01,Engineering,42
2026-01-01,Engineering,42
2026-02-01,Engineering,40
2026-03-01,Engineering,42
2026-04-01,Engineering,41
2026-05-01,Engineering,41
2026-06-01,Engineering,42
2026-07-01,Engineering,40
2023-01-01,Finance,17
2023-02-01,Finance,16
2023-03-01,Finance,16
2023-04-01,Finance,15
2023-05-01,Finance,16
2023-06-01,Finance,17
2023-07-01,Finance,17
2023-08-01,Finance,17
2023-09-01,Finance,17
2023-10-01,Finance,15
2023-11-01,Finance,17
2023-12-01,Finance,15
2024-01-01,Finance,17
2024-02-01,Finance,17
2024-03-01,Finance,16
2024-04-01,Finance,16
2024-05-01,Finance,17
2024-06-01,Finance,17
2024-07-01,Finance,18
2024-08-01,Finance,16
2024-09-01,Finance,17
2024-10-01,Finance,16
2024-11-01,Finance,17
2024-12-01,Finance,16
2025-01-01,Finance,17
2025-02-01,Finance,18
2025-03-01,Finance,19
2025-04-01,Finance,19
2025-05-01,Finance,19
2025-06-01,Finance,18
2025-07-01,Finance,18
2025-08-01,Finance,19
2025-09-01,Finance,18
2025-10-01,Finance,18
2025-11-01,Finance,19
2025-12-01,Finance,18
2026-01-01,Finance,17
2026-02-01,Finance,16
2026-03-01,Finance,16
2026-04-01,Finance,18
2026-05-01,Finance,16
2026-06-01,Finance,16
2026-07-01,Finance,17
2023-01-01,HR,10
2023-02-01,HR,11
2023-03-01,HR,10
2023-04-01,HR,12
2023-05-01,HR,11
2023-06-01,HR,10
2023-07-01,HR,11
2023-08-01,HR,12
2023-09-01,HR,12
2023-10-01,HR,11
2023-11-01,HR,12
2023-12-01,HR,12
2024-01-01,HR,10
2024-02-01,HR,12
2024-03-01,HR,10
2024-04-01,HR,11
2024-05-01,HR,12
2024-06-01,HR,11
2024-07-01,HR,12
2024-08-01,HR,10
2024-09-01,HR,12
2024-10-01,HR,11
2024-11-01,HR,12
2024-12-01,HR,10
2025-01-01,HR,12
2025-02-01,HR,11
2025-03-01,HR,13
2025-04-01,HR,13
2025-05-01,HR,11
2025-06-01,HR,12
2025-07-01,HR,11
2025-08-01,HR,12
2025-09-01,HR,12
2025-10-01,HR,12
2025-11-01,HR,11
2025-12-01,HR,12
2026-01-01,HR,11
2026-02-01,HR,11
2026-03-01,HR,11
2026-04-01,HR,13
2026-05-01,HR,13
2026-06-01,HR,13
2026-07-01,HR,12
2023-01-01,IT,14
2023-02-01,IT,14
2023-03-01,IT,14
2023-04-01,IT,14
2023-05-01,IT,12
2023-06-01,IT,14
2023-07-01,IT,12
2023-08-01,IT,12
2023-09-01,IT,12
2023-10-01,IT,12
2023-11-01,IT,14
2023-12-01,IT,14
2024-01-01,IT,15
2024-02-01,IT,14
2024-03-01,IT,15
2024-04-01,IT,15
2024-05-01,IT,13
2024-06-01,IT,14
2024-07-01,IT,15
2024-08-01,IT,14
2024-09-01,IT,14
2024-10-01,IT,15
2024-11-01,IT,14
2024-12-01,IT,15
2025-01-01,IT,16
2025-02-01,IT,14
2025-03-01,IT,14
2025-04-01,IT,15
2025-05-01,IT,14
2025-06-01,IT,15
2025-07-01,IT,16
2025-08-01,IT,14
2025-09-01,IT,16
2025-10-01,IT,14
2025-11-01,IT,14
2025-12-01,IT,14
2026-01-01,IT,16
2026-02-01,IT,15
2026-03-01,IT,14
2026-04-01,IT,16
2026-05-01,IT,15
2026-06-01,IT,15
2026-07-01,IT,14
2023-01-01,Manufacturing,145
2023-02-01,Manufacturing,145
2023-03-01,Manufacturing,144
2023-04-01,Manufacturing,145
2023-05-01,Manufacturing,144
2023-06-01,Manufacturing,144
2023-07-01,Manufacturing,144
2023-08-01,Manufacturing,143
2023-09-01,Manufacturing,145
2023-10-01,Manufacturing,143
2023-11-01,Manufacturing,144
2023-12-01,Manufacturing,145
2024-01-01,Manufacturing,153
2024-02-01,Manufacturing,152
2024-03-01,Manufacturing,153
2024-04-01,Manufacturing,152
2024-05-01,Manufacturing,152
2024-06-01,Manufacturing,152
2024-07-01,Manufacturing,152
2024-08-01,Manufacturing,153
2024-09-01,Manufacturing,151
2024-10-01,Manufacturing,153
2024-11-01,Manufacturing,151
2024-12-01,Manufacturing,153
2025-01-01,Manufacturing,160
2025-02-01,Manufacturing,161
2025-03-01,Manufacturing,161
2025-04-01,Manufacturing,161
2025-05-01,Manufacturing,160
2025-06-01,Manufacturing,159
2025-07-01,Manufacturing,161
2025-08-01,Manufacturing,160
2025-09-01,Manufacturing,159
2025-10-01,Manufacturing,160
2025-11-01,Manufacturing,159
2025-12-01,Manufacturing,160
2026-01-01,Manufacturing,155
2026-02-01,Manufacturing,155
2026-03-01,Manufacturing,155
2026-04-01,Manufacturing,155
2026-05-01,Manufacturing,156
2026-06-01,Manufacturing,156
2026-07-01,Manufacturing,154
2023-01-01,Procurement,14
2023-02-01,Procurement,13
2023-03-01,Procurement,13
2023-04-01,Procurement,14
2023-05-01,Procurement,12
2023-06-01,Procurement,12
2023-07-01,Procurement,12
2023-08-01,Procurement,14
2023-09-01,Procurement,13
2023-10-01,Procurement,12
2023-11-01,Procurement,12
2023-12-01,Procurement,12
2024-01-01,Procurement,13
2024-02-01,Procurement,13
2024-03-01,Procurement,12
2024-04-01,Procurement,13
2024-05-01,Procurement,12
2024-06-01,Procurement,14
2024-07-01,Procurement,12
2024-08-01,Procurement,14
2024-09-01,Procurement,13
2024-10-01,Procurement,12
2024-11-01,Procurement,13
2024-12-01,Procurement,12
2025-01-01,Procurement,15
2025-02-01,Procurement,14
2025-03-01,Procurement,14
2025-04-01,Procurement,13
2025-05-01,Procurement,14
2025-06-01,Procurement,15
2025-07-01,Procurement,15
2025-08-01,Procurement,13
2025-09-01,Procurement,13
2025-10-01,Procurement,14
2025-11-01,Procurement,15
2025-12-01,Procurement,14
2026-01-01,Procurement,15
2026-02-01,Procurement,15
2026-03-01,Procurement,13
2026-04-01,Procurement,14
2026-05-01,Procurement,15
2026-06-01,Procurement,13
2026-07-01,Procurement,15
2023-01-01,Quality,19
2023-02-01,Quality,19
2023-03-01,Quality,19
2023-04-01,Quality,20
2023-05-01,Quality,19
2023-06-01,Quality,19
2023-07-01,Quality,21
2023-08-01,Quality,19
2023-09-01,Quality,21
2023-10-01,Quality,21
2023-11-01,Quality,20
2023-12-01,Quality,19
2024-01-01,Quality,20
2024-02-01,Quality,22
2024-03-01,Quality,21
2024-04-01,Quality,20
2024-05-01,Quality,21
2024-06-01,Quality,22
